Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Service - tug,585,15,42.8,35.1,2007.2,2000.9,2003.5,2004.4,92.2,338.2,288.9,255.8,13.0,93.8,1063.3,1033.6,11.0,156.3,271.2,208.2,196.8,146.3,50.5,14775.1,10982.9,3792.2,15058.7,11193.8,3865.0
Bulk carrier,187,160,913.7,1538.9,2011.8,2011.8,2012.1,2012.1,187.9,179.8,176.6,176.6,20.0,40.0,48.9,49.9,77.0,93.5,97.9,97.7,142.0,80.2,61.7,10966.8,6207.9,4758.9,11177.4,6327.1,4850.3
General cargo,129,48,332.0,460.1,1993.9,2002.6,1998.8,2000.4,202.1,203.5,197.4,193.8,23.0,41.2,59.6,48.1,39.0,78.6,75.7,77.3,66.4,37.9,28.4,5024.7,2890.0,2134.7,5121.2,2945.5,2175.7
Oil tanker,126,24,545.2,981.7,1999.7,2008.3,2004.7,2005.1,145.0,440.4,203.1,202.3,24.5,88.5,125.6,126.0,27.0,174.5,455.5,413.1,229.6,93.6,136.1,17462.4,7137.7,10324.7,17797.7,7274.8,10522.9
Miscellaneous - fishing,73,17,157.6,107.1,1977.5,1978.5,1977.5,1977.9,976.0,4046.1,2757.6,2918.1,208.0,589.4,1085.4,1042.8,70.0,701.8,1048.7,1182.6,196.9,112.2,84.7,14787.0,8424.6,6362.4,15070.9,8586.4,6484.5
Chemical tanker,51,42,225.9,369.5,2011.1,2010.7,2011.0,2010.9,143.3,274.1,195.0,194.2,16.0,72.2,119.4,112.3,14.0,32.0,42.5,42.3,57.9,36.8,21.1,4430.4,2822.0,1608.4,4515.4,2876.2,1639.2
Container,48,30,197.1,221.2,2005.4,2009.4,2009.7,2009.9,99.3,81.3,78.6,78.2,11.0,50.0,117.7,112.9,17.5,19.2,21.3,21.3,57.2,38.2,19.0,4399.3,2950.8,1448.5,4483.7,3007.4,1476.3
Service - other,33,7,212.7,227.1,2004.4,1998.1,2008.2,2008.1,670.9,778.0,1204.0,1184.0,94.0,169.6,553.0,558.8,33.0,38.4,77.2,78.0,43.1,34.1,9.1,3228.2,2547.3,680.9,3290.2,2596.2,694.0
Cruise,16,10,202.0,21.8,2004.1,2005.2,2007.3,2006.2,139.0,293.9,188.9,194.8,14.0,176.2,142.0,193.5,9.5,131.8,71.5,102.3,275.1,164.4,110.7,21309.6,12737.7,8571.9,21718.8,12982.2,8736.5
Offshore,15,5,43.7,34.7,1976.5,1987.2,2014.1,2012.5,151.3,3175.2,3877.3,2359.2,22.0,1320.9,3018.0,3349.0,101.0,139.1,299.3,274.9,61.9,48.7,13.3,4650.5,3654.5,996.0,4739.8,3724.7,1015.1
Vehicle,7,6,45.6,14.5,2009.7,2010.0,2009.0,2008.9,70.8,86.1,105.5,107.3,11.0,18.9,43.8,44.4,3.0,3.7,2.6,2.6,1.8,1.6,0.2,140.4,124.4,16.0,143.1,126.8,16.3
Refrigerated bulk,6,4,14.0,14.2,1988.8,1990.5,1986.8,1986.9,94.3,199.3,228.9,228.7,42.5,223.1,700.0,708.6,10.5,12.9,7.0,7.1,35.9,33.9,2.0,2698.4,2546.2,152.2,2750.2,2595.1,155.1
Ro-Ro,3,2,1.9,1.1,1994.7,1997.0,1991.9,1992.2,124.6,135.2,122.3,122.8,14.0,16.5,14.0,14.1,23.0,305.8,536.0,525.0,9.1,0.6,8.5,686.7,46.8,640.0,699.9,47.6,652.3
