Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Fort De France,1009,232,7697.6,6097.4,2003.0,2004.0,2007.6,2007.9,147.1,480.5,277.0,474.4,15.0,63.7,97.6,149.7,12.0,25.9,19.5,25.4,1876.7,1429.2,447.6,144372.5,110147.1,34225.5,147144.5,112261.9,34882.6
Saint Pierre,80,19,26.2,13.0,1985.0,1985.4,1992.5,1983.7,138.8,416.3,236.4,288.5,23.0,55.3,89.4,222.9,23.0,27.1,53.4,59.7,26.7,19.8,6.9,2019.3,1496.5,522.7,2058.0,1525.3,532.8
Le Marin,21,17,380.7,430.9,1998.9,2002.4,2005.6,2005.6,375.0,1580.2,1847.6,2259.8,106.0,178.7,214.4,224.6,21.0,81.4,69.0,63.9,88.3,81.6,6.7,6797.2,6292.1,505.1,6927.7,6412.9,514.8
Le Robert,17,5,24.7,38.0,2000.1,2001.8,2006.8,2006.9,356.4,279.1,404.3,415.4,46.0,45.8,52.1,52.1,9.0,12.6,27.6,27.9,6.7,5.7,1.0,510.3,438.0,72.2,520.1,446.4,73.6
