Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,213,22,3023.3,3797.5,2007.4,2005.9,2007.9,2007.9,373.3,638.3,590.7,588.8,42.0,52.7,81.0,81.3,30.0,32.1,33.7,33.6,638.2,550.0,88.2,49221.7,42486.8,6734.9,50166.7,43302.5,6864.2
Chemical tanker,88,50,1458.9,2394.5,2008.9,2009.9,2008.3,2008.5,421.9,759.4,759.1,754.1,36.5,78.2,239.3,234.8,30.0,45.0,69.3,68.5,339.8,255.6,84.3,26261.5,19768.7,6492.8,26765.7,20148.3,6617.4
Bulk carrier,80,73,2290.7,3632.7,2011.1,2011.0,2010.9,2010.9,316.5,1278.4,1145.2,1108.4,60.0,135.2,403.5,400.0,80.0,92.3,95.8,95.3,273.7,246.2,27.5,21143.0,19028.6,2114.4,21548.9,19393.9,2155.0
General cargo,72,28,896.8,1322.5,1997.9,2006.0,2004.5,2004.5,211.6,1538.8,1648.4,1666.7,26.0,138.3,346.4,351.5,15.5,89.1,81.9,81.9,133.7,122.7,11.0,10271.9,9442.7,829.1,10469.1,9624.0,845.0
Vehicle,64,55,2506.2,858.4,2007.5,2007.5,2005.6,2005.0,271.7,650.8,676.6,699.4,19.5,52.2,216.9,236.8,10.0,14.8,13.8,13.1,158.0,149.3,8.6,12222.1,11552.5,669.6,12456.8,11774.3,682.5
Oil tanker,29,15,700.5,1199.1,1999.4,2003.9,2005.4,2005.4,570.4,1156.5,1205.2,1203.9,64.0,117.7,176.2,175.6,38.0,74.2,83.7,83.9,145.6,84.6,61.0,11247.0,6532.5,4714.4,11462.9,6658.0,4804.9
Cruise,29,15,531.0,57.6,2001.1,2000.3,2001.3,2001.5,276.4,335.3,286.4,285.3,17.0,23.9,19.8,19.7,7.0,6.9,6.8,6.6,152.8,135.9,16.9,11835.3,10529.6,1305.8,12062.6,10731.7,1330.9
Liquefied gas tanker,5,5,100.7,111.4,2008.8,2008.8,2010.3,2010.2,1576.6,1503.7,1378.1,1363.2,140.0,140.4,170.6,170.4,47.0,85.2,73.3,77.2,24.1,20.6,3.5,1850.0,1586.3,263.7,1885.5,1616.7,268.8
Offshore,4,3,8.1,8.9,1986.8,1989.7,2006.8,2005.8,278.1,2594.2,2796.1,1945.7,46.5,161.0,375.5,362.8,58.5,329.3,854.2,822.5,10.5,3.5,7.0,788.8,260.8,528.0,803.9,265.8,538.2
Service - tug,3,3,1.4,1.2,2002.0,2002.0,2008.4,2008.1,749.4,513.7,646.2,696.2,70.0,64.0,77.8,72.6,26.0,328.3,25.1,26.8,5.1,4.5,0.6,390.5,342.3,48.3,398.0,348.8,49.2
Refrigerated bulk,1,1,2.7,2.9,1979.0,1979.0,1979.0,1979.0,1024.6,1024.6,1024.6,1024.6,118.0,118.0,118.0,118.0,4.0,4.0,4.0,4.0,2.0,1.9,0.1,150.2,145.9,4.3,153.1,148.7,4.4
Ferry-RoPax,1,1,2.2,0.2,2007.0,2007.0,2007.0,2007.0,185.4,185.4,185.4,185.4,19.0,19.0,19.0,19.0,11.0,11.0,11.0,11.0,0.7,0.5,0.2,53.5,42.0,11.5,54.5,42.9,11.7
Service - other,1,1,71.9,40.5,2010.0,2010.0,2010.0,2010.0,9106.6,9106.6,9106.6,9106.6,1915.0,1915.0,1915.0,1915.0,2.0,2.0,2.0,2.0,14.6,14.6,0.0,1094.7,1094.5,0.3,1115.8,1115.5,0.3
Other liquids tankers,1,1,1.6,1.8,2018.0,2018.0,2018.0,2018.0,375.2,375.2,375.2,375.2,592.0,592.0,592.0,592.0,111.0,111.0,111.0,111.0,10.7,10.0,0.7,829.1,771.1,58.0,845.0,785.9,59.2
