Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,385,127,25119.6,30849.7,2008.1,2008.4,2009.1,2009.1,686.8,1874.1,1604.7,1618.7,64.0,141.9,282.2,283.6,39.0,49.6,34.6,34.5,3310.2,3005.0,305.2,256302.6,232731.6,23571.1,261223.6,237200.0,24023.6
General cargo,376,72,1375.7,1870.0,2007.5,2006.9,2008.1,2008.1,264.4,976.7,574.7,563.6,43.0,136.3,227.5,222.9,22.0,63.5,64.6,66.0,375.6,302.0,73.6,28736.3,23210.6,5525.7,29288.1,23656.3,5631.8
Offshore,238,57,921.0,1337.4,2010.2,2008.9,2009.9,2009.3,175.0,1411.8,1165.6,1517.3,23.0,412.0,496.5,510.2,30.0,197.8,84.0,68.9,293.5,219.7,73.8,22133.9,16593.0,5540.9,22558.9,16911.6,5647.3
Service - tug,221,48,201.8,180.0,2009.2,2008.7,2009.5,2009.4,225.1,626.2,416.9,405.4,37.0,165.6,377.8,360.4,32.0,85.5,394.0,347.1,141.3,111.4,29.9,10650.6,8403.9,2246.7,10855.1,8565.2,2289.9
Oil tanker,109,103,71783.9,137784.2,2010.8,2010.8,2011.4,2011.4,5219.4,4826.0,4815.7,4818.9,565.0,470.8,828.8,829.7,39.0,60.5,70.9,70.7,4393.5,4016.5,377.1,340244.0,311072.3,29171.7,346776.7,317044.9,29731.8
Chemical tanker,70,39,3003.1,4897.2,2007.8,2008.3,2007.5,2007.4,1362.3,2726.5,3046.3,3118.4,259.0,293.0,396.3,397.9,29.5,37.0,32.4,32.3,535.6,499.0,36.6,41216.3,38436.1,2780.1,42007.6,39174.1,2833.5
Ro-Ro,66,13,385.7,197.4,2004.0,2003.8,2004.0,2004.5,300.0,340.2,354.3,352.2,40.5,32.8,26.6,27.8,30.0,43.4,48.7,48.0,89.0,58.1,30.9,6806.7,4457.1,2349.6,6937.4,4542.6,2394.7
Bulk carrier,61,53,2973.0,4939.5,2008.8,2008.9,2009.7,2009.6,718.9,1914.1,1882.7,1846.4,100.0,321.8,639.1,638.5,75.0,143.6,65.6,66.8,288.2,260.0,28.2,22262.5,20103.7,2158.8,22690.0,20489.7,2200.2
Service - other,15,10,319.6,175.0,2008.3,2006.2,2010.4,2010.1,264.2,1259.1,2367.2,2256.6,63.0,288.0,448.1,448.3,17.0,43.8,25.4,25.7,137.2,136.2,1.1,10563.4,10483.2,80.2,10766.2,10684.5,81.7
Liquefied gas tanker,13,8,707.2,811.5,2012.0,2012.6,2014.6,2014.6,804.7,3101.1,4630.2,4659.3,112.0,253.5,514.1,515.5,29.0,29.1,17.3,17.3,98.3,90.1,8.2,7574.0,6959.6,614.4,7719.4,7093.2,626.2
Vehicle,12,7,1059.0,341.8,2006.2,2005.9,2012.0,2011.9,672.4,2210.5,1772.9,1759.1,72.0,154.2,304.0,294.1,44.5,40.1,23.1,22.8,70.6,65.3,5.3,5472.6,5061.1,411.4,5577.7,5158.3,419.3
Refrigerated bulk,9,4,98.9,92.6,1990.2,1995.5,1990.5,1991.7,1340.6,1897.4,2690.3,2597.9,163.0,206.9,359.8,341.6,228.0,133.9,644.0,532.6,75.6,31.8,43.8,5715.1,2418.0,3297.1,5824.8,2464.4,3360.4
Miscellaneous - fishing,5,5,12.7,4.5,2003.0,2003.0,1996.1,1996.2,1192.2,1469.3,2798.7,2632.2,180.0,206.2,447.3,437.7,87.0,255.8,108.0,128.3,9.1,7.0,2.1,683.9,529.0,154.8,697.0,539.2,157.8
Ferry-pax only,1,1,0.2,0.0,1983.0,1983.0,1983.0,1983.0,464.5,464.5,464.5,464.5,70.0,70.0,70.0,70.0,136.0,136.0,136.0,136.0,0.4,0.1,0.2,26.9,9.5,17.4,27.4,9.7,17.7
