Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bremerhaven,3925,1079,168201.8,135393.5,2005.3,2005.8,2007.6,2007.5,418.5,1022.7,911.3,882.2,34.0,96.0,214.9,181.5,18.0,37.5,27.5,29.1,19162.5,17757.9,1404.6,1457265.8,1351447.5,105818.3,1485245.3,1377395.3,107850.1
Rostock,3585,762,25538.4,19321.4,1997.6,2001.1,2004.7,2006.9,239.9,740.6,303.6,634.0,19.0,83.1,141.3,289.9,8.0,46.4,52.9,105.6,5315.4,4521.1,794.3,399939.7,340235.6,59704.1,407618.5,346768.1,60850.4
Hamburg,2963,1283,64241.8,77752.0,2005.2,2005.4,2010.0,2009.7,446.4,1021.6,792.5,919.8,51.0,104.2,195.0,243.7,23.0,44.3,55.3,67.1,8861.9,7722.3,1139.6,671618.0,585538.8,86079.2,684513.1,596781.1,87731.9
Travemunde,2881,78,26619.4,7445.8,1998.8,2000.5,2003.2,2003.3,139.4,419.7,277.3,290.2,11.0,89.4,24.9,26.5,3.0,37.3,9.3,10.5,6590.2,6078.3,511.9,494813.6,456374.1,38439.4,504314.0,465136.5,39177.5
Altenwerder,2633,881,103419.5,133492.0,2007.5,2007.8,2011.0,2011.2,436.9,1125.6,789.9,920.1,44.0,110.9,197.7,233.2,21.0,48.9,51.8,61.8,10827.6,9763.1,1064.5,821098.4,740792.5,80305.9,836863.5,755015.7,81847.8
Emden,1264,412,34424.1,15285.2,2002.3,2003.8,2008.6,2007.4,349.3,1320.7,1545.3,1404.7,35.0,154.7,354.8,347.1,14.0,42.8,19.6,29.6,3031.6,2779.4,252.2,230969.4,211963.6,19005.9,235404.1,216033.3,19370.8
Lubeck,1144,229,10398.5,6706.8,2001.2,1998.4,2005.0,2004.5,563.0,484.6,615.5,601.3,39.0,50.2,46.7,50.4,12.0,30.3,17.2,18.5,2795.0,2523.7,271.2,209871.8,189506.3,20365.5,213901.3,193144.9,20756.5
Cuxhaven,1038,283,6929.1,3862.7,2000.9,1999.3,2003.8,2003.9,365.5,691.7,504.5,505.8,33.0,117.3,109.6,131.8,11.5,73.8,27.5,31.3,1618.8,1392.3,226.5,121561.0,104549.6,17011.4,123895.0,106556.9,17338.1
Wilhelmshaven,878,435,52991.8,64623.4,2006.3,2005.8,2013.6,2012.6,381.5,955.2,1284.6,1219.6,51.0,124.4,340.5,319.2,27.0,61.8,44.5,50.1,5394.8,4464.5,930.3,411079.2,340911.9,70167.2,418971.9,347457.4,71514.4
Wismar,841,337,1290.4,1800.6,1994.9,1997.0,1999.4,1999.8,374.0,547.0,505.6,529.5,42.0,68.2,92.5,93.6,22.0,35.8,38.7,39.6,407.9,355.1,52.8,30675.7,26703.3,3972.5,31264.7,27216.0,4048.7
Buetzfleth,742,259,5257.6,8196.5,2001.6,2003.6,2007.3,2007.4,414.5,881.8,990.5,1086.9,51.5,92.0,197.3,213.8,22.0,44.4,74.8,80.9,1308.7,1035.7,273.0,98517.0,78079.4,20437.6,100408.5,79578.5,20830.0
Brake,698,522,10419.8,16762.7,2003.4,2003.8,2010.2,2010.4,560.2,1114.1,1696.4,1710.8,71.0,120.6,305.6,303.6,29.0,49.4,72.2,72.3,1302.2,1177.3,124.9,99060.9,89633.9,9427.0,100962.9,91354.9,9608.0
Hamburg-Mitte,558,266,14243.9,9009.8,2005.0,2004.5,2007.2,2007.1,408.4,769.0,750.4,780.9,34.0,80.2,145.7,179.2,22.0,35.4,28.7,32.4,1718.8,1521.6,197.2,130560.9,115609.3,14951.6,133067.6,117828.9,15238.7
Mittelsburen,529,356,6412.1,10281.6,2003.1,2004.4,2008.8,2008.9,448.0,995.2,1023.8,1025.6,59.0,102.4,184.3,184.0,30.0,51.5,86.4,87.6,906.0,799.5,106.5,68688.1,60636.6,8051.5,70007.0,61800.9,8206.1
Mukran,523,198,1912.9,1849.9,2002.1,2001.4,2001.6,2007.7,232.5,606.3,458.1,591.3,24.0,186.2,309.6,402.9,12.0,94.5,63.5,81.6,694.6,570.9,123.6,52237.3,42952.3,9285.0,53240.3,43777.0,9463.3
Ostermoor,433,253,4511.1,7399.9,2006.2,2006.7,2008.6,2008.4,404.2,796.6,1012.3,1053.5,46.0,86.8,266.1,275.2,28.0,54.9,78.6,76.8,763.4,585.1,178.3,57728.3,44315.0,13413.3,58836.7,45165.8,13670.8
