Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,7721,1641,25972.4,35943.4,1999.5,2002.4,2005.0,2005.0,400.7,860.4,901.5,905.8,47.0,93.6,242.5,244.8,24.0,42.0,65.9,64.0,5972.0,5308.3,663.7,451761.8,401802.4,49959.4,460435.7,409517.0,50918.6
Container,5725,823,237951.6,260338.4,2007.5,2008.6,2010.3,2010.1,413.0,746.1,758.4,768.5,37.0,57.6,173.3,172.1,19.0,29.4,30.7,30.1,28704.1,26282.3,2421.9,2180826.2,1998617.2,182209.0,2222698.1,2036990.7,185707.4
Ferry-RoPax,4218,46,28738.3,6627.1,1996.2,1997.3,1999.7,1998.9,128.3,1659.8,200.8,194.9,10.0,258.3,116.8,91.8,2.0,56.7,24.6,20.1,7000.4,6248.5,751.9,525583.8,469131.9,56452.0,535675.1,478139.2,57535.8
Ro-Ro,2194,102,33032.6,16729.0,2004.6,2004.5,2006.7,2006.2,559.1,574.8,600.0,590.8,33.0,43.3,62.8,61.6,10.0,22.5,21.2,20.7,7170.0,6458.8,711.1,539329.5,485808.0,53521.5,549684.6,495135.5,54549.1
Chemical tanker,2191,648,16764.6,26499.6,2004.8,2007.0,2008.4,2008.5,419.3,969.5,905.7,924.7,52.0,101.6,238.3,245.0,21.0,34.8,41.3,41.5,4471.2,3466.4,1004.9,337812.8,262115.1,75697.7,344298.8,267147.7,77151.0
Vehicle,2130,446,102114.1,33965.1,2003.9,2007.4,2007.8,2007.4,402.8,1377.1,1208.6,1173.2,32.0,99.4,316.1,314.2,14.0,20.6,19.8,20.3,6965.6,6516.1,449.4,530835.5,496810.2,34025.3,541027.6,506349.0,34678.6
Bulk carrier,1388,744,75628.3,136026.1,2006.5,2010.1,2010.9,2010.9,803.1,2010.2,1885.3,1921.0,82.0,204.4,364.3,367.0,44.0,95.1,111.9,112.3,6207.3,5681.7,525.6,473740.8,433865.6,39875.2,482836.7,442195.9,40640.8
Offshore,630,187,1026.7,810.4,2001.7,2001.7,2007.0,2006.1,312.9,1175.1,583.3,640.0,70.0,465.9,1041.6,1095.4,25.0,142.6,196.6,260.2,979.6,749.9,229.7,73549.9,56305.8,17244.1,74962.1,57386.9,17575.2
Miscellaneous - fishing,585,160,467.6,279.7,1987.6,1987.7,2003.4,2002.6,331.2,1085.7,1256.0,1008.6,48.0,165.7,883.7,723.6,53.0,137.3,187.7,153.5,457.7,287.6,170.1,34363.6,21594.0,12769.6,35023.4,22008.6,13014.7
Cruise,583,93,19245.2,1881.2,1994.5,1995.2,2008.5,2006.3,507.2,472.9,498.0,494.5,37.0,45.7,43.9,45.8,9.0,12.8,10.1,10.5,4140.8,3662.8,478.0,311863.3,275634.5,36228.8,317851.1,280926.7,36924.4
Liquefied gas tanker,556,101,2905.1,3060.1,2003.7,2006.6,2007.1,2007.0,413.9,872.8,787.6,806.5,44.0,91.4,147.9,155.8,20.0,35.7,48.9,50.7,942.5,707.1,235.3,70461.9,52888.3,17573.5,71814.8,53903.8,17911.0
Service - tug,509,165,149.9,112.7,1995.6,1996.7,1997.9,1996.2,335.6,456.7,548.5,575.4,74.0,204.6,343.6,341.1,34.0,143.1,249.0,258.3,357.2,282.1,75.1,26823.4,21181.6,5641.8,27338.4,21588.3,5750.1
Oil tanker,497,199,17314.7,30581.1,2007.7,2007.3,2007.8,2007.8,530.3,930.1,969.3,987.6,67.0,123.9,208.7,212.3,26.0,46.0,50.3,49.4,2490.4,1558.9,931.5,188079.0,117756.5,70322.5,191690.1,120017.4,71672.7
Service - other,478,177,1167.9,1111.9,1991.5,1993.4,1998.8,1999.3,329.7,817.6,923.1,832.8,54.0,236.4,413.4,418.3,31.5,189.3,210.0,165.5,636.7,488.3,148.4,47959.7,36836.1,11123.6,48880.5,37543.4,11337.1
Refrigerated bulk,97,35,405.9,442.0,1995.1,1994.8,1996.0,1996.2,358.7,688.0,529.5,534.0,27.0,52.4,96.2,98.6,20.0,41.6,43.4,43.1,230.0,157.8,72.3,17318.1,11889.3,5428.8,17650.7,12117.6,5533.1
Ferry-pax only,93,18,17.3,3.9,1955.9,1965.1,1977.6,1965.7,158.3,1372.2,845.6,433.9,37.0,399.5,1332.1,1236.2,16.0,96.1,52.1,49.1,44.3,34.9,9.3,3323.2,2623.9,699.4,3387.0,2674.2,712.8
Other liquids tankers,10,2,40.5,61.2,1993.6,2002.0,2008.0,2006.8,523.4,606.9,575.5,584.2,100.0,112.8,125.5,125.5,35.0,48.0,65.9,66.7,25.2,15.1,10.1,1914.6,1142.7,771.9,1951.4,1164.6,786.8
Yacht,8,2,1.3,1.4,1964.5,1984.0,1978.7,1960.3,388.2,715.0,566.6,446.2,102.0,102.0,123.8,134.2,57.0,144.5,148.3,96.8,1.2,1.2,0.0,86.9,86.9,0.0,88.6,88.5,0.0
