Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Schaprode,1,1,0.0,0.0,1969.0,1969.0,1969.0,1969.0,212.8,212.8,212.8,212.8,63.0,63.0,63.0,63.0,68.0,68.0,68.0,68.0,0.3,0.2,0.1,26.0,15.4,10.6,26.5,15.7,10.8
Hergatz,1,1,0.0,0.0,1973.0,1973.0,1973.0,1973.0,173.0,173.0,173.0,173.0,13.0,13.0,13.0,13.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,3.6,2.4,1.3,3.7,2.4,1.3
Burladingen,1,1,0.1,0.0,1973.0,1973.0,1973.0,1973.0,346.0,346.0,346.0,346.0,31.0,31.0,31.0,31.0,9.0,9.0,9.0,9.0,0.1,0.1,0.0,7.3,5.6,1.6,7.4,5.7,1.7
Birkweiler,1,1,0.1,0.0,1973.0,1973.0,1973.0,1973.0,285.4,285.4,285.4,285.4,26.0,26.0,26.0,26.0,7.0,7.0,7.0,7.0,0.1,0.1,0.0,6.0,4.7,1.3,6.1,4.8,1.3
Walchum,1,1,0.0,0.0,1970.0,1970.0,1970.0,1970.0,44.8,44.8,44.8,44.8,6.0,6.0,6.0,6.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,2.4,1.6,0.8,2.5,1.6,0.9
Kipfenberg,1,1,5.7,2.8,1984.0,1984.0,1984.0,1984.0,908.7,908.7,908.7,908.7,47.0,47.0,47.0,47.0,58.0,58.0,58.0,58.0,1.3,0.6,0.7,97.8,43.8,54.0,99.7,44.6,55.1
Windsbach,1,1,6.0,3.0,1984.0,1984.0,1984.0,1984.0,951.9,951.9,951.9,951.9,64.0,64.0,64.0,64.0,46.0,46.0,46.0,46.0,1.4,0.8,0.6,102.4,59.6,42.8,104.4,60.7,43.7
Weikersheim,1,1,4.5,2.3,1984.0,1984.0,1984.0,1984.0,726.9,726.9,726.9,726.9,34.0,34.0,34.0,34.0,50.0,50.0,50.0,50.0,1.0,0.4,0.6,78.2,31.7,46.6,79.7,32.3,47.5
Aschaffenburg,1,1,0.9,0.5,1984.0,1984.0,1984.0,1984.0,147.1,147.1,147.1,147.1,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,0.2,0.1,0.1,15.8,5.6,10.2,16.1,5.7,10.4
Liepgarten,1,1,0.0,0.0,1961.0,1961.0,1961.0,1961.0,191.7,191.7,191.7,191.7,56.0,56.0,56.0,56.0,337.0,337.0,337.0,337.0,1.1,0.2,1.0,85.9,13.3,72.6,87.6,13.5,74.0
Kleinostheim,1,1,2.4,1.2,1984.0,1984.0,1984.0,1984.0,389.4,389.4,389.4,389.4,32.0,32.0,32.0,32.0,13.0,13.0,13.0,13.0,0.6,0.4,0.2,41.9,29.8,12.1,42.7,30.4,12.3
Carolinensiel,1,1,0.0,0.0,1985.0,1985.0,1985.0,1985.0,207.9,207.9,207.9,207.9,9.0,9.0,9.0,9.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,3.3,1.1,2.2,3.4,1.1,2.2
Koeln,1,1,0.0,0.0,1975.0,1975.0,1975.0,1975.0,35.2,35.2,35.2,35.2,11.0,11.0,11.0,11.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,1.2,0.9,0.4,1.3,0.9,0.4
Bischofsheim,1,1,0.0,0.0,1975.0,1975.0,1975.0,1975.0,19.4,19.4,19.4,19.4,6.0,6.0,6.0,6.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,1.1,0.5,0.6,1.2,0.5,0.7
Segnitz,1,1,0.0,0.0,1975.0,1975.0,1975.0,1975.0,64.9,64.9,64.9,64.9,26.0,26.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.4,0.1,1.5,1.4,0.1
Volkach,1,1,0.0,0.0,1975.0,1975.0,1975.0,1975.0,76.2,76.2,76.2,76.2,27.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,1.6,1.6,0.0
Kriegenbrunn,1,1,0.0,0.0,1975.0,1975.0,1975.0,1975.0,66.4,66.4,66.4,66.4,31.0,31.0,31.0,31.0,40.0,40.0,40.0,40.0,0.1,0.0,0.0,4.4,1.7,2.7,4.5,1.7,2.7
Herbrum,1,1,0.1,0.0,1987.0,1987.0,1987.0,1987.0,222.1,222.1,222.1,222.1,345.0,345.0,345.0,345.0,13.0,13.0,13.0,13.0,0.7,0.7,0.0,52.3,50.5,1.7,53.3,51.5,1.8
Thungersheim,1,1,0.0,0.0,2018.0,2018.0,2018.0,2018.0,130.3,130.3,130.3,130.3,44.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,7.2,7.2,0.0,7.4,7.4,0.0
