Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Alger,1240,406,15974.9,19750.0,2001.0,2003.6,2004.8,2006.6,525.8,1332.0,948.6,1178.2,42.0,116.0,188.2,222.6,51.0,98.9,92.6,110.5,3665.0,2654.3,1010.7,281434.2,204363.0,77071.2,286837.7,208286.8,78551.0
Arzew,844,411,35539.2,50668.0,2006.3,2006.6,2006.2,2006.6,884.4,1184.4,1227.8,1185.1,99.0,141.9,215.8,218.1,36.0,52.3,66.2,56.7,4552.7,3556.6,996.1,341887.6,265534.0,76353.6,348451.9,270632.2,77819.6
Bejaia,653,441,19143.0,32622.0,2003.2,2004.6,2007.2,2007.5,835.5,1495.5,1595.2,1683.4,72.0,138.8,309.9,323.0,78.0,118.4,124.1,122.1,2494.0,1869.6,624.5,191796.1,144129.4,47666.7,195478.6,146896.7,48581.9
Skikda,587,369,17149.0,25781.7,2005.5,2006.1,2008.5,2008.8,675.8,1247.3,1094.8,1203.1,60.0,118.4,201.9,216.6,32.0,72.5,54.0,57.2,2156.9,1802.4,354.5,161445.9,134480.6,26965.3,164545.6,137062.6,27483.0
Oran,555,261,8792.4,11224.0,2002.3,2005.4,2006.4,2008.4,499.2,1384.7,1041.7,1346.1,34.0,125.1,220.5,259.3,62.0,189.8,214.3,261.2,2102.2,1441.9,660.3,161121.7,110988.7,50133.0,164215.2,113119.7,51095.6
Mostaganem,528,257,6408.4,8414.0,1994.8,2002.8,2001.3,2004.4,505.4,1192.3,752.4,1038.0,48.0,128.0,155.8,179.0,17.5,94.9,67.9,73.1,1499.8,1253.1,246.7,114811.9,96172.4,18639.5,117016.3,98018.9,18997.4
Annaba,464,284,6816.8,10197.6,2001.9,2003.0,2007.1,2007.6,846.7,1246.6,1377.5,1507.8,65.5,110.4,246.4,270.3,50.0,83.0,111.8,118.0,1172.3,915.8,256.5,89675.9,70145.0,19530.9,91397.7,71491.8,19905.9
Djen Djen,249,190,7271.4,10278.7,2004.6,2006.0,2010.0,2010.1,828.0,1589.4,1656.9,2016.0,68.0,146.5,344.4,402.7,49.0,111.0,195.5,239.8,883.6,736.3,147.4,68086.0,56800.1,11285.9,69393.3,57890.7,11502.6
Oran Dry Port,227,132,2720.5,4196.9,2003.4,2002.0,2007.8,2008.3,456.5,1150.1,1143.4,1235.4,82.0,178.1,365.6,387.2,101.0,163.8,290.2,310.0,728.8,501.8,227.0,55558.7,38425.0,17133.7,56625.5,39162.8,17462.7
Tenes,205,149,1282.7,1740.6,1999.6,2000.6,2002.5,2003.0,842.3,1137.6,1006.3,1055.5,84.0,121.6,145.0,148.8,61.0,74.9,47.7,48.7,307.5,242.5,65.0,23494.2,18573.2,4921.0,23945.3,18929.8,5015.5
