Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Alger,1202,380,10704.0,11665.1,2000.8,2003.1,2003.1,2005.2,465.9,803.5,660.1,741.5,43.0,98.9,115.2,148.1,25.0,57.2,54.8,61.3,2681.0,1993.7,687.3,205750.1,153430.2,52320.0,209700.5,156376.0,53324.5
Arzew,857,443,48917.8,77756.2,2006.4,2006.6,2005.9,2006.2,982.8,1502.7,1764.0,1858.7,110.0,165.2,332.6,354.1,35.0,61.9,89.5,93.5,5992.1,4844.5,1147.6,454110.2,366200.1,87910.0,462829.1,373231.2,89597.9
Bejaia,714,471,22277.5,39518.2,2003.2,2004.9,2009.4,2009.7,533.3,1079.5,1708.4,1889.3,65.0,133.6,630.4,668.1,35.0,63.0,63.8,63.9,2480.2,2060.8,419.5,191050.9,158996.3,32054.6,194719.1,162049.1,32670.0
Skikda,557,352,31725.2,52312.1,2006.2,2006.3,2009.4,2009.6,647.0,1879.1,2096.0,2518.3,80.0,197.1,511.0,540.5,36.0,60.3,61.1,62.2,3903.5,3356.6,546.9,296519.5,254687.8,41831.7,302212.7,259577.8,42634.8
Oran,540,255,6065.6,7082.6,2001.7,2004.4,2005.0,2007.2,373.5,959.2,738.5,891.3,31.0,140.8,174.1,219.9,17.0,63.0,74.6,77.0,1371.3,1012.7,358.6,105255.5,77849.6,27405.9,107276.4,79344.3,27932.1
Mostaganem,512,221,7220.3,10980.1,1993.7,2001.7,2004.6,2007.8,359.2,1062.1,1006.5,1801.3,41.5,161.4,341.3,406.9,13.0,49.5,44.7,47.8,1410.3,1231.2,179.1,108389.9,94825.2,13564.8,110471.0,96645.8,13825.2
Annaba,496,312,5351.1,7800.8,2002.3,2003.0,2007.0,2007.3,656.1,1049.3,1009.7,1059.0,69.5,121.2,216.6,228.8,31.0,58.5,67.9,71.8,971.7,809.1,162.7,74336.8,62040.6,12296.1,75764.0,63231.8,12532.2
Oran Dry Port,242,133,1451.2,2086.2,2003.3,2001.9,2005.9,2006.3,365.3,715.6,574.5,580.9,33.0,82.3,103.8,105.3,25.0,47.9,58.1,57.0,331.9,247.4,84.5,25377.4,19007.8,6369.6,25864.6,19372.7,6491.9
Djen Djen,230,179,4879.7,5813.0,2004.5,2006.1,2011.0,2010.6,584.1,958.5,1188.9,1216.6,56.0,111.2,198.5,248.0,31.0,61.2,69.4,92.9,514.7,435.5,79.2,39610.6,33596.1,6014.5,40371.1,34241.1,6130.0
Bethioua,220,70,16722.9,16122.3,2007.2,2008.3,2008.9,2008.8,749.1,1456.3,1441.2,1448.3,67.5,118.6,215.6,225.1,33.0,60.9,58.9,69.9,1981.6,1704.6,277.0,135365.2,114168.7,21196.6,137964.2,116360.7,21603.5
