Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Indonesia,38,18,144.1,212.6,2004.1,2004.6,2004.4,2004.0,571.8,542.5,603.1,606.5,72.5,74.5,117.9,119.0,16.0,18.9,25.7,25.8,29.4,26.2,3.2,2249.6,2008.3,241.3,2292.8,2046.9,245.9
Malaysia,15,10,111.4,170.9,2005.5,2005.6,2005.6,2005.4,1065.8,1097.9,1099.3,1101.2,112.0,117.0,122.3,122.5,20.0,30.5,21.9,21.6,18.5,17.4,1.2,1418.6,1330.9,87.7,1445.8,1356.4,89.4
Australia,11,7,88.2,132.9,2010.7,2011.0,2011.1,2010.9,1461.5,1941.2,1517.3,1450.0,130.0,180.9,174.4,143.3,26.0,31.5,27.9,21.2,23.7,22.0,1.7,1806.5,1679.1,127.4,1841.2,1711.4,129.8
Singapore,9,9,60.3,77.0,2004.1,2004.1,2002.5,2001.9,926.8,1007.8,972.9,960.5,107.0,251.2,211.8,189.3,27.0,30.2,26.2,26.9,14.4,13.9,0.5,1100.5,1061.1,39.3,1121.6,1081.5,40.1
Cocos (Keeling) Islands,7,1,14.5,17.8,2008.0,2008.0,2008.0,2008.0,565.1,565.1,570.6,570.6,64.0,64.0,63.3,63.3,8.0,8.0,11.2,11.2,3.4,3.3,0.0,252.1,249.8,2.4,257.0,254.6,2.4
India,3,3,47.6,65.9,2003.3,2003.3,2004.7,2004.8,2175.8,2175.6,2175.0,2173.9,175.0,220.3,204.0,202.5,29.0,46.0,51.7,51.6,8.6,7.9,0.7,656.8,607.9,48.9,669.4,619.6,49.8
Viet Nam,2,2,12.9,21.8,2002.5,2002.5,2002.3,2002.3,1180.7,1180.7,1200.3,1203.6,112.0,112.0,112.9,113.0,8.0,8.0,8.9,9.0,2.5,2.4,0.1,190.7,185.6,5.1,194.4,189.2,5.2
Philippines,2,2,15.2,24.4,2003.5,2003.5,2003.5,2003.5,1860.5,1860.5,1860.5,1860.7,201.0,201.0,200.8,200.7,18.5,18.5,18.8,18.9,2.8,2.7,0.1,213.8,206.8,7.0,217.9,210.8,7.2
Bangladesh,1,1,18.4,27.8,2006.0,2006.0,2006.0,2006.0,2130.2,2130.2,2130.2,2130.2,335.0,335.0,335.0,335.0,27.0,27.0,27.0,27.0,3.9,3.7,0.1,294.6,284.5,10.1,300.2,289.9,10.3
Hong Kong,1,1,22.5,31.2,2010.0,2010.0,2010.0,2010.0,2667.8,2667.8,2667.8,2667.8,257.0,257.0,257.0,257.0,11.0,11.0,11.0,11.0,4.8,4.7,0.1,365.5,361.4,4.1,372.5,368.3,4.2
