Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,1880,1380,85703.5,152054.0,2010.5,2010.8,2010.8,2010.7,375.0,1410.4,1486.0,1510.8,41.0,158.9,566.1,575.7,51.5,70.8,90.3,90.3,6669.2,6126.5,542.6,516154.4,474286.7,41867.7,526064.6,483393.0,42671.6
Chemical tanker,842,359,12407.6,20490.7,2009.2,2010.1,2009.2,2009.2,250.3,871.1,788.2,799.1,39.0,103.4,340.1,342.3,47.0,56.0,65.7,65.6,2753.5,1872.2,881.3,211859.1,144451.9,67407.2,215926.8,147225.4,68701.4
Container,747,153,23431.6,26827.2,2008.9,2010.4,2010.8,2010.8,227.7,483.5,501.8,503.6,46.0,45.4,88.6,88.8,29.0,35.5,43.3,43.9,2676.3,2213.5,462.8,206938.8,171247.4,35691.4,210912.1,174535.3,36376.7
General cargo,419,189,13311.8,19190.4,1999.0,2007.4,2008.8,2008.6,379.0,2737.3,2817.2,2833.7,73.0,240.5,561.8,559.5,24.0,82.7,122.5,123.2,1724.6,1593.0,131.6,132630.4,122747.4,9883.0,135176.9,125104.2,10072.7
Cruise,377,52,6963.4,792.2,1994.8,1997.5,2003.4,2000.4,633.1,580.7,546.3,576.5,55.0,49.3,69.4,79.4,11.0,18.8,17.9,18.3,2153.0,1737.3,415.8,165755.0,133904.8,31850.2,168937.5,136475.7,32461.7
Service - tug,284,37,81.7,78.2,2003.0,1998.0,2005.1,2004.8,253.3,701.8,436.7,490.3,57.0,309.7,411.8,473.4,12.0,142.8,289.8,384.4,135.0,121.6,13.4,10141.8,9138.0,1003.8,10336.5,9313.5,1023.0
Oil tanker,187,85,11468.6,20787.9,2005.6,2007.5,2008.6,2008.6,232.5,2110.1,2150.6,2232.1,62.0,268.1,571.0,577.6,40.0,65.8,64.2,63.8,1371.5,1062.8,308.7,105897.3,82118.1,23779.3,107930.6,83694.7,24235.8
Vehicle,171,68,5611.0,1737.8,2007.9,2008.3,2008.5,2008.3,427.0,548.3,596.0,588.4,53.0,51.7,96.0,95.2,26.0,25.5,33.6,33.1,353.6,311.6,42.0,27393.7,24138.4,3255.3,27919.7,24601.9,3317.8
Liquefied gas tanker,105,71,24532.7,21195.7,2010.4,2010.5,2010.8,2010.8,1469.0,3777.3,3676.6,3613.8,187.0,287.7,489.6,484.3,39.0,53.1,43.6,44.8,2784.3,2651.0,133.3,176681.0,166447.2,10233.8,180073.3,169643.0,10430.3
Ro-Ro,84,15,1020.8,488.4,2000.5,1999.2,2000.6,2000.4,185.2,446.9,513.4,502.8,41.0,50.2,73.8,74.3,9.0,23.9,36.2,35.5,126.7,110.6,16.1,9752.2,8510.4,1241.8,9939.5,8673.8,1265.7
Service - other,80,27,325.9,258.3,1991.2,1996.6,1994.5,1998.1,343.3,1238.6,1041.5,1108.6,50.5,253.8,548.8,595.6,28.5,126.4,224.2,286.5,120.4,97.0,23.4,9104.0,7335.1,1768.9,9278.8,7476.0,1802.8
Ferry-pax only,43,4,255.1,66.1,2004.9,1994.8,1991.1,1986.6,595.7,1589.0,1192.8,1670.9,65.0,92.5,214.8,225.8,8.0,16.5,145.9,197.2,118.4,94.9,23.5,9047.8,7237.9,1809.9,9221.6,7376.9,1844.7
Miscellaneous - fishing,33,24,197.8,155.3,1989.1,1990.6,1996.2,1995.9,1512.9,3680.8,2808.3,2934.6,394.0,613.6,858.3,921.2,187.0,633.0,410.5,457.2,117.6,81.3,36.3,8834.0,6108.1,2725.9,9003.6,6225.4,2778.2
Refrigerated bulk,23,18,1121.3,1184.7,1994.1,1994.6,1992.4,1992.3,5481.5,4208.1,4142.6,4163.4,318.0,273.9,422.1,423.0,119.0,130.1,143.8,143.0,463.0,370.4,92.6,35216.7,28261.4,6955.2,35892.8,28804.1,7088.8
Offshore,21,10,137.6,115.6,1979.2,1989.0,2010.6,2009.4,195.7,1959.6,959.6,917.9,42.0,268.8,424.4,413.6,103.0,261.7,973.6,951.8,77.3,39.7,37.6,5798.8,2972.1,2826.6,5910.1,3029.2,2880.9
Ferry-RoPax,15,4,166.6,12.9,2004.9,2004.0,2005.0,2005.2,826.2,779.4,874.6,880.5,76.0,66.0,121.8,121.8,12.0,31.0,14.9,14.1,45.6,39.7,6.0,3402.3,2999.7,402.6,3467.6,3057.3,410.3
Yacht,6,1,1.2,1.2,1911.0,1911.0,1911.0,1911.0,686.1,686.1,633.4,633.4,137.5,137.5,158.1,158.1,89.5,89.5,83.3,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miscellaneous - other,5,1,38.0,10.2,1989.0,1989.0,1989.0,1989.0,705.1,705.1,1179.4,1179.4,68.0,68.0,240.3,240.3,10.0,10.0,14.8,14.8,13.9,13.4,0.5,1043.3,1006.3,36.9,1063.3,1025.7,37.6
Other liquids tankers,2,2,26.4,36.7,2015.0,2015.0,2014.3,2014.3,468.0,468.0,472.0,468.0,43.0,43.0,63.0,62.9,17.5,17.5,30.5,30.4,2.1,1.9,0.2,164.2,146.2,18.0,167.4,149.0,18.4
