Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ashdod,442,139,1004.2,1082.7,2003.6,2002.1,2003.8,2003.9,89.7,221.9,105.4,110.0,9.0,63.9,45.0,44.9,33.0,80.4,70.2,71.2,445.5,179.4,266.1,33947.0,13734.5,20212.5,34598.8,13998.2,20600.6
Haifa,423,138,1519.6,1620.2,2003.6,2003.8,2004.7,2004.9,88.0,154.6,115.9,113.0,9.0,65.4,89.4,70.5,22.0,41.5,31.4,33.3,486.6,293.0,193.6,37335.0,22472.3,14862.7,38051.8,22903.8,15148.1
Hadera,14,12,569.7,1040.3,2009.6,2010.3,2006.1,2006.7,288.9,1134.8,600.8,569.2,321.5,474.2,484.2,412.8,108.5,106.0,126.0,135.3,71.8,63.1,8.7,5547.3,4876.3,671.1,5653.8,4969.9,683.9
Ashkelon,13,9,28.3,49.6,2003.8,2001.2,2008.9,2009.2,91.4,274.5,81.4,79.9,20.0,229.4,90.7,64.1,45.0,66.3,99.7,103.6,23.6,9.3,14.3,1809.1,703.6,1105.5,1843.9,717.1,1126.7
Caesarea,8,8,108.3,116.0,1999.8,1999.8,2003.1,2003.8,249.8,798.7,557.8,430.8,161.0,360.8,733.3,516.2,34.5,30.5,47.0,44.2,16.9,15.9,1.0,1294.2,1218.7,75.5,1319.0,1242.1,77.0
Binyamina-Giv'At Ada,7,7,19.3,20.3,1997.0,1997.0,2007.9,2008.2,351.2,506.1,372.9,354.6,66.0,396.9,1005.3,834.9,39.0,64.9,83.1,88.0,11.6,10.3,1.3,874.4,775.9,98.5,891.2,790.8,100.4
Akko,6,5,39.3,47.0,2001.2,2000.0,2001.9,2003.8,141.5,198.8,147.2,143.4,29.0,263.2,205.8,134.9,17.0,37.5,48.1,51.0,12.5,8.4,4.1,955.9,640.9,314.9,974.2,653.3,321.0
Kfar Vitkin,3,3,31.6,60.9,2003.3,2003.3,2013.8,2013.9,117.7,148.6,213.4,216.9,107.0,137.0,254.9,257.1,6.0,8.0,8.2,8.1,3.4,3.2,0.2,262.7,250.2,12.5,267.7,255.0,12.7
Eilat,2,2,33.4,12.9,2013.5,2013.5,2015.2,2010.8,581.4,581.4,568.5,598.3,80.5,80.5,74.6,89.7,12.0,12.0,12.4,11.4,6.2,5.6,0.6,477.0,430.4,46.6,486.2,438.7,47.5
Acre,1,1,0.0,0.0,1972.0,1972.0,1972.0,1972.0,62.6,62.6,62.6,62.6,121.0,121.0,121.0,121.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,27.1,27.1,0.0,27.7,27.7,0.0
