Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,289,62,7051.5,710.5,1999.7,2003.2,2004.1,2002.8,100.8,339.4,267.5,274.3,13.0,29.8,43.9,45.5,9.0,11.1,9.0,11.2,1641.7,1314.0,327.6,126900.3,101705.9,25194.3,129336.8,103658.7,25678.1
General cargo,288,55,697.5,879.6,1996.5,2001.2,2006.8,2006.4,112.0,1050.9,698.1,659.1,10.0,162.2,374.1,346.9,27.0,56.8,54.9,54.0,185.9,157.4,28.6,14182.7,12036.8,2145.9,14455.0,12267.9,2187.1
Oil tanker,223,109,16046.9,29939.9,2005.7,2006.0,2007.6,2007.7,363.9,1608.2,1701.6,1728.8,60.0,219.0,632.8,640.4,41.0,146.9,113.2,112.1,2516.7,1245.1,1271.6,194528.0,96214.1,98313.9,198262.9,98061.4,100201.5
Container,153,32,860.7,1061.3,2006.5,2007.2,2007.6,2007.5,165.8,472.9,382.0,385.9,16.0,46.1,91.3,90.7,20.0,25.4,27.0,27.2,212.6,164.7,47.9,16264.7,12655.4,3609.3,16577.0,12898.4,3678.6
Chemical tanker,125,69,2374.3,3930.1,2006.5,2007.9,2007.7,2007.8,481.5,1151.3,1008.5,1011.4,54.0,137.6,281.7,281.0,49.0,121.3,82.8,81.6,574.9,328.2,246.8,44129.4,25297.9,18831.5,44976.6,25783.6,19193.0
Service - tug,67,28,68.3,58.5,2009.1,2008.7,2011.4,2010.6,221.9,1488.0,1277.5,1544.0,85.0,430.0,1619.0,1999.3,12.0,104.5,170.7,152.2,57.9,54.9,3.0,4375.8,4147.9,227.9,4459.8,4227.5,232.3
Bulk carrier,53,24,3060.3,5655.1,2000.3,2005.4,2002.8,2002.6,533.2,2254.7,3498.4,3904.1,107.0,319.3,945.6,974.5,42.0,133.1,90.7,89.5,226.3,202.3,24.1,17458.5,15629.8,1828.7,17793.7,15929.9,1863.8
Vehicle,44,26,1879.9,605.7,2006.6,2006.6,2005.1,2004.8,462.6,693.6,980.6,964.5,31.0,59.0,244.9,240.7,9.5,9.4,15.2,14.9,130.5,125.2,5.3,10098.6,9689.7,408.9,10292.5,9875.8,416.7
Liquefied gas tanker,38,23,633.8,693.3,2004.8,2004.0,2003.1,2003.5,542.6,877.6,921.9,875.7,50.5,114.2,201.6,210.4,27.0,149.6,133.9,149.1,151.1,97.1,54.0,11029.8,6968.0,4061.8,11241.6,7101.7,4139.8
Refrigerated bulk,37,11,192.9,208.4,1994.2,1995.1,1993.1,1993.1,196.9,372.8,416.1,412.8,39.0,51.4,77.4,77.3,17.0,19.4,28.7,28.7,109.9,85.9,24.0,8348.8,6544.6,1804.2,8509.1,6670.2,1838.9
Service - other,35,21,447.0,391.9,1998.6,2000.1,1999.3,1999.6,1000.4,2038.3,1637.7,1929.5,143.0,281.8,330.0,325.1,64.0,256.4,287.4,270.9,155.2,142.2,12.9,11835.6,10864.2,971.4,12062.8,11072.8,990.0
Offshore,24,11,454.3,521.2,1986.3,1990.7,2004.5,2003.9,173.8,3564.5,2967.9,2515.6,71.5,317.8,621.4,586.6,65.5,350.5,108.8,106.1,115.7,102.1,13.6,8716.8,7691.8,1025.0,8884.1,7839.5,1044.7
Ro-Ro,2,2,2.2,3.9,1977.0,1977.0,1975.9,1976.0,837.6,837.6,793.2,758.2,116.0,116.0,156.2,152.4,70.0,70.0,102.6,99.5,3.1,1.7,1.4,233.2,127.5,105.7,237.6,129.9,107.7
Miscellaneous - fishing,1,1,0.2,0.1,1980.0,1980.0,1980.0,1980.0,512.1,512.1,512.1,512.1,85.0,85.0,85.0,85.0,2.0,2.0,2.0,2.0,0.3,0.3,0.0,22.5,22.3,0.3,23.0,22.7,0.3
Ferry-pax only,1,1,0.3,0.1,2000.0,2000.0,2000.0,2000.0,478.4,478.4,478.4,478.4,71.0,71.0,71.0,71.0,36.0,36.0,36.0,36.0,0.2,0.1,0.1,12.4,8.2,4.2,12.6,8.4,4.2
