Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,314,39,10927.0,1281.4,2001.8,2000.5,2007.4,2005.6,610.2,680.2,797.0,744.0,60.0,55.9,51.8,55.1,8.0,7.6,6.4,7.5,2327.7,2222.0,105.7,178989.9,170836.8,8153.2,182426.6,174116.8,8309.7
Bahamas,191,24,1797.4,300.6,1992.1,1995.2,1999.6,1996.6,419.1,483.9,365.1,409.8,44.0,63.4,25.8,49.8,9.0,19.6,7.5,17.4,501.2,438.6,62.6,38650.1,33864.4,4785.7,39392.2,34514.6,4877.5
Dominican Republic,75,24,578.9,64.5,1987.5,1997.3,2002.4,1998.8,163.0,354.2,182.7,187.3,27.0,147.0,21.2,48.5,20.0,21.0,7.9,13.8,177.0,142.1,34.9,13598.8,10906.0,2692.8,13859.9,11115.4,2744.5
Puerto Rico,43,10,1660.0,159.5,2004.1,1999.0,2006.3,2006.0,361.4,385.4,365.2,364.9,21.0,34.0,20.4,20.5,6.0,16.6,5.7,5.8,406.1,374.6,31.5,31266.2,28825.2,2441.0,31866.5,29378.7,2487.9
Curaçao,11,2,809.6,85.6,1996.5,1999.0,1996.6,1996.5,694.5,686.3,704.5,704.9,41.0,40.5,40.8,40.8,7.0,6.5,7.2,7.2,199.7,191.1,8.6,15460.2,14790.3,669.8,15757.0,15074.3,682.7
Jamaica,6,4,120.9,16.3,2004.7,2002.5,2006.3,2005.9,448.3,447.7,452.0,452.0,36.5,64.5,34.1,36.7,12.0,80.8,11.7,16.2,26.1,21.9,4.2,2021.7,1694.3,327.4,2060.5,1726.8,333.7
Cayman Islands,5,3,5.6,7.9,1982.0,1981.3,1982.0,1982.0,613.9,615.5,617.5,617.5,50.0,51.2,51.9,51.9,4.0,4.7,5.0,5.0,4.2,4.1,0.1,315.0,306.1,8.9,321.1,312.0,9.1
Virgin Islands (U.S.),4,3,264.1,26.6,2010.0,2011.3,2010.6,2009.9,436.1,547.1,519.1,521.3,23.5,29.5,30.4,30.5,4.5,4.7,4.5,4.4,51.9,48.4,3.5,3973.7,3704.4,269.3,4050.0,3775.5,274.5
Cuba,3,2,30.3,3.6,1989.0,1985.0,1991.0,1986.7,667.3,509.0,515.8,419.5,49.0,38.2,49.2,41.7,8.0,7.2,7.0,7.2,10.1,9.2,0.9,781.3,709.3,72.0,796.3,722.9,73.4
Panama,3,1,0.6,0.9,1969.0,1969.0,1969.0,1969.0,150.7,150.7,136.2,136.2,37.0,37.0,37.4,37.4,53.0,53.0,54.8,54.8,2.2,0.8,1.3,162.5,61.8,100.7,165.6,63.0,102.7
"Bonaire, Sint Eustatius and Saba",3,2,222.1,21.2,1998.7,2000.0,1998.9,1998.3,677.8,699.7,692.7,689.1,41.0,41.2,41.1,40.9,8.0,8.2,8.1,7.9,50.9,48.3,2.6,3940.2,3739.6,200.6,4015.8,3811.4,204.5
Bermuda,3,3,305.0,34.5,2001.0,2001.0,2001.8,2002.1,767.5,1067.0,1021.2,1073.9,45.0,60.0,66.1,69.4,7.0,7.0,7.2,7.3,71.8,67.9,3.9,5561.8,5261.9,299.8,5668.5,5363.0,305.6
Saint Kitts and Nevis,3,3,225.5,19.8,2012.3,2012.3,2012.6,2012.9,608.1,607.3,608.1,610.7,40.0,37.3,37.5,37.8,7.0,4.7,4.8,5.1,37.7,36.2,1.5,2918.2,2804.1,114.1,2974.2,2857.9,116.3
Virgin Islands (British),3,2,188.5,14.8,2010.7,2011.0,2010.9,2010.8,465.8,546.8,523.9,519.4,39.0,43.0,42.5,42.2,9.0,4.8,5.4,5.7,34.5,32.5,2.0,2659.1,2504.6,154.5,2710.1,2552.7,157.5
Portugal,2,1,49.0,67.9,2011.0,2011.0,2011.0,2011.0,3671.9,3671.9,3671.9,3671.9,343.5,343.5,343.8,343.8,248.0,248.0,245.0,245.0,11.0,9.6,1.3,844.6,743.9,100.7,860.8,758.2,102.6
Grenada,1,1,1.3,1.3,1976.0,1976.0,1976.0,1976.0,1007.1,1007.1,1007.1,1007.1,119.0,119.0,119.0,119.0,40.0,40.0,40.0,40.0,0.6,0.5,0.0,42.5,40.5,2.0,43.3,41.3,2.0
Antigua and Barbuda,1,1,74.5,6.2,2010.0,2010.0,2010.0,2010.0,647.2,647.2,647.2,647.2,41.0,41.0,41.0,41.0,12.0,12.0,12.0,12.0,13.5,12.2,1.3,1042.2,944.4,97.8,1062.2,962.6,99.7
Sint Maarten (Dutch part),1,1,61.7,5.1,2010.0,2010.0,2010.0,2010.0,536.3,536.3,536.3,536.3,40.0,40.0,40.0,40.0,10.0,10.0,10.0,10.0,10.1,9.1,1.1,783.6,702.2,81.5,798.7,715.7,83.0
Gibraltar,1,1,297.0,524.1,2013.0,2013.0,2013.0,2013.0,8292.3,8292.3,8292.3,8292.3,785.0,785.0,785.0,785.0,17.0,17.0,17.0,17.0,20.6,20.1,0.5,1598.4,1557.8,40.6,1629.1,1587.7,41.3
