Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,318,109,2223.6,3156.5,1997.2,2002.9,2007.5,2007.4,479.6,1392.0,1453.7,1457.2,77.5,158.4,261.7,262.3,32.0,43.7,57.2,58.1,519.1,477.6,41.5,39788.7,36668.9,3119.8,40552.6,37372.9,3179.7
Container,280,24,1222.7,1572.2,2007.1,2007.5,2008.6,2008.6,400.6,452.1,426.7,426.7,30.0,36.5,43.9,44.0,18.0,20.2,20.3,20.6,322.6,262.4,60.1,24689.7,20171.4,4518.3,25163.7,20558.7,4605.0
Bulk carrier,119,63,3652.0,5652.4,2003.9,2007.7,2010.0,2009.9,753.9,2373.2,2312.9,2335.9,169.0,251.3,331.1,332.4,30.0,48.8,29.2,29.3,440.0,423.7,16.3,33972.2,32737.8,1234.3,34624.4,33366.4,1258.0
Oil tanker,114,11,338.2,510.9,2004.2,2000.4,2004.6,2004.5,472.7,501.3,524.6,528.1,61.0,194.4,121.3,124.1,40.0,38.1,59.4,59.4,241.4,167.9,73.6,18252.9,12720.3,5532.6,18603.4,12964.5,5638.9
Offshore,102,21,291.0,357.0,2009.0,2010.6,2013.1,2012.8,687.5,1164.6,1308.1,1253.2,96.0,241.8,492.2,499.3,46.0,289.5,421.8,419.5,226.5,143.4,83.1,17003.0,10763.6,6239.4,17329.4,10970.2,6359.2
Chemical tanker,86,11,229.9,362.5,2007.8,2008.6,2007.8,2007.7,450.0,688.3,514.8,521.6,56.0,74.9,109.8,111.4,38.0,95.6,81.1,80.9,166.3,92.8,73.5,12586.1,7062.4,5523.7,12827.8,7198.0,5629.8
Liquefied gas tanker,40,4,77.0,79.2,2009.0,2005.2,2008.9,2008.9,432.2,441.7,478.3,478.1,42.5,57.8,48.6,48.6,23.5,23.0,25.4,25.4,49.8,34.1,15.7,3798.3,2614.3,1184.1,3871.2,2664.4,1206.8
Refrigerated bulk,25,12,541.9,616.4,1997.9,1996.4,1998.7,1998.7,2307.7,1810.1,2025.6,2032.2,141.0,122.8,144.1,144.2,34.0,50.1,44.0,43.9,239.1,209.6,29.5,18259.5,16044.2,2215.3,18610.0,16352.2,2257.8
Vehicle,25,2,115.2,38.0,2002.7,2003.0,2004.0,2002.6,252.4,318.5,311.1,322.5,32.0,35.8,41.5,43.2,16.0,13.2,13.3,12.6,18.1,15.1,3.0,1381.6,1156.2,225.3,1408.1,1178.4,229.7
Service - tug,11,4,8.4,6.1,2004.1,1997.8,2005.8,2005.9,710.7,807.4,750.2,748.4,191.0,269.2,243.1,240.6,88.0,186.9,92.0,87.8,10.1,8.8,1.2,757.4,664.1,93.3,772.0,676.9,95.1
Service - other,6,5,15.6,9.8,2006.8,2005.2,2000.6,2001.9,634.0,1327.7,1065.1,924.8,86.5,205.1,393.6,356.8,36.5,227.3,548.7,486.4,10.0,6.1,3.9,748.6,456.7,291.9,763.0,465.5,297.5
