Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Trinidad and Tobago,458,118,1494.8,1857.3,2005.6,2005.7,2009.0,2008.6,414.4,583.0,492.7,482.1,45.0,124.3,210.9,203.0,24.0,68.9,65.0,54.4,546.3,409.7,136.6,41389.3,31115.0,10274.2,42183.9,31712.4,10471.5
Suriname,289,76,605.5,791.1,2005.4,2005.4,2007.0,2007.4,232.7,267.4,247.4,250.0,21.0,53.4,61.9,64.1,22.0,31.0,29.5,30.8,238.6,158.2,80.4,18148.5,12099.5,6048.9,18496.9,12331.8,6165.1
Barbados,99,25,161.6,210.9,1991.1,1989.5,1996.0,1995.4,421.6,466.9,430.6,432.0,47.0,81.4,67.9,71.3,24.0,79.6,57.3,59.7,65.6,48.7,16.9,5003.0,3731.8,1271.2,5099.1,3803.4,1295.6
Saint Lucia,41,20,105.1,154.1,1998.6,2003.2,2004.2,2003.9,556.5,658.6,604.2,590.0,63.0,83.0,92.6,85.2,42.0,44.4,56.9,60.4,30.1,22.6,7.5,2294.4,1727.5,566.8,2338.4,1760.7,577.7
United States of America,25,23,617.5,923.2,2008.6,2008.8,2010.2,2010.0,2494.1,2741.5,2563.4,2541.1,272.0,454.3,408.3,385.4,60.0,177.0,144.9,145.3,134.7,118.9,15.8,10240.5,9047.9,1192.5,10437.1,9221.7,1215.4
Venezuela (Bolivarian Republic of),24,19,200.4,309.0,2003.5,2005.9,2008.5,2008.3,598.6,721.4,800.6,809.6,61.5,135.1,191.6,193.8,47.5,72.6,109.3,111.7,31.9,26.4,5.5,2438.4,2024.7,413.7,2485.2,2063.6,421.6
Colombia,22,18,200.5,287.2,2005.8,2006.3,2010.1,2010.3,1256.5,1249.7,1232.0,1235.2,141.5,147.8,123.2,123.8,47.0,51.9,57.6,58.5,34.2,31.5,2.7,2614.2,2412.0,202.2,2664.4,2458.3,206.1
Dominican Republic,20,16,178.7,239.9,2006.4,2006.2,2006.7,2007.9,1055.4,1060.7,1080.6,1087.7,109.5,111.7,117.1,118.3,40.5,70.4,69.2,74.8,32.8,28.6,4.1,2513.0,2201.9,311.1,2561.3,2244.2,317.1
Grenada,20,10,44.1,44.4,1997.1,1997.8,2000.3,2001.4,450.1,449.9,448.0,450.9,44.0,53.0,44.4,44.6,30.0,55.7,33.2,40.6,12.5,8.9,3.6,956.3,684.9,271.3,974.6,698.1,276.6
Brazil,15,14,246.5,377.4,2007.1,2006.7,2009.1,2009.5,969.8,1446.4,1311.3,1313.9,96.0,171.6,154.7,152.9,36.0,78.6,95.6,95.6,36.2,33.6,2.6,2782.2,2587.7,194.5,2835.6,2637.3,198.2
Saint Vincent and the Grenadines,10,10,27.0,40.3,2005.8,2005.8,2010.0,2010.1,448.2,453.2,450.9,451.6,53.0,70.8,54.3,53.7,25.0,30.3,27.7,28.2,6.2,5.0,1.2,470.2,381.9,88.3,479.2,389.2,90.0
Jamaica,10,10,131.4,201.2,2007.9,2007.9,2007.9,2007.9,1421.7,1541.2,1525.0,1528.2,138.0,194.1,212.0,212.4,64.5,81.5,114.8,119.8,24.2,19.9,4.3,1855.8,1534.5,321.3,1891.4,1564.0,327.4
French Guiana,10,6,42.9,58.0,2009.3,2009.5,2009.1,2009.1,469.9,460.2,503.0,504.3,42.5,41.9,47.6,47.7,45.0,55.0,61.2,62.0,10.8,7.8,3.0,825.2,603.0,222.2,841.0,614.6,226.5
Haiti,10,9,134.2,210.1,2003.0,2002.6,2006.5,2006.3,1394.3,1421.4,1393.0,1395.5,132.5,176.3,140.7,141.8,141.0,137.2,116.2,116.9,25.6,20.1,5.4,1958.6,1550.5,408.1,1996.2,1580.3,415.9
Nigeria,9,3,2.7,4.7,1968.6,1978.7,1968.8,1965.6,398.0,618.6,347.4,329.7,59.0,156.3,87.4,66.8,33.0,60.0,62.9,67.4,2.1,1.7,0.5,160.3,124.7,35.6,163.4,127.1,36.3
Mexico,8,8,246.4,339.8,2008.5,2008.5,2010.3,2010.7,2655.5,3036.1,2733.5,2693.3,238.5,286.0,269.2,260.6,44.5,87.5,67.1,62.8,40.6,37.8,2.8,3127.0,2914.5,212.5,3187.1,2970.4,216.6
Curaçao,8,5,15.5,19.8,1987.0,1991.6,1988.6,1988.4,831.9,890.1,840.8,838.5,110.5,111.9,103.6,103.3,71.0,73.4,72.8,73.3,5.3,4.5,0.8,404.1,340.8,63.3,411.9,347.3,64.5
Martinique,8,5,27.3,40.0,2006.8,2006.6,2006.7,2006.7,513.8,533.5,528.9,527.8,47.5,55.3,54.0,53.8,12.0,34.4,31.4,31.1,6.8,5.5,1.2,517.7,424.6,93.1,527.7,432.8,94.9
United Kingdom of Great Britain and Northern Ireland,6,4,186.9,275.4,2008.8,2008.8,2009.2,2009.2,4118.5,4104.0,4107.8,4108.5,350.0,353.2,351.5,351.2,83.0,67.1,73.0,72.6,38.5,37.1,1.4,2966.7,2863.5,103.1,3023.6,2918.5,105.1
Aruba,6,6,35.1,54.2,1995.3,1995.3,2004.3,2004.2,954.3,1020.9,955.8,955.6,138.5,308.3,160.8,162.5,66.5,246.3,178.7,173.5,20.9,10.1,10.8,1579.8,768.1,811.6,1610.1,782.9,827.2
Spain,5,3,186.6,276.9,2009.4,2009.7,2009.7,2009.7,3320.6,3054.3,2969.4,2959.2,256.0,242.7,237.5,236.6,32.0,39.3,40.7,41.3,29.2,28.7,0.5,2256.7,2216.7,40.0,2300.1,2259.3,40.8
Viet Nam,5,1,6.4,9.7,2012.0,2012.0,2012.0,2012.0,169.3,169.3,391.8,391.8,118.0,118.0,270.8,270.8,10.0,10.0,30.4,30.4,3.4,3.1,0.2,253.5,235.3,18.2,258.4,239.8,18.6
Dominica,5,5,15.5,22.3,2013.2,2013.2,2012.9,2013.0,590.2,593.6,593.6,593.5,59.0,65.6,66.6,66.5,11.0,22.2,21.2,21.4,4.0,3.3,0.6,303.7,256.1,47.6,309.6,261.0,48.5
Guadeloupe,4,3,15.0,19.7,2009.8,2009.3,2008.8,2008.6,676.0,667.6,675.6,676.1,59.5,61.2,62.2,62.6,32.5,75.0,90.2,97.4,6.3,4.0,2.3,484.3,310.6,173.7,493.6,316.6,177.0
Cuba,3,3,132.0,207.3,2008.0,2008.0,2008.8,2008.8,1786.0,2024.4,2041.4,2037.3,518.0,519.0,598.1,594.6,86.0,75.3,67.7,67.8,16.6,16.0,0.6,1284.8,1238.0,46.8,1309.5,1261.8,47.7
Netherlands,3,3,91.0,105.4,2005.3,2005.3,2004.1,2004.7,4100.1,4119.8,4094.1,4106.8,364.0,346.0,326.9,337.0,21.0,21.0,18.8,20.0,26.7,26.3,0.4,2042.8,2013.3,29.5,2082.0,2051.9,30.1
Antigua and Barbuda,3,3,10.5,12.6,2008.0,2008.0,2008.3,2008.4,718.4,721.1,713.0,710.2,65.0,80.0,61.0,60.1,15.0,31.3,15.4,15.0,3.4,3.2,0.2,264.1,246.1,18.0,269.2,250.8,18.4
Saint Kitts and Nevis,3,2,7.0,11.0,1988.3,1994.5,1998.7,1997.9,755.2,825.1,835.9,831.5,94.0,96.2,95.9,96.1,34.0,39.2,35.9,36.6,1.9,1.5,0.3,140.7,115.8,24.9,143.4,118.0,25.4
Cabo Verde,3,3,92.2,136.9,2005.7,2005.7,2006.9,2006.9,2032.0,2036.7,2017.5,2016.1,168.0,188.7,172.3,170.9,48.0,49.0,45.2,44.9,12.2,11.7,0.5,943.7,906.2,37.5,961.8,923.6,38.2
Peru,2,2,37.6,52.3,2004.0,2004.0,2007.6,2007.1,2998.7,2998.7,2983.7,2986.0,363.0,363.0,309.4,317.6,15.0,15.0,19.7,19.0,7.9,7.8,0.2,612.0,597.9,14.1,623.8,609.4,14.4
"Bonaire, Sint Eustatius and Saba",2,2,7.1,10.9,2010.5,2010.5,2010.4,2010.3,737.8,737.8,738.3,738.4,103.0,103.0,103.8,103.9,27.5,27.5,28.1,28.2,2.8,2.2,0.6,209.3,164.7,44.7,213.4,167.8,45.5
Ecuador,2,2,72.5,108.0,2011.0,2011.0,2012.8,2013.0,2309.8,2309.8,2355.1,2360.9,253.0,253.0,260.7,261.7,58.5,58.5,89.2,92.8,6.9,6.4,0.4,530.9,496.3,34.6,541.1,505.8,35.3
Panama,2,2,36.0,41.4,2012.0,2012.0,2012.2,2012.3,1700.5,1700.5,1630.9,1625.5,650.5,650.5,521.3,505.9,71.5,71.5,72.4,72.5,7.7,7.0,0.7,589.9,536.2,53.7,601.3,546.5,54.8
Benin,1,1,100.3,143.4,2011.0,2011.0,2011.0,2011.0,4144.0,4144.0,4144.0,4144.0,314.0,314.0,314.0,314.0,97.0,97.0,97.0,97.0,12.9,12.6,0.2,997.0,978.7,18.3,1016.1,997.5,18.6
Puerto Rico,1,1,13.6,20.6,2010.0,2010.0,2010.0,2010.0,972.1,972.1,972.1,972.1,100.0,100.0,100.0,100.0,259.0,259.0,259.0,259.0,1.7,1.2,0.5,130.1,89.1,40.9,132.6,90.8,41.7
Senegal,1,1,81.0,141.0,2001.0,2001.0,2001.0,2001.0,2883.5,2883.5,2883.5,2883.5,220.0,220.0,220.0,220.0,60.0,60.0,60.0,60.0,6.5,6.2,0.3,502.1,481.8,20.3,511.7,491.0,20.7
Nicaragua,1,1,28.6,49.3,2008.0,2008.0,2008.0,2008.0,2364.6,2364.6,2364.6,2364.6,219.0,219.0,219.0,219.0,71.0,71.0,71.0,71.0,6.0,4.4,1.6,462.5,339.5,123.0,471.4,346.0,125.4
Virgin Islands (U.S.),1,1,5.7,9.5,2007.0,2007.0,2007.0,2007.0,815.7,815.7,815.7,815.7,70.0,70.0,70.0,70.0,16.0,16.0,16.0,16.0,1.7,1.6,0.1,128.7,119.2,9.6,131.2,121.4,9.8
Canada,1,1,22.8,33.6,2006.0,2006.0,2006.0,2006.0,2481.7,2481.7,2481.7,2481.7,185.0,185.0,185.0,185.0,56.0,56.0,56.0,56.0,5.1,4.8,0.3,392.1,369.9,22.2,399.6,377.0,22.6
Mauritania,1,1,20.2,27.5,2006.0,2006.0,2006.0,2006.0,2600.3,2600.3,2600.3,2600.3,287.0,287.0,287.0,287.0,21.0,21.0,21.0,21.0,5.2,5.0,0.1,398.7,387.8,10.9,406.4,395.3,11.1
Gibraltar,1,1,104.6,178.4,1998.0,1998.0,1998.0,1998.0,3521.7,3521.7,3521.7,3521.7,290.0,290.0,290.0,290.0,180.0,180.0,180.0,180.0,9.6,8.7,0.9,739.6,669.4,70.3,753.8,682.2,71.6
Turkey,1,1,26.7,32.0,1990.0,1990.0,1990.0,1990.0,5230.9,5230.9,5230.9,5230.9,413.0,413.0,413.0,413.0,60.0,60.0,60.0,60.0,12.7,11.7,1.0,970.3,896.5,73.8,988.9,913.7,75.2
Malaysia,1,1,271.5,399.6,2016.0,2016.0,2016.0,2016.0,10536.3,10536.3,10536.3,10536.3,791.0,791.0,791.0,791.0,34.0,34.0,34.0,34.0,27.1,27.0,0.1,2101.7,2092.7,9.1,2142.1,2132.8,9.2
