Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Suva,343,164,12564.2,10994.8,2005.6,2005.4,2006.6,2008.2,1110.8,3245.7,1876.9,1851.0,82.0,434.4,273.8,285.0,22.0,62.4,67.2,55.1,2164.3,2023.7,140.6,166907.0,156119.3,10787.8,170111.6,159116.7,10994.9
Lautoka,139,54,4280.6,3891.0,2004.8,2005.4,2005.4,2006.6,1219.6,1876.5,1553.9,1753.2,93.0,184.4,195.4,253.1,22.0,56.2,70.0,98.5,836.2,775.8,60.4,64474.2,59899.4,4574.8,65712.1,61049.5,4662.7
Nadi,72,22,2125.6,1962.3,2006.8,2006.5,2004.3,2011.1,737.2,2121.8,1663.5,2555.5,71.0,197.1,246.8,365.7,22.0,50.7,25.7,31.5,419.1,366.2,52.9,32336.7,28301.2,4035.5,32957.5,28844.6,4113.0
Malau (Labasa),21,3,151.2,214.9,2010.9,2012.3,2014.5,2014.8,524.8,1921.9,1568.1,1826.5,51.0,188.7,339.6,370.3,21.0,86.7,152.4,169.7,28.8,23.0,5.7,2202.0,1772.3,429.7,2244.3,1806.3,438.0
Savusavu,7,1,28.8,42.1,2010.0,2010.0,2010.0,2010.0,490.2,490.2,853.7,853.7,55.0,55.0,167.4,167.4,9.0,9.0,12.8,12.8,10.4,9.3,1.0,792.5,714.3,78.2,807.7,728.0,79.7
Levuka,6,3,50.3,56.0,1982.2,1987.3,1987.0,1987.2,698.3,6790.5,8444.3,8670.4,257.5,916.5,2122.4,2116.0,175.0,279.7,466.2,465.5,45.2,37.7,7.5,3419.6,2854.1,565.5,3485.2,2908.9,576.3
Nambouwalu,6,5,960.0,1180.1,2004.7,2004.2,2004.6,2004.7,3997.5,4068.6,4052.1,4050.5,344.0,360.5,350.8,350.4,59.0,72.2,69.4,69.2,80.3,78.8,1.6,6222.6,6101.3,121.3,6342.1,6218.4,123.7
Ellington Wharf,1,1,181.6,333.6,1990.0,1990.0,1990.0,1990.0,4736.6,4736.6,4736.6,4736.6,461.0,461.0,461.0,461.0,86.0,86.0,86.0,86.0,11.4,10.9,0.5,885.1,847.8,37.3,902.1,864.1,38.0
Rabi,1,1,1.4,0.2,1990.0,1990.0,1990.0,1990.0,202.4,202.4,202.4,202.4,22.0,22.0,22.0,22.0,9.0,9.0,9.0,9.0,0.6,0.5,0.1,46.3,35.1,11.2,47.2,35.8,11.5
Yasawa Island,1,1,32.6,2.9,1995.0,1995.0,1995.0,1995.0,639.2,639.2,639.2,639.2,38.0,38.0,38.0,38.0,10.0,10.0,10.0,10.0,8.5,8.1,0.4,657.9,623.9,34.0,670.5,635.9,34.6
Wairiki,1,1,4.4,2.2,2002.0,2002.0,2002.0,2002.0,13476.6,13476.6,13476.6,13476.6,1905.0,1905.0,1905.0,1905.0,650.0,650.0,650.0,650.0,8.6,7.6,1.0,648.0,570.9,77.1,660.5,581.9,78.6
Vanua Mbalavu,1,1,0.8,0.1,2003.0,2003.0,2003.0,2003.0,203.9,203.9,203.9,203.9,18.0,18.0,18.0,18.0,8.0,8.0,8.0,8.0,0.4,0.2,0.1,27.9,18.0,9.9,28.5,18.3,10.1
