Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Suva,426,81,635.2,556.9,1990.7,2004.9,1998.7,2005.5,130.0,902.6,160.5,154.2,13.0,41.5,56.6,52.7,29.0,181.3,115.5,132.0,419.9,173.0,246.9,31777.9,13152.5,18625.4,32388.0,13405.0,18983.0
Savusavu,205,7,203.5,48.2,1969.3,1992.1,1976.8,1979.3,124.8,130.7,152.7,162.4,11.0,15.9,22.6,24.3,10.0,9.2,11.2,11.1,72.6,51.9,20.6,5480.1,3924.2,1556.0,5585.3,3999.5,1585.8
Lautoka,162,48,423.9,306.2,2004.8,2003.1,2003.5,2004.4,133.5,666.4,176.9,155.8,13.0,98.9,81.1,66.0,23.5,57.7,54.7,40.9,187.5,117.9,69.7,14260.5,8995.4,5265.1,14534.3,9168.1,5366.2
Nadi,123,17,210.1,90.1,1999.5,2004.2,1997.9,2006.4,150.0,170.0,173.9,181.7,43.0,25.1,33.0,45.6,19.0,36.4,29.4,50.8,195.5,102.4,93.1,14795.7,7766.9,7028.8,15079.8,7916.1,7163.7
Turtle Island,80,5,18.8,4.2,1997.0,1995.6,1997.4,1996.9,118.8,1115.3,118.4,102.3,23.5,246.1,109.9,131.0,22.5,21.5,30.7,19.5,94.3,51.9,42.4,7079.2,3894.4,3184.8,7215.2,3969.2,3245.9
Rabi,69,9,20.1,5.8,1976.6,1994.3,1974.8,1981.3,57.1,182.3,72.4,83.1,6.0,39.1,17.2,31.2,16.0,14.3,16.3,16.3,18.2,10.5,7.7,1364.1,789.5,574.6,1390.3,804.7,585.6
Malau (Labasa),57,8,37.4,45.8,2010.3,2010.1,2010.3,2010.6,199.7,192.7,248.5,247.9,25.0,22.5,30.0,30.4,21.0,38.1,48.2,57.8,37.0,15.1,21.9,2795.3,1144.0,1651.3,2848.9,1165.9,1683.0
Moala,32,3,8.8,6.5,1992.9,2003.0,1986.8,1989.0,131.8,133.1,331.3,328.9,14.5,43.5,161.0,165.8,9.0,11.5,13.6,14.6,14.5,12.7,1.8,1089.4,954.0,135.4,1110.3,972.3,138.0
Vanua Mbalavu,24,4,5.1,3.2,1996.8,2003.0,2002.4,2004.5,183.2,300.4,234.2,224.8,20.0,52.8,68.2,83.6,10.5,19.5,18.2,15.2,8.1,6.5,1.5,605.6,492.1,113.4,617.2,501.6,115.6
Levuka,19,10,6.1,5.1,1995.5,1997.2,1994.0,1995.1,125.8,129.0,143.0,153.7,18.0,266.2,205.7,78.9,21.0,32.6,18.6,8.6,22.6,19.3,3.3,1699.9,1448.8,251.1,1732.6,1476.6,256.0
Cicia,18,3,3.3,2.3,1987.7,2003.0,1983.2,1984.2,144.3,149.5,200.8,197.6,19.0,32.8,65.4,65.6,2.0,24.0,6.6,7.8,4.2,3.2,1.0,313.7,240.8,72.9,319.7,245.4,74.3
Nambouwalu,14,7,7.4,9.3,2003.7,2003.9,2005.9,2006.3,115.8,908.5,137.2,163.5,13.0,174.1,115.5,94.4,16.5,161.5,313.9,408.8,14.6,12.4,2.2,1100.2,930.9,169.3,1121.3,948.8,172.5
Yasawa Island,10,4,9.2,1.9,2011.2,2007.0,1997.3,2006.1,79.0,448.1,156.5,162.5,11.0,39.0,22.7,57.2,7.0,20.2,13.4,31.0,4.4,3.0,1.4,335.5,232.0,103.5,342.0,236.5,105.5
Mana Island,8,3,1.4,0.4,1997.2,1996.7,1997.2,1996.2,130.7,179.7,106.2,118.4,61.5,178.8,85.9,217.9,13.0,41.5,18.4,53.1,8.4,6.8,1.6,631.0,509.4,121.5,643.1,519.2,123.8
Ellington Wharf,6,2,8.2,12.9,1995.0,1993.0,1991.0,1990.2,98.0,125.8,151.0,169.3,14.0,264.0,429.1,497.2,12.5,6.5,2.7,0.6,5.7,4.4,1.3,440.2,340.8,99.5,448.7,347.3,101.4
Maolo Lailai Island,6,1,0.4,0.6,1996.0,1996.0,1996.0,1996.0,119.8,119.8,201.6,201.6,277.5,277.5,649.1,649.1,13.5,13.5,97.8,97.8,10.3,9.2,1.1,774.6,690.2,84.4,789.5,703.4,86.1
Singatoka,2,2,1.1,1.2,2009.5,2009.5,2013.5,2013.2,3313.9,3313.9,1924.6,1403.6,568.5,568.5,1045.8,1011.8,10.5,10.5,12.7,12.5,1.8,1.8,0.0,134.9,133.0,1.9,137.5,135.5,2.0
