Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Offshore,1303,31,207.7,131.4,2014.1,2012.9,2013.9,2013.6,153.2,472.3,197.5,180.8,21.0,203.2,400.6,431.5,11.0,140.8,245.7,279.3,520.4,356.9,163.5,39073.7,26797.0,12276.7,39823.9,27311.5,12512.4
Service - tug,470,39,217.8,168.9,2014.6,2010.6,2013.3,2013.0,116.0,854.7,179.1,187.8,37.0,298.3,447.5,439.1,26.0,104.0,139.0,139.6,167.9,126.0,41.9,12603.2,9458.9,3144.3,12845.1,9640.5,3204.6
Service - other,113,9,111.1,50.9,2012.9,2011.8,2007.4,2010.1,369.2,1344.3,1330.0,1239.1,80.0,285.2,922.9,953.9,35.0,95.9,425.2,577.9,127.4,83.6,43.8,9567.6,6275.8,3291.8,9751.3,6396.3,3355.0
Ro-Ro,93,5,8.6,7.4,2003.6,2010.8,2007.0,2008.2,87.7,773.5,137.1,161.7,36.0,133.5,345.8,414.1,26.0,70.1,176.7,202.1,67.2,34.8,32.4,5046.8,2615.7,2431.1,5143.7,2665.9,2477.8
Chemical tanker,6,4,13.0,17.5,2004.2,2003.2,2005.2,2005.1,285.2,603.8,716.9,655.0,14.5,66.8,293.5,278.9,7.5,9.2,8.1,8.2,5.3,4.6,0.7,400.9,348.9,52.0,408.6,355.6,53.0
Container,3,3,14.1,18.3,1999.0,1999.0,2001.0,2001.1,542.4,533.6,654.6,653.2,49.0,46.0,64.3,64.5,4.0,6.0,8.0,8.0,2.8,2.5,0.3,211.6,188.1,23.4,215.6,191.7,23.9
Oil tanker,2,2,0.5,0.6,1988.0,1988.0,1988.4,1987.8,259.0,259.0,245.4,250.0,18.0,18.0,18.3,17.8,39.0,39.0,39.2,38.9,0.6,0.2,0.4,41.3,12.9,28.4,42.1,13.1,29.0
Liquefied gas tanker,2,1,324.8,212.0,2002.0,2002.0,2002.0,2002.0,1457.1,1457.1,1457.1,1457.1,260.5,260.5,459.5,459.5,44.0,44.0,18.5,18.5,38.2,35.0,3.2,2538.2,2298.3,239.9,2587.0,2342.4,244.5
Ferry-RoPax,2,1,3.8,1.7,2015.0,2015.0,2015.0,2015.0,775.8,775.8,775.8,775.8,533.5,533.5,963.7,963.7,41.0,41.0,63.1,63.1,7.2,6.7,0.5,539.0,501.3,37.7,549.3,510.9,38.4
General cargo,1,1,0.8,1.3,2008.0,2008.0,2008.0,2008.0,294.3,294.3,294.3,294.3,31.0,31.0,31.0,31.0,201.0,201.0,201.0,201.0,0.2,0.1,0.1,17.4,8.8,8.6,17.8,9.0,8.8
