Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United States of America,461,139,17061.7,18438.9,2002.3,2007.7,2004.4,2005.8,1620.4,1797.2,1704.5,1765.6,120.0,171.1,140.1,157.7,29.0,49.3,35.0,41.0,3477.4,3205.6,271.8,266844.6,246433.7,20410.9,271968.0,251165.2,20802.8
Guatemala,358,98,5666.5,5801.1,2007.4,2006.8,2007.4,2007.4,511.4,779.7,621.5,639.5,40.0,65.8,71.6,71.2,16.0,32.1,21.6,25.3,1203.0,1073.8,129.2,92715.9,82838.7,9877.2,94496.0,84429.2,10066.8
Colombia,308,162,7190.9,4379.0,2005.5,2006.5,2007.0,2009.2,500.1,627.2,628.5,578.5,48.0,67.3,64.0,72.4,18.0,39.9,21.5,40.7,1222.5,1105.4,117.1,94612.6,85577.2,9035.3,96429.2,87220.3,9208.8
Panama,197,112,1390.0,1661.4,2003.8,2005.2,2006.4,2007.6,221.6,353.8,359.4,357.4,32.0,77.1,78.0,77.5,31.0,64.1,61.9,59.6,407.7,283.0,124.7,31202.7,21686.1,9516.6,31801.8,22102.5,9699.3
Mexico,98,69,4994.3,3449.2,2007.1,2007.6,2006.3,2008.5,1420.1,1563.4,1425.2,1550.3,110.5,132.7,115.4,132.9,35.0,53.3,36.9,61.5,811.9,762.0,49.9,62736.4,58930.8,3805.6,63940.9,60062.2,3878.7
Honduras,95,47,2040.4,1799.0,2003.6,2004.5,2004.6,2004.9,733.4,737.7,696.0,764.3,43.0,59.0,59.9,67.4,11.0,39.0,25.8,35.9,365.7,334.9,30.7,28262.3,25901.9,2360.4,28804.9,26399.3,2405.7
Jamaica,94,28,1842.0,1693.0,2004.8,2003.2,2005.2,2005.6,756.5,855.8,767.1,774.2,60.0,114.6,79.5,99.4,14.0,33.4,22.7,30.3,397.0,350.3,46.7,30653.5,27052.2,3601.2,31242.0,27571.6,3670.4
Chile,92,39,594.2,790.4,2003.7,2005.1,2009.8,2011.9,261.7,904.1,1329.8,1454.7,33.0,259.4,236.8,237.3,21.0,120.3,98.9,117.1,127.1,101.9,25.1,9672.7,7780.0,1892.7,9858.4,7929.4,1929.0
Nicaragua,89,62,1053.0,820.0,2007.4,2008.0,2006.6,2008.4,293.7,349.0,334.4,375.8,22.0,40.0,40.1,53.8,24.0,49.2,33.7,53.2,223.2,186.6,36.6,17226.9,14423.9,2803.0,17557.6,14700.8,2856.8
Ecuador,89,52,1931.4,1957.7,2006.1,2005.3,2007.2,2009.3,1031.5,1107.0,947.6,1005.5,90.0,146.8,117.8,125.9,11.0,32.0,19.4,22.6,366.0,342.3,23.7,28165.7,26371.2,1794.5,28706.5,26877.5,1829.0
Puerto Rico,51,9,618.3,620.0,1994.7,1997.9,1994.7,1995.0,1133.9,1158.3,1146.2,1149.7,66.0,82.9,71.1,72.5,4.0,18.8,6.6,8.5,253.8,246.6,7.2,19410.0,18869.2,540.8,19782.6,19231.5,551.2
Ireland,47,15,7248.5,8945.1,2009.6,2010.0,2011.5,2011.2,4405.3,4415.2,4445.9,4444.0,248.0,252.2,253.8,254.1,8.0,7.8,7.9,7.9,1034.3,1029.5,4.9,80123.0,79746.3,376.7,81661.4,81277.5,383.9
Dominican Republic,45,18,881.8,1059.8,2007.2,2006.8,2007.6,2007.1,1009.6,1063.6,1057.9,1035.4,91.0,104.1,96.1,94.3,22.0,40.8,23.4,25.3,213.4,199.7,13.6,16461.7,15423.5,1038.1,16777.7,15719.6,1058.1
Netherlands,43,12,3423.1,3485.1,2005.4,2001.0,2005.6,2005.1,5107.5,5015.4,5129.6,5121.1,324.0,314.3,321.8,320.5,57.0,40.4,57.0,54.4,1096.3,1026.9,69.4,83924.7,78712.2,5212.6,85536.1,80223.5,5312.6
El Salvador,42,19,394.7,484.4,2004.9,2005.8,2006.9,2008.0,428.5,447.9,432.4,436.5,35.5,49.0,41.7,40.2,41.5,63.3,49.2,55.2,78.6,62.9,15.8,6034.7,4844.2,1190.6,6150.6,4937.2,1213.4
Peru,23,23,1208.9,1240.1,2011.4,2011.4,2011.0,2013.4,1443.5,1452.5,1495.8,1426.9,111.0,136.8,141.9,152.6,60.0,73.0,72.6,82.6,132.1,117.7,14.3,10212.1,9105.2,1107.0,10408.2,9280.0,1128.2
Cayman Islands,20,8,1158.5,101.2,2002.6,1999.8,2003.8,2003.1,615.8,641.0,638.6,636.4,37.5,41.7,40.8,41.0,8.0,9.1,7.8,8.2,238.1,220.6,17.5,18440.2,17088.6,1351.5,18794.2,17416.7,1377.5
Italy,18,9,2319.9,2886.6,2006.4,2005.8,2006.2,2006.2,5328.0,5501.0,5422.7,5427.1,340.0,350.5,347.7,347.6,19.5,19.1,19.8,19.8,496.0,492.0,4.0,38319.5,38018.0,301.6,39055.3,38747.9,307.3
Spain,13,7,1556.5,2013.3,2001.7,2002.0,2001.7,2001.7,4500.5,4469.1,4480.8,4480.7,279.0,275.6,274.2,274.2,10.0,11.8,9.9,9.9,318.8,314.3,4.5,24698.1,24348.3,349.8,25172.3,24815.8,356.5
China,12,11,4267.0,5651.4,2008.6,2008.2,2011.1,2011.3,9867.3,8087.9,8861.5,8778.5,905.0,739.2,924.5,921.3,76.5,82.9,89.0,94.8,301.1,296.0,5.1,23296.5,22904.0,392.4,23743.8,23343.8,400.0
United Kingdom of Great Britain and Northern Ireland,12,6,862.9,832.2,2005.0,2002.2,2005.0,2004.7,5105.9,5197.2,5210.2,5212.3,310.0,310.9,329.6,328.5,9.0,18.5,13.4,14.1,303.5,299.3,4.2,23241.3,22926.7,314.6,23687.5,23366.9,320.6
Aruba,10,9,494.7,159.2,2005.0,2005.2,2005.2,2007.3,1166.5,1436.2,1158.4,1333.1,96.5,131.2,107.9,163.7,9.0,10.3,11.2,9.4,87.4,82.9,4.5,6767.9,6417.9,350.0,6897.8,6541.2,356.7
Japan,8,6,3546.2,4062.8,2010.0,2009.0,2010.3,2010.5,9533.4,9309.1,9345.4,9473.9,722.0,703.2,705.9,728.0,105.5,131.9,121.5,132.4,291.7,286.3,5.3,22594.4,22180.6,413.7,23028.2,22606.5,421.7
Bahamas,8,8,373.7,232.8,2007.2,2007.2,2010.0,2007.3,1391.8,1381.8,1650.8,1620.5,118.5,202.4,227.9,491.1,31.5,90.4,38.6,72.5,108.2,98.1,10.1,8356.2,7586.8,769.4,8516.7,7732.5,784.2
Cameroon,7,1,116.7,139.0,2007.0,2007.0,2007.0,2007.0,1105.4,1105.4,1084.0,1084.0,73.0,73.0,69.6,69.6,35.0,35.0,33.2,33.2,21.2,16.7,4.5,1623.3,1283.3,340.0,1654.5,1307.9,346.5
Russian Federation,6,6,548.3,565.3,2003.5,2003.5,2006.6,2006.1,6616.6,6614.1,6590.7,6590.7,408.5,408.5,406.7,406.4,145.0,139.8,124.4,123.6,206.5,182.5,24.1,15718.0,13909.9,1808.2,16019.8,14176.9,1842.9
Belize,5,3,362.4,38.4,2007.2,2006.0,2009.5,2008.8,793.7,760.5,774.7,772.5,43.0,53.7,42.8,44.7,6.0,21.8,5.9,8.7,75.2,72.8,2.4,5824.1,5637.4,186.7,5935.9,5745.6,190.3
French Polynesia,5,5,507.5,192.6,1999.0,1999.0,1996.6,2002.6,4264.0,4119.5,4031.2,4185.9,309.0,285.8,269.9,295.6,8.0,13.4,12.3,15.1,138.5,136.8,1.7,10719.2,10589.4,129.8,10925.0,10792.7,132.2
Venezuela (Bolivarian Republic of),4,4,120.3,191.7,2009.0,2009.0,2010.6,2010.5,1136.3,1147.7,1157.9,1167.2,354.0,416.8,393.3,410.9,98.0,214.8,198.6,221.4,21.7,18.0,3.8,1672.2,1381.8,290.4,1704.3,1408.3,295.9
Curaçao,3,3,38.6,46.7,1997.7,1997.7,1995.4,1996.0,1267.7,1239.1,1194.1,1186.0,387.0,278.7,274.0,276.6,268.0,436.7,609.4,556.8,12.4,7.6,4.8,947.2,583.2,364.0,965.3,594.4,371.0
Belgium,3,3,153.9,168.2,1998.0,1998.0,1997.7,1998.5,5072.4,5107.4,5101.0,5113.5,314.0,402.7,394.1,414.8,44.0,55.3,52.7,59.6,59.0,56.9,2.0,4510.3,4357.1,153.2,4596.9,4440.8,156.1
Guadeloupe,3,3,112.7,145.0,2006.7,2006.7,2006.4,2006.5,1358.6,1410.3,1410.8,1410.3,85.0,87.3,88.0,87.9,14.0,21.0,22.2,22.1,19.7,18.9,0.8,1522.7,1460.3,62.4,1552.0,1488.3,63.6
Suriname,2,2,31.9,47.3,2007.0,2007.0,2005.4,2005.5,1900.9,1900.9,1920.7,1919.2,197.0,197.0,182.1,183.1,29.5,29.5,24.2,24.5,6.2,5.9,0.3,477.9,452.5,25.4,487.1,461.2,25.9
Haiti,2,1,21.7,26.8,2010.0,2010.0,2010.0,2010.0,1086.9,1086.9,1086.9,1086.9,122.0,122.0,122.9,122.9,12.0,12.0,12.3,12.3,4.5,4.4,0.2,347.4,335.2,12.2,354.1,341.6,12.5
