Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Moin,871,219,33836.0,39679.5,2002.8,2004.4,2005.9,2006.3,1169.0,1743.1,1873.5,1836.6,93.0,158.7,219.3,219.9,23.0,41.6,29.1,29.0,7266.4,6767.1,499.3,558588.4,520799.3,37789.2,569313.3,530798.6,38514.7
Limon,570,177,16433.5,11645.5,2005.0,2005.5,2005.1,2005.4,852.8,1226.1,938.8,986.5,75.5,108.5,105.3,118.0,14.0,46.6,22.5,32.9,3382.6,3127.2,255.4,261004.0,241502.7,19501.3,266015.3,246139.6,19875.8
Caldera,516,250,12784.6,11571.8,2008.9,2009.0,2009.5,2010.3,511.4,1003.6,820.6,806.3,41.0,103.9,146.8,146.1,21.0,53.6,39.5,54.0,1670.7,1493.6,177.0,128834.0,115324.8,13509.2,131307.6,117539.1,13768.6
Corral,98,43,6639.3,8417.3,2004.6,2006.0,2012.0,2012.0,268.4,2790.1,7306.8,7618.2,34.0,403.2,839.4,841.4,35.0,121.6,103.3,102.9,529.2,503.6,25.6,40846.1,38908.1,1938.1,41630.4,39655.1,1975.3
Puntarenas,74,32,4133.5,403.5,2000.5,2000.0,2001.6,2001.2,828.9,778.8,783.2,771.6,62.0,58.4,69.0,68.8,8.0,18.7,9.7,11.2,968.2,910.9,57.3,74991.5,70557.9,4433.5,76431.3,71912.7,4518.7
Puerto Caldera,61,60,1796.7,2545.2,2011.7,2011.7,2012.8,2013.3,512.3,930.8,957.7,973.6,43.0,101.7,207.3,238.5,56.0,80.6,79.2,87.7,195.7,170.8,24.9,15124.6,13209.8,1914.8,15415.0,13463.4,1951.6
Golfito,60,36,793.6,1026.2,2004.6,2003.1,2008.8,2009.5,720.9,1567.9,1440.3,1356.5,94.0,230.0,359.0,273.8,27.5,50.7,50.8,50.2,271.2,238.4,32.8,20682.2,18210.6,2471.5,21079.3,18560.3,2519.0
Puerto Jimenez,24,11,282.7,347.0,1993.9,2000.8,2007.3,2008.1,279.2,1084.8,1177.8,1659.3,32.0,95.3,137.0,142.7,8.0,15.4,19.9,20.6,47.9,43.8,4.1,3673.4,3366.4,307.1,3744.0,3431.0,313.0
Punta Morales,10,10,689.0,1168.6,2012.1,2012.1,2012.4,2012.4,1764.6,3164.6,3262.5,3385.2,145.0,301.1,638.7,648.5,75.0,133.6,236.6,238.2,78.8,71.8,6.9,6087.3,5555.5,531.8,6204.2,5662.2,542.0
Quepos,3,3,18.9,6.8,1996.0,1996.0,1995.0,1991.2,496.8,660.2,697.5,935.6,41.0,95.7,139.8,183.9,11.0,10.0,8.9,7.7,7.6,6.8,0.9,578.9,514.1,64.8,590.0,524.0,66.1
Papagayo,2,2,18.5,2.1,1995.0,1995.0,1994.4,1993.6,319.7,319.7,319.8,329.6,22.5,22.5,23.0,23.7,6.5,6.5,6.1,5.6,4.8,4.2,0.6,372.8,328.6,44.2,380.0,334.9,45.0
Tres Rios,1,1,0.9,1.6,1978.0,1978.0,1978.0,1978.0,1338.4,1338.4,1338.4,1338.4,119.0,119.0,119.0,119.0,800.0,800.0,800.0,800.0,3.1,0.4,2.6,230.7,32.1,198.6,235.1,32.7,202.4
Rio Jimenez,1,1,0.3,0.5,1978.0,1978.0,1978.0,1978.0,377.3,377.3,377.3,377.3,14.0,14.0,14.0,14.0,400.0,400.0,400.0,400.0,1.3,0.1,1.2,95.7,5.4,90.3,97.5,5.5,92.1
Sixaola/Talamanca,1,1,1.8,2.5,2006.0,2006.0,2006.0,2006.0,178.1,178.1,178.1,178.1,28.0,28.0,28.0,28.0,102.0,102.0,102.0,102.0,1.5,0.3,1.2,113.0,22.5,90.4,115.1,23.0,92.2
Turrubares,1,1,23.4,27.7,2010.0,2010.0,2010.0,2010.0,3266.0,3266.0,3266.0,3266.0,267.0,267.0,267.0,267.0,9.0,9.0,9.0,9.0,6.0,5.8,0.2,461.2,446.1,15.0,470.0,454.7,15.3
Pital,1,1,2.3,0.6,2013.0,2013.0,2013.0,2013.0,1282.3,1282.3,1282.3,1282.3,393.0,393.0,393.0,393.0,13.0,13.0,13.0,13.0,0.8,0.8,0.0,60.3,57.5,2.8,61.4,58.6,2.8
