Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ro-Ro,84,2,59.8,43.2,1990.0,1990.5,1990.0,1990.0,109.8,153.7,121.1,121.3,11.0,14.5,13.2,13.2,2.5,14.2,3.7,3.8,18.9,16.4,2.5,1441.5,1252.8,188.8,1469.2,1276.8,192.4
General cargo,38,7,16.1,24.0,1987.5,1988.0,1997.6,1998.3,118.0,267.7,172.6,173.6,15.0,38.8,44.8,41.8,13.0,26.8,27.1,25.6,5.5,4.5,1.0,415.5,342.2,73.3,423.4,348.7,74.7
Offshore,31,6,2.5,3.5,1980.0,1986.3,1978.7,1978.2,131.2,116.1,124.2,125.4,16.0,18.2,20.8,20.4,3.0,14.4,41.5,44.8,6.9,3.9,3.0,520.0,291.8,228.2,530.0,297.4,232.6
Cruise,23,4,8.8,0.8,1989.9,1987.8,1989.4,1989.2,102.7,197.6,111.8,119.8,25.0,35.0,29.8,32.4,13.0,16.2,13.1,14.2,13.3,7.5,5.8,996.0,562.9,433.1,1015.1,573.7,441.4
Oil tanker,22,2,20.9,33.5,2003.2,2005.0,2004.6,2004.8,114.9,156.3,135.4,138.4,12.0,80.5,72.0,77.0,44.0,40.0,51.3,50.1,24.2,5.9,18.3,1826.6,446.9,1379.7,1861.7,455.5,1406.2
Ferry-RoPax,20,3,1.3,0.3,1971.4,1972.3,1971.4,1971.3,93.7,85.3,90.7,90.5,12.5,18.3,14.4,14.4,13.0,13.5,27.8,28.0,3.8,1.5,2.3,285.0,112.3,172.7,290.5,114.5,176.0
Chemical tanker,13,3,13.8,20.4,2007.8,2010.7,2007.0,2006.9,293.1,224.6,257.6,260.2,36.0,66.0,95.5,96.4,22.0,29.0,26.3,26.2,16.6,12.8,3.8,1255.8,970.1,285.7,1279.9,988.7,291.2
Service - tug,6,3,0.4,0.3,1973.0,1971.0,1973.2,1972.8,240.2,273.9,253.9,256.8,56.0,66.2,59.4,60.7,50.0,45.3,75.5,73.5,1.3,1.0,0.4,100.2,71.6,28.6,102.1,72.9,29.2
Service - other,2,2,24.1,15.9,1998.0,1998.0,2000.3,2000.6,874.7,874.7,914.4,1110.6,237.0,237.0,400.2,424.4,62.5,62.5,23.8,18.0,4.0,3.7,0.2,304.1,287.4,16.7,310.0,292.9,17.0
Ferry-pax only,1,1,0.9,0.3,1918.0,1918.0,1918.0,1918.0,3930.1,3930.1,3930.1,3930.1,821.0,821.0,821.0,821.0,49.0,49.0,49.0,49.0,1.5,1.4,0.1,111.3,105.0,6.3,113.4,107.0,6.4
Vehicle,1,1,0.8,0.3,1996.0,1996.0,1996.0,1996.0,76.9,76.9,76.9,76.9,12.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,0.2,0.1,0.0,13.7,10.4,3.2,13.9,10.6,3.3
