Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Port Everglades,2102,329,80053.1,37641.5,2004.5,2005.9,2007.9,2007.4,769.7,1685.5,861.2,1133.2,60.0,150.9,107.0,206.5,12.0,50.6,24.1,53.8,14218.1,13117.6,1100.6,1094739.3,1011900.9,82838.4,1115758.3,1031329.4,84428.9
Miami Beach,1576,139,61842.0,18321.4,2003.1,2002.0,2006.6,2005.8,631.8,1022.1,592.7,906.3,39.0,95.4,68.1,133.3,10.0,45.6,15.4,28.0,12211.6,10986.6,1225.0,940643.8,848213.7,92430.1,958704.1,864499.4,94204.7
Long Beach,1236,601,413032.2,542569.5,2008.8,2009.9,2010.8,2011.0,5021.2,4625.1,4590.2,5371.6,289.0,387.4,471.5,554.5,66.0,83.4,104.5,113.0,44938.0,42315.1,2622.9,3466292.6,3269313.2,196979.3,3532845.4,3332084.0,200761.3
Palm Beach,1221,62,4447.6,4373.1,1989.1,1997.7,1997.7,2000.9,198.9,1189.3,272.6,662.4,18.0,111.1,95.1,119.0,10.0,41.5,31.7,34.7,1666.0,1302.2,363.8,127258.6,99855.5,27403.1,129701.9,101772.7,27929.2
Houston,1169,651,124335.5,177931.0,2008.9,2009.4,2010.9,2010.4,1606.2,3199.7,3225.6,2990.8,199.0,344.4,622.8,609.4,46.0,57.1,62.8,61.9,15140.4,13387.4,1753.1,1162740.3,1031113.2,131627.1,1185064.9,1050910.6,134154.3
Baytown,1130,522,164472.1,203366.4,2007.4,2007.8,2008.6,2008.4,1150.0,3418.1,3225.7,3195.7,131.0,303.6,505.8,505.7,35.0,55.5,54.9,57.8,22164.4,20917.2,1247.2,1696736.8,1603106.2,93630.6,1729314.1,1633885.9,95428.3
Los Angeles,1128,442,418148.9,451866.0,2007.8,2008.0,2009.2,2009.3,5692.0,4641.4,4883.0,5258.6,300.5,330.2,323.3,332.8,70.0,74.8,85.4,85.9,50704.0,49097.5,1606.5,3915494.8,3794866.4,120628.4,3990672.3,3867727.8,122944.5
Newark,803,357,252029.2,264856.5,2007.4,2008.2,2010.1,2010.0,3392.7,4252.9,4659.9,4977.4,207.0,298.7,448.4,446.9,26.0,43.3,43.8,45.9,26516.8,26086.3,430.5,2046319.4,2013998.8,32320.6,2085608.7,2052667.6,32941.1
Port Laudania,777,34,1716.3,2235.1,2003.4,2004.1,2006.1,2006.1,222.4,706.0,735.3,699.7,26.0,58.4,64.3,63.5,8.0,57.1,19.7,18.6,663.0,565.9,97.1,50623.6,43334.3,7289.4,51595.6,44166.3,7429.3
Seattle,762,250,46572.4,59663.8,1999.7,2003.3,2011.2,2011.5,162.7,2443.4,974.7,1808.7,13.0,235.2,352.5,410.0,28.0,134.0,121.2,149.0,5148.2,4467.4,680.8,394690.4,343483.8,51206.6,402268.4,350078.6,52189.8
Baltimore,752,460,126464.8,134165.6,2007.6,2009.0,2008.6,2009.7,3516.9,3672.5,3204.5,3867.7,254.0,362.2,405.8,539.9,33.0,63.5,45.9,58.8,9937.3,9625.3,312.0,761840.0,738411.4,23428.6,776467.3,752588.9,23878.4
