Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,8239,1208,1774053.6,1943141.5,2006.7,2007.8,2009.5,2009.4,1627.2,4082.2,4097.8,4027.2,111.0,261.0,412.6,409.4,16.0,23.3,23.4,23.3,186588.7,183384.0,3204.7,14397469.3,14151468.5,246000.8,14673900.7,14423176.7,250724.0
Bulk carrier,8211,3459,944395.2,1677433.8,2004.1,2010.4,2010.6,2010.7,2877.7,4569.8,3722.9,3811.5,289.0,446.4,603.5,611.8,35.0,91.8,96.2,96.0,79690.8,76618.2,3072.7,6147347.7,5911009.5,236338.2,6265376.8,6024500.8,240875.9
Chemical tanker,5034,1269,343360.0,565315.8,2009.6,2009.9,2010.2,2010.3,1820.6,3486.3,2897.1,2893.9,188.0,319.2,448.6,446.0,41.0,54.9,69.8,70.1,52902.8,46380.6,6522.2,4073958.6,3572099.9,501858.8,4152178.6,3640684.2,511494.5
Cruise,4428,170,290488.6,27101.8,2002.3,2003.0,2005.9,2005.3,586.6,733.9,696.2,686.9,40.0,47.9,61.6,62.7,8.0,11.9,14.1,14.6,59249.1,53367.2,5881.8,4544915.7,4091685.0,453230.8,4632178.1,4170245.3,461932.8
General cargo,3368,822,111309.7,156013.7,2003.3,2006.6,2007.1,2007.2,1187.5,3176.9,2937.4,2933.8,122.0,288.5,447.7,449.7,27.0,80.1,85.6,87.2,17671.4,16494.8,1176.6,1354516.8,1266040.2,88476.7,1380523.6,1290348.1,90175.4
Oil tanker,3349,1118,696010.7,1293531.5,2008.3,2008.8,2009.7,2009.8,2177.8,4256.0,3758.7,3808.3,234.0,429.3,682.2,691.6,44.0,68.6,72.1,71.6,63389.4,52740.0,10649.3,4886401.3,4064866.6,821534.7,4980220.2,4142912.0,837308.2
Vehicle,1847,490,419452.9,143604.0,2007.0,2007.1,2007.1,2006.7,3924.4,4085.0,3869.0,3927.9,260.0,275.2,361.9,363.4,17.0,24.1,33.2,33.5,24674.5,24105.8,568.7,1904827.2,1861093.1,43734.2,1941399.9,1896826.1,44573.9
Liquefied gas tanker,1739,431,481761.5,469200.0,2011.4,2011.8,2013.8,2013.7,3762.4,6271.7,6433.8,6302.5,299.0,456.0,613.3,613.0,37.0,54.7,91.4,94.1,54265.4,50485.6,3779.7,3769069.5,3491513.2,277556.3,3841435.7,3558550.3,282885.4
Service - tug,1660,270,664.1,530.7,1981.6,1985.5,1990.7,1992.5,326.3,1083.3,777.5,849.2,53.0,205.5,314.0,317.6,15.0,115.6,94.9,101.9,1628.1,1525.8,102.4,122352.9,114666.7,7686.2,124702.1,116868.3,7833.7
Ro-Ro,1303,54,12625.2,7670.9,1995.8,2001.4,2007.8,2005.5,236.1,1684.0,1274.1,1125.3,28.0,115.5,186.5,180.0,7.0,50.9,80.2,83.0,1785.2,1507.1,278.1,136145.6,114995.5,21150.1,138759.6,117203.5,21556.2
Offshore,492,145,7562.3,8266.9,1998.6,2004.9,2011.7,2010.9,174.9,2005.7,3154.5,3004.2,22.0,578.3,852.2,871.9,7.0,324.2,178.7,162.0,1609.2,1425.4,183.9,116520.6,102740.7,13779.9,118757.8,104713.3,14044.5
Refrigerated bulk,438,98,11344.6,11551.0,1996.4,1994.0,1997.1,1996.7,2080.6,2950.3,2430.5,2538.6,134.5,223.9,241.5,253.4,36.0,78.9,61.8,64.8,4822.6,4219.3,603.3,367612.1,322285.9,45326.1,374670.2,328473.8,46196.4
Service - other,210,94,1898.4,1281.4,1991.2,1993.8,1988.9,1986.3,605.5,2409.2,2384.8,2542.2,86.0,364.5,684.9,630.0,25.0,120.1,274.6,224.8,712.8,650.4,62.4,53870.9,49185.0,4686.0,54905.3,50129.3,4775.9
Miscellaneous - fishing,195,55,147.0,93.9,1991.7,1987.5,1997.6,1998.0,143.0,2673.0,1688.9,1654.5,14.0,395.9,652.2,679.2,21.0,295.7,461.4,405.9,216.0,168.5,47.6,16224.1,12653.9,3570.2,16535.6,12896.8,3638.8
Ferry-RoPax,144,14,457.8,80.7,1985.8,1990.7,1985.0,1976.6,198.8,1289.5,403.2,374.7,8.0,178.4,366.8,481.2,5.0,48.0,63.1,54.7,251.3,166.1,85.2,18872.4,12475.0,6397.5,19234.8,12714.5,6520.3
Ferry-pax only,58,12,25.0,5.3,1991.7,1985.8,1996.1,1993.0,258.0,737.9,313.4,281.7,18.0,146.9,86.2,92.0,22.0,55.0,41.8,43.7,24.7,15.1,9.5,1854.0,1137.3,716.7,1889.6,1159.1,730.4
Other liquids tankers,42,11,3940.9,4849.3,2006.4,2006.8,2004.5,2004.1,5011.1,4139.6,4669.1,4660.8,293.5,305.3,313.3,310.6,71.0,111.7,97.5,98.8,834.3,765.5,68.8,64506.2,59176.5,5329.7,65744.7,60312.7,5432.0
