Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Brooklyn,2837,300,3099.0,3890.1,1994.2,1997.9,2008.9,2009.5,86.7,357.9,425.8,460.0,28.0,88.4,166.8,178.2,12.0,62.4,60.7,71.3,1168.3,850.2,318.1,87851.2,63969.0,23882.1,89537.9,65197.2,24340.7
New York,2196,452,16249.9,15979.3,1995.5,2002.4,2010.4,2010.1,104.1,494.7,584.5,591.3,27.0,69.1,104.5,137.8,12.0,35.1,29.5,35.6,2190.4,1791.7,398.7,164946.4,135005.2,29941.2,168113.4,137597.3,30516.0
Newark,1996,523,34165.2,31022.4,1997.9,2005.3,2009.0,2008.6,212.2,548.8,544.9,525.6,31.0,56.9,80.9,75.0,13.0,29.9,27.6,31.2,3157.3,2736.1,421.2,237580.7,205953.0,31627.7,242142.2,209907.3,32234.9
Norfolk,1933,538,54252.4,58670.7,1999.3,2003.4,2009.7,2009.5,392.8,724.6,642.0,634.1,40.0,103.0,130.1,126.7,18.0,54.7,26.5,26.9,5580.6,4968.3,612.2,421449.7,375483.1,45966.6,429541.5,382692.4,46849.1
Baytown,1884,599,37582.9,46993.7,2002.2,2005.6,2005.9,2006.1,308.5,534.9,766.3,727.6,45.5,82.5,98.9,106.2,20.0,37.6,29.9,34.5,5693.5,4596.1,1097.5,427912.2,345511.0,82401.2,436128.1,352144.8,83983.3
Savannah,1869,798,48244.9,53859.4,2006.6,2007.9,2008.3,2008.3,430.2,666.4,451.3,464.5,35.0,78.5,70.9,77.3,20.0,40.3,30.4,33.8,5286.5,4439.4,847.1,397747.3,334127.1,63620.2,405384.1,340542.4,64841.7
Pasadena,1828,824,11268.5,16283.6,2002.2,2007.7,2009.2,2009.1,148.8,474.8,470.3,431.8,43.0,76.7,129.6,122.3,24.0,58.2,57.7,62.2,2196.2,1551.5,644.7,165273.3,116866.7,48406.7,168446.6,119110.5,49336.1
Baltimore,1823,775,44878.4,30286.1,2003.0,2006.1,2007.9,2008.0,303.4,670.3,596.5,498.5,39.0,108.3,127.4,118.0,17.0,36.8,22.8,30.6,4267.4,3795.0,472.4,322137.8,286665.7,35472.2,328322.9,292169.6,36153.2
Fourchon,1664,439,3356.3,4309.2,2000.7,2001.2,2008.2,2008.5,422.8,1693.4,1282.1,1254.5,102.5,666.8,2097.0,2005.3,23.0,149.3,141.4,129.1,4033.4,3510.7,522.8,302508.8,263258.9,39250.0,308317.0,268313.4,40003.6
Honolulu,1537,117,23207.7,18973.3,1984.6,1996.2,1989.4,1988.2,118.5,1413.0,1155.9,1912.1,18.0,193.5,139.8,163.6,10.0,51.9,38.6,39.0,6129.2,5708.5,420.7,469534.7,437922.3,31612.4,478549.8,446330.4,32219.4
Houston,1490,679,14836.0,25032.9,2002.4,2006.6,2007.1,2007.1,222.4,457.9,533.5,537.6,48.0,90.7,184.4,189.4,30.0,47.5,56.6,56.5,3205.2,2020.4,1184.8,240970.6,151993.9,88976.7,245597.3,154912.2,90685.1
Los Angeles,1456,392,47700.5,47198.4,2004.0,2005.9,2004.9,2004.6,391.9,815.9,623.9,596.6,38.0,101.1,90.4,99.7,25.0,58.4,32.2,35.7,7591.7,6833.8,757.9,577297.9,520351.0,56947.0,588382.1,530341.7,58040.3
Carteret,1396,279,8044.6,13458.5,1992.5,2002.2,2009.9,2009.9,102.1,942.6,1418.9,1480.3,24.0,118.8,253.9,255.3,14.0,37.8,57.7,57.7,1319.9,1072.4,247.6,100260.3,81663.7,18596.6,102185.2,83231.6,18953.6
Bolivar,1360,730,6655.3,10188.0,2002.4,2006.9,2007.3,2007.3,65.6,246.1,270.1,265.1,10.0,51.1,164.6,165.0,38.0,62.3,63.0,64.4,2047.7,884.2,1163.5,153884.3,66511.2,87373.1,156838.9,67788.2,89050.6
Meraux,1301,666,8414.3,13434.0,2003.0,2006.4,2008.9,2009.2,192.8,404.5,440.8,431.5,39.0,64.7,101.0,104.4,31.0,70.5,74.5,76.4,1687.9,1138.2,549.7,126906.9,85598.7,41308.2,129343.5,87242.2,42101.3
Seattle,1277,286,24683.3,9209.0,1989.8,1987.6,2003.0,2001.7,652.6,1611.7,892.5,922.4,47.0,207.1,82.9,114.4,10.0,154.1,188.0,276.8,7167.7,5095.3,2072.4,538519.1,382888.3,155630.9,548858.7,390239.7,158619.0
Perth Amboy,1220,209,4101.0,6874.3,1990.6,1999.9,2010.5,2010.6,91.9,684.3,1281.0,1363.8,22.0,101.1,228.3,229.7,13.0,28.6,49.5,50.0,734.1,608.5,125.6,55631.1,46199.7,9431.5,56699.3,47086.7,9612.6
