Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,270,37,11925.5,14809.4,2006.6,2006.5,2007.0,2007.0,1093.9,1350.7,1766.4,1760.0,66.5,88.2,173.0,172.6,14.0,14.8,19.2,19.3,2343.0,2288.8,54.3,181397.6,177210.5,4187.1,184880.5,180613.0,4267.5
Cruise,222,44,2476.2,231.4,1999.3,1996.3,2007.4,2006.9,135.1,219.8,188.4,184.6,15.0,21.5,34.0,32.1,10.0,10.0,10.7,10.6,596.4,440.1,156.3,46132.6,34047.6,12085.0,47018.3,34701.3,12317.0
Ferry-RoPax,165,3,39.5,4.3,2005.8,1993.7,2004.6,2002.0,179.2,296.2,317.0,293.8,9.0,12.5,14.7,16.9,16.0,28.8,102.5,92.9,73.9,30.1,43.8,5547.1,2257.6,3289.6,5653.7,2300.9,3352.7
Ro-Ro,159,3,160.0,120.6,1991.1,1998.0,1992.0,1991.6,170.2,149.7,160.4,160.8,18.0,17.3,23.4,23.7,10.0,8.7,18.1,18.6,69.9,44.4,25.6,5315.2,3396.2,1919.0,5417.2,3461.4,1955.8
General cargo,133,42,976.0,1393.8,2005.3,2006.8,2007.4,2007.2,130.9,1119.6,991.7,955.2,21.0,104.2,287.0,266.4,16.0,61.8,74.8,70.3,223.0,192.2,30.8,17116.2,14806.4,2309.8,17444.9,15090.7,2354.2
Ferry-pax only,132,4,34.9,3.9,2008.5,1999.2,2001.4,1997.5,201.8,4423.6,402.2,540.9,11.0,998.6,1152.7,1802.7,17.0,18.0,27.6,21.5,46.5,38.1,8.4,3491.2,2859.8,631.4,3558.3,2914.7,643.6
Chemical tanker,116,10,304.0,492.0,2006.7,2006.2,2006.0,2006.0,261.8,553.5,368.4,367.6,25.0,61.8,84.1,83.7,24.0,26.6,34.6,34.7,149.8,85.6,64.1,11363.8,6532.5,4831.2,11581.9,6658.0,4924.0
Vehicle,62,22,2434.4,715.9,2005.4,2005.1,2008.5,2008.2,145.4,607.9,1052.5,998.8,19.5,53.8,209.5,206.8,13.0,10.6,19.8,19.8,171.4,162.4,8.9,13256.8,12574.2,682.6,13511.3,12815.7,695.7
Service - tug,45,5,1.2,0.8,1974.3,1975.0,1974.6,1974.8,88.9,86.6,94.4,95.0,20.0,20.4,48.4,51.6,28.0,22.9,32.0,31.3,4.1,2.9,1.2,307.2,218.9,88.3,313.1,223.1,90.0
Refrigerated bulk,38,12,225.2,242.6,1994.6,1995.2,1995.4,1995.4,122.0,584.6,488.6,482.2,15.5,40.5,183.7,183.0,5.0,5.0,5.3,5.2,91.3,86.2,5.1,6969.4,6588.5,381.0,7103.3,6715.0,388.3
Oil tanker,33,7,315.7,553.8,2001.9,2005.3,2009.2,2009.7,294.9,654.1,955.7,1021.2,28.0,68.0,129.4,129.7,19.0,20.9,9.9,8.1,48.4,36.9,11.5,3702.2,2833.9,868.3,3773.2,2888.3,885.0
Liquefied gas tanker,24,3,32.7,33.0,2010.3,2007.0,2009.8,2009.9,233.9,344.0,359.0,358.0,20.0,33.2,68.8,68.8,8.0,20.2,14.9,14.8,20.3,15.6,4.7,1550.4,1191.8,358.6,1580.1,1214.7,365.5
Offshore,11,4,12.8,20.1,2006.2,2000.0,1972.9,1972.3,84.3,4549.1,3056.6,6531.7,30.0,581.9,2160.4,2193.8,23.0,56.5,149.9,151.9,28.3,25.7,2.6,2123.4,1926.7,196.7,2164.2,1963.7,200.5
Bulk carrier,7,5,209.4,264.3,2011.9,2011.8,2012.0,2012.0,3626.4,2273.8,2067.3,1966.8,298.0,210.6,347.5,346.4,73.0,61.7,54.3,54.4,38.0,36.5,1.5,2932.9,2822.4,110.5,2989.2,2876.5,112.7
Service - other,3,3,48.0,23.3,2010.0,2010.0,2011.0,2011.0,3147.1,2380.4,2885.0,2377.3,309.0,368.7,440.7,419.9,46.0,60.7,54.6,54.1,20.3,20.0,0.3,1523.7,1499.9,23.8,1552.9,1528.7,24.2
