Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Al Ladhiqiyah,215,54,1530.2,1605.9,2000.5,2000.6,2003.4,2002.9,281.2,430.6,401.3,360.4,30.0,55.4,75.8,84.9,24.0,50.3,61.7,54.2,309.2,217.3,91.9,23710.3,16711.7,6998.5,24165.5,17032.6,7132.9
Tartous,182,105,1090.3,1431.6,1987.1,1987.4,1992.9,1991.9,656.6,779.3,954.9,947.1,84.0,147.2,229.4,236.8,48.5,112.1,206.8,209.0,256.3,201.7,54.6,19570.8,15440.0,4130.8,19946.5,15736.4,4210.1
Latakia,112,67,778.8,1036.6,1995.0,1994.3,1998.2,1997.9,216.4,492.3,529.8,527.3,38.5,67.4,386.5,390.1,21.0,46.4,54.9,57.8,156.4,127.6,28.8,12002.0,9820.8,2181.2,12232.5,10009.4,2223.1
Arwad,22,20,99.3,136.3,1984.3,1984.0,1997.5,1997.1,539.6,697.7,792.1,817.6,81.0,132.5,217.8,232.4,19.0,53.0,94.3,102.6,22.9,19.4,3.5,1758.5,1489.0,269.6,1792.3,1517.5,274.8
Baniyas,4,4,11.6,16.2,1994.8,1994.8,2003.5,2005.4,469.8,445.3,366.0,349.2,47.0,51.8,53.1,48.8,89.0,99.0,116.0,128.4,3.2,2.2,1.0,244.4,170.7,73.6,249.1,174.0,75.1
Banghazi,2,2,25.5,39.2,1999.5,1999.5,2002.2,2002.4,862.1,862.1,897.4,899.3,121.5,121.5,93.3,92.0,13.5,13.5,8.9,8.7,3.9,3.7,0.3,304.5,282.0,22.5,310.4,287.4,23.0
