Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ha Kwai Chung,6498,1818,247570.9,283800.8,2007.3,2008.1,2009.7,2009.4,804.0,1007.4,957.7,973.2,63.0,99.3,128.0,133.6,17.0,36.4,33.9,36.3,29452.8,26653.0,2799.8,2276030.2,2061046.2,214984.0,2319730.0,2100618.3,219111.7
Aberdeen,5938,3413,289219.1,459324.3,2006.6,2007.6,2008.6,2008.6,1102.0,1680.8,1831.4,1928.9,97.0,170.0,376.8,377.5,37.0,91.5,122.0,118.8,28670.2,24415.3,4254.9,2186403.6,1866454.4,319949.1,2228382.5,1902290.4,326092.1
Tsim Sha Tsui,1650,209,3847.2,3087.6,2003.0,2002.4,2001.0,2003.6,342.1,805.1,931.1,1131.6,28.0,93.1,241.6,277.7,8.0,42.8,109.6,202.2,1314.9,1082.3,232.7,100053.2,82367.1,17686.1,101974.2,83948.5,18025.7
Hong Kong,1629,443,30021.4,32324.8,2004.6,2007.2,2010.9,2010.7,310.4,706.1,755.8,764.1,14.0,57.8,99.0,99.1,15.0,27.3,28.0,27.9,3188.7,2783.4,405.3,246021.7,215086.7,30935.0,250745.4,219216.4,31529.0
Wan Chai,1136,82,1099.0,1035.8,1993.0,1998.9,2006.2,2008.7,295.6,1058.1,797.5,987.4,10.0,106.9,188.6,164.7,15.0,55.5,58.2,38.8,575.3,333.4,241.9,43390.6,25215.5,18175.1,44223.7,25699.6,18524.0
Causeway Bay,290,176,11286.1,4767.2,2006.1,2005.2,2008.9,2007.2,484.4,826.6,755.7,876.0,40.0,104.6,125.8,264.7,18.0,82.8,43.8,88.1,2000.5,1560.8,439.7,154234.7,120286.6,33948.1,157196.0,122596.1,34599.9
