Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,408,87,9538.3,922.8,2001.5,2000.0,2005.9,2004.6,143.2,376.2,311.4,320.0,15.0,39.1,60.6,64.7,9.0,11.4,10.0,9.8,2118.7,1811.7,307.1,163730.9,139988.2,23742.7,166874.5,142676.0,24198.5
General cargo,105,27,271.5,344.7,1998.4,2003.6,2005.9,2006.0,93.2,939.3,637.8,616.7,13.0,80.8,181.6,182.3,9.0,40.9,56.0,55.9,73.6,66.7,6.8,5645.4,5132.8,512.5,5753.8,5231.4,522.4
Oil tanker,89,17,773.6,1304.4,2005.4,2006.4,2010.1,2010.6,444.5,1063.4,1031.5,1089.0,40.0,124.4,218.7,228.9,37.0,53.4,47.6,45.5,218.7,130.0,88.7,16733.9,10011.6,6722.3,17055.2,10203.9,6851.3
Container,78,9,93.9,120.7,2007.0,2005.7,2007.5,2007.4,95.1,147.8,126.6,123.2,8.0,13.9,19.6,18.7,8.0,10.6,13.3,12.8,31.7,24.7,7.0,2422.4,1900.3,522.1,2468.9,1936.8,532.1
Ro-Ro,59,5,31.6,36.8,1990.6,1989.4,1992.2,1992.2,89.4,312.2,94.4,95.9,9.0,38.4,15.0,16.4,9.0,38.0,13.1,14.3,24.9,16.1,8.9,1916.3,1236.5,679.9,1953.1,1260.2,692.9
Chemical tanker,55,30,838.1,1380.7,2008.1,2008.8,2009.7,2009.8,439.8,997.4,1040.1,1048.6,49.0,111.8,171.9,171.3,55.0,89.1,89.5,90.3,193.7,118.1,75.5,14893.5,9108.5,5785.0,15179.5,9283.4,5896.1
Offshore,41,9,5.5,7.8,1982.9,1987.8,1984.7,1982.3,204.3,212.8,185.7,184.6,28.0,48.9,36.3,37.0,5.0,45.9,29.7,13.8,11.2,8.9,2.3,842.3,670.8,171.5,858.5,683.7,174.8
Vehicle,39,16,310.4,99.8,2002.9,2003.1,2004.2,2004.4,114.8,182.3,242.1,241.9,17.0,21.3,40.9,40.7,6.0,7.3,10.5,10.8,23.9,19.5,4.5,1847.1,1505.1,342.0,1882.6,1534.0,348.6
Bulk carrier,31,4,25.8,39.6,2007.6,1992.0,2003.9,2002.9,131.0,177.3,177.8,179.1,21.0,45.2,52.7,53.1,27.0,30.8,26.8,27.1,7.9,5.7,2.2,599.2,433.7,165.4,610.7,442.1,168.6
Liquefied gas tanker,31,1,28.3,29.3,2007.0,2007.0,2007.0,2007.0,149.3,149.3,191.1,191.1,17.0,17.0,28.5,28.5,18.0,18.0,23.5,23.5,21.1,11.2,9.9,1602.8,859.9,742.9,1633.6,876.4,757.2
Ferry-RoPax,16,3,11.9,1.1,1972.8,1979.7,1994.0,1990.2,86.8,946.8,806.8,350.5,13.5,72.7,177.3,150.0,5.5,15.5,11.2,11.4,3.9,2.9,1.0,293.9,218.7,75.2,299.6,222.9,76.7
Service - tug,15,3,1.8,1.3,1988.0,1985.0,1999.0,1999.4,253.1,357.0,435.3,444.2,124.0,88.3,186.7,188.0,44.0,45.0,70.8,71.3,4.8,4.2,0.6,357.0,313.4,43.6,363.9,319.4,44.4
Refrigerated bulk,11,6,22.3,24.6,2002.0,2002.7,2002.5,2002.6,208.9,156.1,149.7,149.6,14.0,13.0,13.6,13.6,7.0,7.6,7.4,7.4,9.8,7.7,2.1,748.5,590.4,158.0,762.8,601.8,161.1
Ferry-pax only,2,1,0.2,0.0,1998.0,1998.0,1998.0,1998.0,177.0,177.0,177.0,177.0,33.5,33.5,32.3,32.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,7.8,7.8,0.0,7.9,7.9,0.0
