Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Guayanilla,136,22,116.8,192.2,1982.5,2000.1,2008.3,2009.0,58.7,220.9,234.4,242.2,8.0,107.4,102.9,104.7,27.5,42.4,51.7,54.0,76.0,46.7,29.2,5707.7,3511.7,2196.0,5817.3,3579.2,2238.1
San Juan,131,55,222.6,344.5,1986.5,1999.1,2008.4,2008.8,124.2,191.4,196.2,203.7,19.0,43.0,26.4,25.4,38.0,43.0,44.7,45.7,79.2,34.4,44.7,5947.8,2590.7,3357.1,6062.0,2640.5,3421.6
Jobos,99,4,1.9,1.4,1976.7,1969.2,1974.3,1974.2,45.8,245.5,57.2,57.5,10.0,848.8,345.3,333.9,26.0,51.5,29.2,29.4,8.8,6.6,2.2,663.0,494.7,168.3,675.7,504.2,171.6
Ponce,29,21,25.6,34.7,1984.6,1983.0,2001.6,2004.7,164.4,441.1,268.1,242.1,28.0,100.1,66.9,43.4,35.0,38.5,49.3,56.6,21.9,19.0,2.8,1643.6,1430.0,213.6,1675.2,1457.5,217.7
Yabucoa,26,14,34.7,57.6,1983.7,1989.4,2006.6,2007.1,127.5,243.8,227.4,230.0,38.5,167.9,29.5,23.8,45.0,207.5,63.4,56.9,40.9,13.9,27.0,3069.8,1041.3,2028.5,3128.8,1061.3,2067.5
Las Mareas,25,6,0.7,0.6,1975.4,1972.2,1972.9,1974.7,56.7,124.3,126.7,122.3,25.0,375.0,775.0,722.7,56.0,77.2,93.4,94.3,32.5,18.4,14.1,2439.8,1381.9,1057.9,2486.7,1408.4,1078.2
Mayaguez,18,8,2.9,2.9,1987.3,1985.6,2000.0,2000.7,90.6,142.6,165.5,167.4,17.0,31.4,34.1,34.6,15.5,53.0,18.8,18.4,3.0,2.4,0.6,224.7,179.1,45.6,229.0,182.5,46.5
Arecibo,18,6,4.9,8.1,1975.3,1989.5,2007.3,2008.2,71.0,86.6,81.5,84.4,13.0,21.2,24.7,24.9,23.0,28.0,60.3,61.3,3.4,1.8,1.6,252.2,132.5,119.7,257.1,135.1,122.0
Roosevelt Roads,16,9,9.6,1.8,1991.6,1988.7,2002.6,1997.8,412.5,544.3,1795.9,796.7,167.5,340.9,349.4,358.5,40.0,63.2,32.0,50.4,19.3,14.8,4.5,1452.4,1111.9,340.5,1480.2,1133.2,347.0
Vieques,15,9,16.9,26.6,1980.9,1986.2,2009.4,2010.6,69.1,167.1,429.6,515.9,16.0,56.4,236.5,248.6,24.0,16.3,11.9,12.0,5.9,5.2,0.7,445.5,389.4,56.1,454.0,396.9,57.1
Fajardo,7,3,4.9,0.7,1997.7,1989.3,2003.9,2002.9,423.9,486.9,1725.4,918.6,51.0,78.3,190.0,186.2,70.0,53.7,91.7,89.5,7.2,4.3,2.8,537.8,324.6,213.2,548.1,330.8,217.3
Guanica,5,5,11.3,19.0,1986.4,1986.4,2008.1,2008.7,364.2,266.5,358.2,360.6,52.0,70.2,136.9,139.6,28.0,19.6,8.7,8.2,2.7,2.3,0.4,201.8,172.3,29.6,205.7,175.6,30.2
Aguadilla,5,5,15.8,25.3,1994.2,1994.2,2006.7,2008.4,271.7,303.7,453.8,461.6,42.0,76.8,186.7,195.4,8.0,25.0,5.0,4.7,4.0,3.9,0.1,302.8,292.3,10.5,308.6,298.0,10.7
Arroyo,4,4,5.0,8.1,1991.2,1991.2,2007.6,2007.7,123.6,218.5,71.2,69.4,60.0,60.0,60.7,59.8,49.0,76.8,34.7,34.9,2.4,1.5,0.9,183.5,113.1,70.5,187.1,115.2,71.8
