Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Koege,596,67,836.4,265.9,1997.2,1990.7,2008.4,2004.8,109.6,171.3,144.7,149.3,7.0,31.9,9.2,15.1,10.0,21.8,12.1,12.9,265.4,154.6,110.7,19924.1,11610.0,8314.1,20306.7,11832.9,8473.7
Aarhus,532,180,1026.5,567.3,1999.4,1998.1,2009.9,2005.9,127.2,168.9,314.9,175.5,13.0,35.7,80.7,41.1,15.0,31.8,53.7,31.3,418.6,235.5,183.1,31431.4,17681.4,13750.0,32034.9,18020.9,14014.0
Roenne,507,105,618.0,244.9,2003.3,1992.0,2006.9,2004.3,92.8,499.4,106.1,144.1,7.0,175.9,51.3,119.1,1.0,93.3,12.6,28.5,243.4,203.7,39.6,18271.9,15297.0,2974.9,18622.7,15590.7,3032.0
Fredericia,456,147,660.9,646.5,2000.4,1999.9,2002.9,2003.6,134.0,158.4,147.4,142.2,12.0,36.6,42.0,48.4,9.0,29.2,20.0,25.9,276.7,203.7,72.9,20772.6,15296.9,5475.6,21171.4,15590.6,5580.8
Aalborg,453,149,377.2,411.8,1992.4,1995.1,1999.8,1995.6,147.7,211.0,179.5,185.8,17.0,27.7,28.9,31.5,14.0,32.3,24.0,27.5,166.9,114.3,52.6,12524.8,8576.1,3948.7,12765.3,8740.7,4024.6
Copenhagen,415,139,395.6,433.8,1989.2,1995.0,2001.1,1999.5,142.2,167.8,166.5,175.2,15.0,24.3,23.2,24.8,12.0,36.9,45.9,59.5,192.5,106.5,86.0,14453.8,7995.1,6458.6,14731.3,8148.6,6582.6
Thyboron,387,113,248.6,297.4,1985.0,1991.3,1996.4,1996.4,191.2,498.4,320.0,288.2,24.0,130.4,303.5,249.4,11.0,143.6,142.3,104.6,249.5,173.0,76.5,18732.9,12991.8,5741.1,19092.6,13241.3,5851.3
Kalundborg,361,131,414.9,658.0,1998.0,1996.5,2004.8,2005.3,154.6,313.4,167.5,163.4,18.0,76.4,80.9,60.6,14.0,57.6,67.1,61.8,305.6,150.7,154.9,22945.1,11317.7,11627.4,23385.6,11535.0,11850.6
Esbjerg,339,105,311.0,331.0,1987.1,1998.7,2000.6,1999.4,171.6,1167.6,312.6,275.2,19.0,271.2,393.0,241.6,7.0,112.5,84.8,58.4,267.6,222.8,44.8,20089.5,16727.1,3362.4,20475.2,17048.3,3426.9
Lindoe,310,104,337.3,434.4,1992.1,1998.6,2004.0,2003.9,126.0,333.6,250.6,248.4,19.0,90.3,141.4,164.5,10.0,99.4,179.3,185.5,373.1,141.1,232.0,28016.9,10595.1,17421.8,28554.8,10798.5,17756.3
Skagen,304,217,1552.4,2314.4,2001.6,2002.4,2008.3,2008.2,188.9,563.1,416.9,414.7,24.0,117.8,243.6,232.9,20.5,82.8,88.1,83.9,634.6,331.3,303.3,47738.7,24965.5,22773.2,48655.3,25444.9,23210.4
Grenaa,226,117,171.9,123.4,1992.7,1991.7,1997.5,2003.0,113.8,200.4,377.0,213.7,15.0,88.6,893.5,304.4,11.0,47.0,40.5,44.9,107.4,79.4,28.0,8061.9,5963.1,2098.7,8216.7,6077.6,2139.0
Nordhavn,222,62,558.9,278.4,1993.2,1992.0,2000.9,1999.7,140.2,257.4,155.6,144.0,12.0,35.7,23.1,18.6,12.0,30.3,55.2,20.2,176.1,125.4,50.7,13224.7,9414.5,3810.2,13478.6,9595.3,3883.4
Hanstholm,163,63,96.8,106.7,1987.5,1995.3,1999.6,1999.2,160.9,416.7,314.1,275.0,24.0,85.5,176.1,159.7,11.0,121.8,119.0,107.3,94.7,51.5,43.1,7108.3,3869.4,3238.9,7244.8,3943.7,3301.1
Korsor,152,56,49.8,57.3,1994.3,1995.6,1991.5,1991.1,137.2,189.1,208.1,199.6,19.5,34.1,58.4,42.5,14.0,27.3,28.2,27.9,54.8,43.1,11.8,4116.2,3233.5,882.6,4195.2,3295.6,899.6
Frederikshavn,143,86,122.8,115.9,1993.6,1997.0,2004.0,2005.8,171.9,311.3,222.5,158.9,27.0,138.5,149.4,68.8,15.0,100.1,134.9,79.2,116.6,62.4,54.2,8732.8,4667.5,4065.3,8900.5,4757.1,4143.4
Aabenraa,133,66,351.6,547.8,1992.6,1994.2,2005.8,2006.1,169.0,310.7,535.5,542.8,18.0,35.1,295.6,291.9,14.0,24.7,46.7,45.6,69.8,54.4,15.4,5274.5,4116.5,1158.0,5375.8,4195.6,1180.2
Odense,121,24,35.4,42.6,1986.1,1991.1,1985.4,1985.9,131.1,180.3,172.9,168.0,17.0,27.3,95.5,83.9,17.0,32.8,34.2,33.7,31.9,25.2,6.7,2393.0,1889.2,503.8,2439.0,1925.5,513.5
Sjaellands Odde,113,25,1686.4,285.8,2005.5,1996.2,2012.3,2012.0,615.7,1245.8,1920.7,925.5,72.0,181.3,689.7,662.8,9.0,109.6,64.2,51.0,748.9,706.3,42.6,56228.5,53029.5,3198.9,57308.1,54047.7,3260.4
Hirtshals,110,56,125.5,93.8,1989.0,1994.7,2002.7,2004.3,238.2,754.0,548.6,382.0,33.0,90.5,220.8,126.8,32.5,145.8,629.7,230.9,99.4,54.8,44.6,7460.6,4110.8,3349.7,7603.8,4189.8,3414.0
Randers,107,73,36.9,51.6,1991.0,1991.9,1993.7,1993.6,156.5,224.5,168.0,160.9,20.0,52.9,57.6,46.0,12.0,24.0,21.6,22.2,24.4,21.7,2.7,1832.3,1631.9,200.4,1867.4,1663.2,204.2
Avedore,101,18,40.2,54.6,1975.4,1995.0,1986.3,1986.3,197.0,371.8,455.5,469.9,28.0,49.1,319.0,335.0,12.0,46.1,34.3,32.0,68.3,60.0,8.4,5131.8,4503.0,628.8,5230.4,4589.5,640.9
Nakskov,101,45,67.5,83.7,1987.6,1992.5,1998.2,1998.2,155.7,346.2,262.5,249.0,19.0,84.0,212.4,82.2,11.0,17.4,23.0,23.1,40.7,32.1,8.6,3053.3,2411.2,642.1,3112.0,2457.5,654.5
Nykobing Sjaelland,101,2,8.8,11.6,1981.1,1973.0,1980.4,1979.8,79.9,210.8,104.3,106.9,16.0,18.0,22.9,23.0,4.0,23.0,18.2,19.7,14.0,10.0,4.0,1049.7,752.2,297.5,1069.8,766.6,303.2
Horsens,97,38,22.4,33.7,1981.2,1988.9,1982.8,1981.7,125.0,138.9,179.1,190.8,16.0,23.0,113.6,127.6,8.0,44.2,28.2,29.8,30.5,24.5,6.0,2293.7,1840.5,453.2,2337.8,1875.9,461.9
Kolding,96,73,47.0,64.9,1993.0,1994.1,1996.0,1996.3,149.7,178.6,195.0,193.2,19.0,29.4,38.9,37.8,19.0,33.1,32.7,31.3,19.8,15.5,4.3,1486.4,1166.3,320.1,1515.0,1188.7,326.3
Svendborg,88,37,126.1,26.9,1966.9,1978.0,1995.2,1990.7,123.2,1538.6,3439.3,796.9,29.0,175.9,138.4,128.6,7.5,195.6,2958.1,2435.3,98.0,35.3,62.7,7358.2,2653.7,4704.5,7499.5,2704.7,4794.8
Hvide Sande,84,58,56.8,57.9,1993.7,1996.4,2000.9,1998.8,263.7,626.3,456.5,434.4,39.0,190.3,310.0,277.4,26.5,109.9,262.1,202.1,64.0,42.5,21.5,4805.2,3190.1,1615.1,4897.5,3251.4,1646.1
Masnedsund,78,35,21.8,27.3,1978.7,1986.6,1986.6,1988.2,203.4,315.4,271.4,258.9,34.0,158.2,347.6,339.6,12.0,25.0,30.4,27.3,32.0,27.7,4.3,2402.1,2080.7,321.5,2448.3,2120.6,327.7
Stigsnaes Inter Terminal,75,27,106.1,186.8,1994.1,2000.6,2009.1,2009.4,101.6,717.5,223.5,216.4,16.0,185.0,163.1,82.9,16.0,39.1,102.0,105.5,45.7,34.4,11.3,3427.6,2581.5,846.1,3493.4,2631.1,862.3
Hundested,68,34,18.5,17.1,1985.5,1987.1,1991.5,1991.1,97.7,158.8,136.2,122.5,16.0,35.4,45.1,35.0,8.0,34.1,18.3,17.7,18.7,14.1,4.6,1405.2,1059.6,345.6,1432.2,1079.9,352.3
Nykobing (Falster),65,24,16.4,22.2,1981.6,1987.0,1987.4,1987.5,126.0,154.6,186.7,186.7,17.0,26.8,37.6,36.9,12.0,13.5,18.7,19.1,10.0,7.4,2.7,751.3,552.0,199.3,765.7,562.6,203.1
Studstrup,61,13,5.5,4.9,1992.5,1999.5,1994.9,1992.5,112.3,238.6,160.8,135.3,14.0,35.0,43.2,32.9,31.0,43.0,50.7,47.6,18.5,13.1,5.4,1388.4,983.8,404.6,1415.1,1002.7,412.4
Naestved,56,12,7.9,10.5,1968.5,1981.3,1979.6,1978.7,129.1,243.3,220.7,210.2,34.0,27.9,76.9,78.7,18.5,22.5,28.7,30.3,15.5,9.7,5.9,1167.5,725.8,441.7,1189.9,739.7,450.2
Ensted,55,7,2.9,2.0,1987.3,1989.7,1989.1,1992.0,122.0,156.9,151.7,145.7,17.0,31.7,61.3,50.4,2.0,29.9,29.2,29.5,10.1,8.3,1.8,757.0,621.6,135.4,771.5,633.6,138.0
Vejle,51,45,16.7,24.4,1991.6,1992.9,1995.4,1995.7,136.4,218.2,166.6,164.4,16.0,35.9,33.4,25.4,16.0,36.1,32.5,26.4,10.3,7.4,2.9,773.8,553.3,220.5,788.7,563.9,224.8
Masnedovaerkets Havn/Vordingborg,47,9,6.2,7.5,1978.2,1984.4,1981.0,1982.7,98.4,159.8,147.3,140.4,17.0,24.6,55.1,54.1,7.0,19.4,21.9,21.9,9.5,7.3,2.2,710.3,544.8,165.6,724.0,555.2,168.8
Frederiksvaerk,47,33,14.7,19.7,1988.8,1989.4,1990.5,1990.8,125.2,166.0,174.8,173.0,17.0,40.8,33.8,32.0,12.0,29.8,26.3,28.3,5.0,4.1,0.9,374.0,307.9,66.1,381.2,313.8,67.4
Nyborg,41,23,6.4,6.7,1988.2,1987.2,1987.9,1988.4,155.5,261.4,132.4,117.7,22.0,155.4,158.4,123.5,20.0,57.0,56.6,44.9,24.4,19.3,5.1,1834.1,1449.5,384.6,1869.3,1477.3,392.0
Karrebaksminde,41,9,3.2,4.3,1969.0,1986.6,1977.7,1973.2,95.1,385.2,159.5,147.4,30.0,49.2,72.2,72.1,17.0,48.7,45.1,26.3,10.0,6.7,3.4,753.0,500.7,252.3,767.4,510.3,257.1
Hals,40,22,11.0,16.0,1979.2,1984.6,1990.7,1991.3,136.8,223.4,252.0,275.8,24.0,39.8,47.5,40.8,20.0,85.2,77.5,77.0,22.9,11.2,11.7,1719.7,839.2,880.5,1752.7,855.3,897.4
Stubbekobing,39,16,2.7,2.3,1978.8,1982.1,1986.9,1982.2,79.1,184.4,132.4,111.8,13.0,33.9,41.2,41.1,15.0,43.6,34.4,27.5,9.5,5.6,3.8,712.1,423.4,288.7,725.8,431.5,294.2
Fakse Ladeplads Havn,39,18,11.8,15.3,1988.0,1991.1,1986.6,1986.5,177.0,293.0,233.3,236.5,24.0,69.9,65.7,66.0,5.0,71.4,33.1,34.6,10.2,7.7,2.4,764.9,581.1,183.8,779.5,592.2,187.3
Middelfart,39,26,23.1,29.4,1980.1,1981.8,1998.1,1999.9,159.0,307.7,400.7,399.7,19.0,34.2,94.2,98.5,15.0,33.4,93.0,98.8,11.6,7.6,4.0,868.6,569.2,299.5,885.3,580.1,305.2
Helsingor,38,22,8.3,5.4,1983.0,1983.0,1989.7,1990.1,143.6,487.1,334.3,348.3,57.0,84.5,157.7,182.8,24.5,102.6,127.4,98.5,21.3,10.8,10.5,1598.6,809.9,788.7,1629.3,825.4,803.9
Dragoer,38,15,8.0,9.3,1973.6,1980.7,1987.5,1986.8,123.8,149.7,157.0,165.0,19.5,35.2,29.7,32.3,10.0,109.4,43.9,50.1,16.3,9.9,6.4,1222.3,739.8,482.5,1245.8,754.0,491.7
Nykobing (Mor),37,33,136.4,95.4,1993.2,1994.5,1995.5,2006.2,98.4,240.0,345.8,181.0,11.0,17.3,31.6,24.0,9.0,63.8,264.2,161.3,34.4,8.9,25.5,2583.1,667.3,1915.8,2632.7,680.1,1952.6
Ballen,36,33,149.5,112.4,1992.1,1991.9,2008.9,2009.0,170.7,845.1,627.5,300.2,14.5,56.9,467.4,123.9,14.5,72.1,709.5,183.8,55.5,22.9,32.6,4168.8,1718.2,2450.7,4248.9,1751.1,2497.7
Assens,36,31,6.8,7.0,1985.0,1987.3,1988.0,1984.7,160.9,344.7,220.3,190.8,23.0,105.4,114.0,69.3,17.0,63.3,78.1,42.6,15.0,10.6,4.5,1129.9,795.3,334.6,1151.6,810.5,341.0
Vesteroe,36,31,45.2,63.5,1987.3,1988.9,2001.7,2002.2,172.1,205.4,293.7,298.7,16.0,29.2,70.5,71.1,18.5,65.7,49.5,49.3,20.9,10.7,10.3,1572.8,803.1,769.8,1603.0,818.5,784.5
Abybro,35,23,11.8,10.9,1985.5,1987.8,1992.6,1992.9,264.1,593.7,406.3,344.6,36.0,79.8,130.4,128.0,52.0,114.7,204.9,147.7,24.3,13.0,11.3,1823.2,973.0,850.2,1858.2,991.7,866.6
Gilleleje,33,20,17.3,22.4,1978.6,1981.0,2003.1,2002.3,153.1,390.1,550.1,485.5,32.0,115.8,47.8,39.6,22.0,90.2,148.8,130.1,16.6,10.4,6.2,1248.5,779.5,469.0,1272.5,794.5,478.0
Marstal,31,17,2.3,2.1,1950.6,1961.6,1970.0,1963.2,154.8,249.3,235.1,208.4,31.0,56.6,123.3,116.9,17.0,25.4,24.2,36.4,8.4,5.8,2.7,634.0,433.8,200.1,646.2,442.2,204.0
Ebeltoft,31,17,9.8,8.1,1974.2,1981.6,1997.1,1991.8,129.2,195.5,227.9,211.3,16.0,30.6,18.9,18.5,14.0,17.2,36.2,39.5,8.8,5.1,3.6,658.2,386.2,272.0,670.9,393.6,277.2
Nekso,30,23,48.8,60.5,1989.1,1989.6,2004.9,2006.2,351.2,535.5,322.8,390.0,38.5,90.9,73.7,63.1,13.5,47.6,25.9,23.8,25.2,16.2,8.9,1891.2,1219.9,671.3,1927.6,1243.3,684.2
Rodbyhavn,28,16,6.1,5.3,1997.5,1989.4,1997.6,1995.4,180.9,400.3,282.0,244.3,22.5,151.9,634.0,282.0,15.5,133.5,58.1,57.9,31.3,25.1,6.3,2351.8,1881.8,470.0,2397.0,1917.9,479.1
Holstebro-Stuer,28,12,8.2,10.3,1988.1,1989.3,1990.8,1990.5,196.5,220.0,200.0,194.8,27.5,25.7,28.7,29.5,9.0,20.5,16.1,15.7,3.5,3.0,0.5,261.0,222.1,38.9,266.0,226.3,39.6
Haderslev,27,2,0.7,1.2,1957.6,1940.5,1954.7,1954.3,159.3,397.1,171.4,173.0,22.0,37.8,23.4,23.8,127.0,168.0,161.1,161.8,1.6,0.5,1.1,120.3,37.3,83.0,122.6,38.0,84.6
Faaborg Havn,24,18,13.5,4.9,1979.7,1979.7,1985.3,1980.6,306.6,700.4,937.2,509.6,35.0,107.7,348.7,280.1,59.0,239.7,284.0,255.1,19.0,10.6,8.4,1425.5,792.4,633.1,1452.8,807.6,645.3
Akirkeby,24,6,2.5,2.6,1978.5,1989.8,1984.3,1978.8,112.0,116.6,133.8,130.1,12.0,24.3,23.0,15.9,17.5,10.5,21.7,23.0,4.3,2.8,1.5,322.9,213.8,109.1,329.1,217.9,111.2
Gulfhaven,23,13,52.5,83.2,1992.9,1999.0,2007.3,2007.4,138.8,165.7,297.8,306.6,14.0,21.4,34.2,34.5,16.0,52.4,314.4,325.6,40.3,6.8,33.5,3025.7,510.9,2514.8,3083.8,520.7,2563.0
