Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Offshore,2567,80,908.8,916.5,2011.1,2010.5,2011.1,2010.7,78.9,1224.7,147.9,141.7,14.0,276.8,421.5,333.8,22.0,110.4,114.2,105.9,1161.7,737.5,424.2,87228.7,55372.3,31856.4,88903.5,56435.4,32468.0
Service - tug,2340,125,666.2,562.5,2008.7,2008.2,2010.0,2010.0,91.5,189.7,185.4,179.8,15.0,66.5,287.1,260.3,19.0,34.4,112.2,109.8,624.4,445.5,179.0,46898.6,33460.4,13438.2,47799.0,34102.8,13696.2
Chemical tanker,167,41,1126.8,1799.5,2011.5,2010.0,2011.3,2011.4,171.5,276.2,258.9,256.0,12.0,48.2,34.0,31.9,37.0,80.9,53.0,51.6,277.9,101.3,176.5,21333.9,7763.9,13570.0,21743.5,7913.0,13830.5
Container,148,26,489.9,588.1,2006.1,2006.0,2006.2,2006.2,109.4,214.7,184.0,183.1,17.0,24.1,67.2,68.9,21.0,18.8,45.3,47.0,187.8,103.4,84.4,14248.0,7868.6,6379.4,14521.5,8019.6,6501.9
Bulk carrier,114,70,1294.0,2279.6,2004.5,2005.8,2005.3,2005.3,160.7,388.4,289.7,287.6,55.5,123.4,198.4,197.2,57.5,94.7,89.7,89.1,192.0,135.8,56.2,14863.1,10517.0,4346.1,15148.5,10718.9,4429.6
Oil tanker,80,56,1151.8,2139.1,2006.0,2006.8,2007.9,2007.8,173.2,343.7,278.5,276.2,34.0,63.3,65.2,62.9,29.0,52.5,48.4,44.8,233.0,107.6,125.3,17909.7,8277.0,9632.8,18253.6,8435.9,9817.7
Service - other,71,11,28.0,15.2,2010.8,2006.7,2010.2,2005.9,150.1,1994.3,273.1,172.8,29.0,200.8,441.0,326.4,22.0,191.6,375.9,227.4,57.2,34.9,22.3,4295.3,2624.4,1670.9,4377.7,2674.8,1703.0
Liquefied gas tanker,41,11,827.4,667.4,2008.2,2007.1,2007.2,2007.5,106.6,402.0,693.1,605.3,9.0,113.4,111.4,113.3,30.0,57.5,86.7,80.6,135.8,71.3,64.5,9852.2,5401.1,4451.1,10041.3,5504.8,4536.5
General cargo,19,12,51.9,75.6,2000.9,2002.3,1996.8,1997.0,116.6,212.9,284.4,289.6,48.0,57.8,355.8,373.7,60.0,56.3,71.5,70.4,19.7,13.2,6.5,1488.7,996.1,492.6,1517.3,1015.2,502.1
Ro-Ro,11,8,1.1,2.0,2008.7,2008.2,2006.1,2004.4,133.0,182.8,211.7,235.0,17.0,30.6,37.5,36.8,32.0,63.4,40.2,35.8,6.7,2.5,4.3,505.1,184.2,320.9,514.8,187.7,327.1
Vehicle,7,7,53.1,18.6,2004.4,2004.4,2002.0,2002.2,122.0,143.4,135.3,130.8,12.0,17.1,22.3,20.7,11.0,9.6,9.7,9.8,3.3,2.6,0.7,258.4,204.2,54.3,263.4,208.1,55.3
Ferry-pax only,3,1,5.7,0.8,1972.0,1972.0,1972.0,1972.0,1358.8,1358.8,1237.1,1237.1,609.0,609.0,616.0,616.0,40.0,40.0,180.2,180.2,4.7,3.8,0.9,353.7,282.9,70.8,360.5,288.4,72.2
Cruise,1,1,9.0,1.2,1991.0,1991.0,1991.0,1991.0,312.0,312.0,312.0,312.0,13.0,13.0,13.0,13.0,10.0,10.0,10.0,10.0,1.9,1.0,0.9,143.5,75.7,67.7,146.2,77.2,69.0
