Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-pax only,2191,59,594.4,58.1,1996.6,2000.1,1996.2,1994.6,301.7,415.1,482.2,491.6,20.0,33.0,141.1,156.0,7.0,16.8,36.6,37.9,1208.6,1006.7,201.9,90745.7,75588.1,15157.5,92488.0,77039.4,15448.6
General cargo,89,17,104.5,133.2,2002.6,2001.8,2002.3,2002.0,239.2,337.1,602.6,556.2,19.0,48.4,225.9,213.6,13.0,68.3,70.7,68.2,19.7,14.0,5.7,1496.9,1066.5,430.4,1525.6,1087.0,438.6
Liquefied gas tanker,67,12,22.1,20.6,1999.4,2005.1,2000.3,1999.9,76.0,199.1,155.1,157.3,13.0,19.8,35.7,36.1,11.0,24.2,49.2,52.9,27.5,12.4,15.1,2076.9,936.1,1140.8,2116.8,954.1,1162.7
Chemical tanker,63,21,43.4,66.9,2008.4,2009.4,2012.7,2013.0,144.0,209.0,272.7,282.2,10.0,22.0,37.9,39.9,18.0,167.0,215.8,216.1,42.1,8.3,33.9,3181.9,632.2,2549.7,3243.0,644.4,2598.7
Bulk carrier,29,7,1703.1,2781.6,1997.5,2005.0,1993.9,1993.9,620.8,662.3,1855.2,1853.8,67.0,64.9,904.9,894.4,10.0,36.4,48.9,49.1,89.0,82.3,6.6,6890.3,6376.9,513.4,7022.6,6499.4,523.2
Container,15,6,89.5,98.9,2001.4,2002.8,2005.8,2005.7,129.3,393.8,170.4,174.1,15.0,29.2,34.7,36.1,10.0,41.6,28.8,30.7,13.5,7.0,6.4,965.4,512.7,452.7,984.0,522.6,461.4
Oil tanker,15,3,3.9,5.1,2012.3,2009.7,2012.3,2012.3,88.0,202.6,191.5,197.8,8.0,8.7,9.2,9.3,29.0,157.7,106.3,103.4,8.0,0.7,7.3,597.8,53.2,544.6,609.3,54.3,555.0
Offshore,3,3,3.5,3.3,2002.7,2002.7,2004.7,2007.8,294.1,500.5,446.2,467.6,66.0,98.0,83.0,90.2,14.0,27.7,35.0,36.8,2.9,1.7,1.2,216.1,124.0,92.1,220.2,126.4,93.8
Service - other,3,3,13.5,12.9,2004.3,2004.3,1993.5,1992.6,177.4,191.8,172.7,169.4,26.0,90.7,40.0,29.0,56.0,96.0,171.7,180.6,2.0,1.2,0.8,153.1,93.4,59.7,156.1,95.2,60.8
Service - tug,2,2,11.0,10.3,2005.0,2005.0,2012.3,2012.1,2038.3,2038.3,2332.2,2207.9,251.0,251.0,456.8,453.8,24.0,24.0,9.5,9.7,6.7,6.6,0.2,506.7,493.9,12.9,516.5,503.4,13.1
Miscellaneous - fishing,1,1,0.2,0.1,2014.0,2014.0,2014.0,2014.0,122.1,122.1,122.1,122.1,25.0,25.0,25.0,25.0,2.0,2.0,2.0,2.0,0.1,0.1,0.0,6.8,6.6,0.2,6.9,6.7,0.2
