Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Saint Vincent and the Grenadines,246,59,372.2,148.5,1989.5,1995.6,2004.3,2004.2,80.5,122.1,96.2,85.0,10.0,14.8,14.4,10.9,8.0,14.4,8.6,7.1,151.8,99.5,52.3,11610.9,7624.3,3986.6,11833.8,7770.7,4063.1
Trinidad and Tobago,118,43,181.1,163.6,1993.9,1997.3,2005.6,2006.1,123.9,521.2,217.4,286.6,14.5,109.5,126.4,116.2,34.5,55.9,41.2,46.6,90.9,48.5,42.4,6896.9,3698.1,3198.9,7029.4,3769.1,3260.3
Saint Lucia,64,34,334.2,180.8,2001.7,2002.9,2006.0,2008.8,146.2,312.6,194.0,318.7,15.0,29.4,118.0,254.4,9.0,15.8,8.1,6.3,87.3,64.9,22.4,6722.2,5007.4,1714.8,6851.3,5103.6,1747.7
Barbados,59,31,460.6,57.4,1997.5,1995.5,2005.4,2003.3,160.6,184.0,157.5,165.0,15.0,24.5,15.2,20.7,11.0,23.4,11.0,16.3,119.4,83.1,36.3,9232.4,6430.5,2801.9,9409.6,6553.9,2855.7
Virgin Islands (U.S.),44,6,195.3,226.3,2002.3,2005.3,2002.6,2002.6,386.2,437.4,393.8,394.8,25.0,31.1,26.0,26.3,10.0,15.8,11.7,11.9,83.0,78.6,4.4,6390.7,6058.4,332.3,6513.4,6174.7,338.7
Martinique,24,16,174.0,57.2,2008.1,2007.3,2007.6,2008.9,167.6,188.7,178.9,178.5,16.5,20.0,19.7,18.6,7.5,13.8,10.0,10.5,39.8,29.8,10.0,3073.0,2302.5,770.4,3132.0,2346.7,785.2
Guyana,20,10,44.1,44.4,1997.1,1997.8,2000.3,2001.4,450.1,449.9,448.0,450.9,44.0,53.0,44.4,44.6,30.0,55.7,33.2,40.6,12.5,8.9,3.6,956.3,684.9,271.3,974.6,698.1,276.6
"Bonaire, Sint Eustatius and Saba",20,11,736.0,77.1,2008.1,2003.5,2012.2,2011.2,401.2,401.1,411.7,405.3,36.0,34.5,28.4,28.5,10.5,15.5,9.0,19.2,129.3,111.7,17.7,10012.2,8645.6,1366.6,10204.4,8811.6,1392.8
Puerto Rico,13,3,630.5,91.2,2003.6,2005.3,2003.0,2003.7,540.4,578.9,572.7,570.4,38.0,40.2,38.2,38.7,14.0,11.8,13.0,12.5,140.1,114.4,25.7,10699.3,8768.3,1931.0,10904.7,8936.6,1968.1
Dominica,13,11,121.6,33.1,2005.6,2005.6,2007.6,2004.0,212.1,243.1,244.8,252.0,19.0,20.2,16.5,21.6,10.0,14.7,8.7,13.3,26.8,20.2,6.6,2065.5,1556.8,508.6,2105.1,1586.7,518.4
Dominican Republic,12,5,119.6,72.3,1998.6,1996.2,1995.7,2002.3,666.9,668.0,695.9,744.4,50.5,47.7,58.7,55.7,8.5,9.9,10.4,8.7,25.4,22.9,2.5,1960.8,1767.4,193.5,1998.5,1801.3,197.2
Saint Kitts and Nevis,11,4,426.3,38.2,2005.0,1994.5,2011.2,2010.1,344.1,341.5,336.3,336.2,39.0,37.2,29.4,29.3,8.0,22.0,6.8,7.5,66.5,60.0,6.5,5148.3,4648.3,500.0,5247.1,4737.5,509.6
Curaçao,9,9,200.1,31.8,1997.7,1997.7,2009.2,2005.0,438.8,570.5,451.4,635.1,39.0,77.9,46.0,190.6,10.0,15.9,10.2,11.3,43.6,38.8,4.8,3371.7,3000.0,371.7,3436.4,3057.6,378.8
United States of America,7,4,139.5,185.6,2008.4,2010.2,2008.8,2008.7,1858.0,1878.6,1922.8,1912.5,125.0,143.4,140.2,139.2,21.0,19.1,18.1,18.4,31.9,30.5,1.4,2449.9,2347.6,102.3,2496.9,2392.7,104.3
Sint Maarten (Dutch part),7,5,59.6,31.0,2002.6,2002.2,1998.5,2002.5,374.3,369.5,372.9,366.7,27.0,29.7,34.7,28.8,16.0,14.3,10.6,15.2,16.2,14.0,2.2,1249.4,1083.0,166.3,1273.4,1103.8,169.5
Antigua and Barbuda,7,5,61.6,14.4,1993.7,1991.4,2002.5,2000.2,324.2,340.6,318.6,322.5,37.0,66.9,20.8,33.2,27.0,34.6,8.9,19.6,21.8,18.8,3.0,1681.0,1454.0,227.0,1713.3,1482.0,231.3
Colombia,5,5,173.7,34.4,1994.0,1994.0,1998.6,1994.1,876.3,916.2,900.8,951.8,64.0,66.8,63.3,62.4,8.0,17.0,8.4,20.1,44.2,41.6,2.6,3414.5,3214.2,200.3,3480.0,3275.9,204.1
Jamaica,5,4,72.6,84.1,2011.4,2010.8,2011.0,2011.1,963.2,1077.8,1074.7,1067.1,72.0,76.5,78.8,78.4,27.0,27.8,28.4,27.9,14.8,12.7,2.1,1134.3,974.8,159.5,1156.1,993.5,162.5
Aruba,4,2,101.6,10.2,1997.8,2002.5,2004.8,2001.9,509.8,509.8,512.3,515.3,40.0,40.0,40.4,40.1,10.0,20.0,22.8,19.4,20.7,16.2,4.5,1599.8,1252.4,347.4,1630.5,1276.4,354.1
Guadeloupe,4,4,19.8,5.1,2002.8,2002.8,2000.6,2005.3,256.9,299.5,350.9,282.3,23.5,26.5,33.6,26.9,12.5,13.5,9.3,15.6,5.8,4.6,1.1,444.0,356.8,87.1,452.5,363.7,88.8
China,4,3,1.4,1.0,2019.5,2019.3,2018.9,2019.1,148.6,135.2,136.6,133.6,25.0,26.7,28.0,30.3,20.0,36.2,47.6,41.8,0.3,0.1,0.2,24.6,8.1,16.5,25.1,8.3,16.8
French Guiana,4,1,61.6,16.7,2010.0,2010.0,2010.0,2010.0,764.8,764.8,762.1,762.1,65.5,65.5,65.9,65.9,17.0,17.0,19.4,19.4,9.8,9.0,0.8,757.8,696.1,61.6,772.3,709.5,62.8
Suriname,4,3,38.4,27.8,2009.0,2008.7,2012.0,2009.3,897.1,18979.9,2622.6,1554.8,57.5,916.3,1860.3,1265.9,36.0,112.3,199.5,144.7,98.1,95.9,2.1,7369.9,7208.6,161.3,7511.4,7347.0,164.4
Brazil,3,3,145.8,117.9,2013.7,2013.7,2013.9,2012.2,1777.2,2582.3,1944.0,3020.7,139.0,201.3,225.4,304.2,80.0,68.7,56.7,87.8,23.3,22.8,0.5,1804.0,1765.1,38.8,1838.6,1799.0,39.6
Virgin Islands (British),3,2,2.0,2.2,1977.0,1977.5,1977.1,1977.3,480.8,468.2,471.9,470.2,88.0,81.5,80.0,80.6,44.0,44.2,47.7,46.4,0.9,0.8,0.1,67.3,58.8,8.5,68.6,59.9,8.7
Haiti,3,1,29.1,11.8,1996.0,1996.0,1996.0,1996.0,984.9,984.9,985.7,985.7,113.0,113.0,106.7,106.7,4.0,4.0,4.3,4.3,3.9,3.8,0.1,299.9,290.8,9.1,305.6,296.3,9.3
Panama,2,2,13.4,6.1,2005.5,2005.5,1999.4,2001.1,1111.8,1111.8,1117.9,1116.1,112.5,112.5,115.4,114.6,72.0,72.0,97.6,90.4,4.1,2.9,1.3,313.3,219.1,94.2,319.3,223.3,96.0
Spain,2,2,196.9,355.5,2014.0,2014.0,2016.1,2016.4,3442.2,3442.2,3746.7,3799.8,365.0,365.0,419.2,426.1,4.5,4.5,3.4,3.3,20.0,20.0,0.1,1548.4,1543.3,5.0,1578.1,1573.0,5.1
Croatia,1,1,0.4,0.0,2002.0,2002.0,2002.0,2002.0,1439.9,1439.9,1439.9,1439.9,1460.0,1460.0,1460.0,1460.0,29.0,29.0,29.0,29.0,2.4,2.3,0.1,177.5,172.1,5.3,180.9,175.4,5.4
Turks and Caicos Islands,1,1,1.3,1.3,1976.0,1976.0,1976.0,1976.0,1007.1,1007.1,1007.1,1007.1,119.0,119.0,119.0,119.0,40.0,40.0,40.0,40.0,0.6,0.5,0.0,42.5,40.5,2.0,43.3,41.3,2.0
Uruguay,1,1,100.2,156.3,2012.0,2012.0,2012.0,2012.0,4472.4,4472.4,4472.4,4472.4,380.0,380.0,380.0,380.0,10.0,10.0,10.0,10.0,9.8,9.7,0.0,755.4,753.6,1.8,769.9,768.1,1.8
Cabo Verde,1,1,8.6,12.1,1995.0,1995.0,1995.0,1995.0,2402.4,2402.4,2402.4,2402.4,353.0,353.0,353.0,353.0,46.0,46.0,46.0,46.0,2.1,1.9,0.2,158.6,146.8,11.9,161.7,149.6,12.1
"Korea, Republic of",1,1,0.3,0.2,2018.0,2018.0,2018.0,2018.0,59.8,59.8,59.8,59.8,8.0,8.0,8.0,8.0,39.0,39.0,39.0,39.0,0.1,0.0,0.1,8.9,1.5,7.4,9.1,1.5,7.5
Angola,1,1,1.5,0.9,2018.0,2018.0,2018.0,2018.0,307.4,307.4,307.4,307.4,231.0,231.0,231.0,231.0,14.0,14.0,14.0,14.0,0.6,0.6,0.0,46.5,43.8,2.7,47.4,44.7,2.7
United Kingdom of Great Britain and Northern Ireland,1,1,2.4,3.5,2017.0,2017.0,2017.0,2017.0,465.5,465.5,465.5,465.5,87.0,87.0,87.0,87.0,10.0,10.0,10.0,10.0,1.5,1.4,0.1,114.9,106.1,8.8,117.1,108.1,9.0
