Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Nassau,1049,63,5144.6,665.9,1998.4,1999.1,2001.0,1998.7,129.6,214.8,197.4,190.0,14.0,33.4,24.8,28.2,14.0,22.0,18.3,35.4,1545.4,907.7,637.7,118534.7,69821.9,48712.8,120810.6,71162.5,49648.1
Freeport,498,98,2383.5,1092.7,1996.6,2003.3,2002.5,2004.1,122.3,272.4,203.4,226.5,14.0,69.7,60.7,159.2,7.0,67.7,24.0,40.0,696.5,483.8,212.6,53614.5,37300.7,16313.8,54643.9,38016.9,16627.1
Clifton Pier,273,44,227.9,364.3,1995.6,2002.7,2007.3,2006.6,160.2,452.4,249.9,275.6,20.0,197.1,74.9,90.2,19.0,38.1,45.7,59.5,148.0,83.2,64.8,11200.2,6301.6,4898.6,11415.3,6422.6,4992.7
Great Harbour Cay,193,50,3428.7,517.7,1999.1,1999.8,1999.1,2001.0,102.2,303.1,331.8,303.0,12.0,53.2,97.1,217.9,9.0,29.3,27.8,49.9,708.9,498.8,210.1,54592.6,38387.0,16205.6,55640.7,39124.0,16516.7
Great Exuma Island,192,17,18.7,26.7,2007.8,2001.1,2006.6,2007.2,138.9,197.0,167.6,165.8,17.0,36.1,28.8,28.7,7.0,8.7,11.0,10.8,51.5,36.4,15.1,3866.4,2735.2,1131.2,3940.6,2787.7,1153.0
Marsh Harbor,187,22,47.1,58.5,1988.5,1999.0,1990.3,1993.3,130.3,195.9,156.3,148.4,15.0,30.3,45.0,57.3,17.0,21.0,39.5,34.1,69.4,25.2,44.2,5215.7,1895.9,3319.8,5315.8,1932.3,3383.5
Gorda Cay,138,27,1901.5,622.8,2007.1,2004.0,2007.8,2007.0,113.0,266.0,135.2,313.9,15.0,77.4,34.2,120.2,8.0,13.8,11.9,23.1,376.7,252.8,123.9,29168.3,19577.3,9591.0,29728.3,19953.1,9775.2
Harbour Island,124,23,45.2,42.3,1998.9,2000.9,2000.0,2006.1,90.4,205.5,140.3,116.6,11.0,31.9,51.1,63.6,20.0,25.5,22.0,25.9,45.3,24.8,20.4,3411.7,1870.5,1541.1,3477.2,1906.5,1570.7
Little San Salvador,93,24,1027.1,146.7,1997.0,2000.4,1998.6,2000.9,176.3,296.5,186.4,225.5,16.0,54.9,26.4,149.4,7.0,14.4,6.8,7.0,261.5,213.8,47.7,20239.1,16544.8,3694.3,20627.7,16862.4,3765.2
Rock Sound,90,12,80.4,14.3,2003.4,1997.2,1997.7,1998.3,105.8,161.9,209.0,161.0,11.5,16.4,18.4,21.0,7.0,9.3,9.8,10.9,33.7,24.7,9.1,2580.8,1890.2,690.6,2630.4,1926.5,703.8
The Bight,83,14,13.3,17.3,2009.2,2002.8,2006.0,2006.2,126.2,228.6,218.2,216.9,15.0,21.9,37.7,38.5,9.0,10.4,11.4,11.2,22.0,16.8,5.2,1649.3,1259.4,389.9,1680.9,1283.6,397.3
Green Turtle Cay,58,5,5.1,7.2,1998.0,1998.0,1996.6,1995.1,149.0,288.8,188.0,196.2,38.0,40.6,49.8,49.9,3.5,52.0,22.0,22.7,7.9,5.0,3.0,596.8,373.3,223.5,608.3,380.5,227.8
Cockburn Town,47,16,42.7,53.4,2002.4,2001.4,2005.3,2007.4,179.8,249.2,343.5,486.9,20.0,30.7,68.9,82.6,7.0,11.7,56.8,73.2,15.8,12.1,3.7,1196.0,915.7,280.3,1219.0,933.2,285.7
Bock Cay,45,14,10.1,14.2,1996.9,1998.7,1999.4,1998.8,170.2,759.0,457.5,428.7,22.0,85.2,270.0,248.9,15.0,15.5,25.5,26.1,12.3,8.5,3.9,924.5,635.0,289.5,942.2,647.2,295.0
Stella Maris,44,15,7.4,10.1,1997.7,1999.7,1999.1,1998.3,186.1,264.6,331.1,336.0,20.5,31.9,109.9,116.1,10.5,19.2,15.2,13.7,11.5,8.3,3.2,863.4,624.0,239.4,880.0,636.0,244.0
Cape Eleuthera,40,18,325.6,62.6,2001.0,1999.7,2002.1,2000.0,184.1,468.5,192.7,253.2,17.0,38.8,21.4,47.2,8.0,21.1,9.0,10.9,121.2,96.4,24.8,9283.1,7390.9,1892.2,9461.3,7532.8,1928.5
San Andros,39,16,8.6,12.9,2001.9,1998.5,2001.5,2001.2,107.3,173.3,121.4,120.4,16.0,34.6,60.5,60.4,6.0,10.8,12.0,11.8,6.4,4.8,1.6,480.4,363.1,117.4,489.7,370.0,119.6
Congo Town,35,9,10.9,33.0,1998.4,2000.1,1989.7,1985.8,150.1,231.9,188.5,337.7,23.0,47.9,408.3,537.7,12.0,17.2,48.3,60.7,28.5,24.3,4.2,2140.4,1822.2,318.2,2181.5,1857.2,324.3
South Riding Point,33,20,367.4,505.3,2004.9,2005.6,2008.8,2010.6,141.1,260.6,164.1,259.9,35.0,155.9,188.0,255.4,6.0,29.8,35.9,41.3,64.6,53.9,10.7,4984.8,4161.0,823.7,5080.5,4240.9,839.6
Matthew Town,28,12,14.3,9.8,2004.5,2004.0,1999.8,2001.8,288.2,282.6,243.5,294.1,39.0,41.1,35.9,45.0,4.5,4.2,3.8,5.6,9.7,8.5,1.2,726.5,636.0,90.5,740.4,648.2,92.2
West End,13,13,283.1,144.0,2002.8,2002.8,2001.0,2006.5,221.5,376.1,641.0,292.6,50.0,77.5,62.4,162.5,17.0,24.8,80.5,40.3,57.8,23.6,34.3,4478.0,1823.3,2654.7,4564.0,1858.3,2705.7
