Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Liquefied gas tanker,200,22,479.8,545.8,2008.3,2008.3,2008.5,2008.2,116.0,205.2,211.2,206.4,18.0,175.6,321.5,312.2,30.0,36.6,61.2,60.0,205.2,125.4,79.8,15642.1,9597.3,6044.8,15942.4,9781.5,6160.9
Service - tug,199,15,15.9,7.4,2007.3,2002.9,2007.1,2006.5,153.2,297.5,266.8,258.9,103.0,650.7,1369.6,1291.7,39.0,175.6,259.4,287.9,103.9,80.8,23.0,7799.1,6069.0,1730.2,7948.9,6185.5,1763.4
Container,160,53,630.0,814.9,2008.1,2007.4,2007.9,2007.9,292.9,167.9,197.4,201.6,20.0,25.0,26.3,26.0,14.0,27.2,19.6,19.5,180.3,136.7,43.5,13849.0,10534.7,3314.4,14114.9,10736.9,3378.0
General cargo,60,33,139.2,200.0,2002.8,2003.8,2007.8,2007.7,300.0,370.6,331.8,327.5,27.5,37.4,66.1,66.3,23.0,99.8,64.6,60.8,37.2,24.1,13.1,2835.9,1847.9,988.0,2890.4,1883.4,1007.0
Bulk carrier,31,26,164.8,262.4,2007.5,2009.0,2010.2,2010.0,297.1,253.9,231.2,227.4,27.0,26.1,28.6,28.6,73.0,70.1,86.0,85.9,22.3,16.2,6.1,1723.2,1254.2,469.0,1756.3,1278.3,478.0
Chemical tanker,27,20,91.9,152.4,2005.2,2006.5,2005.6,2005.6,83.3,135.1,154.7,157.0,10.0,93.6,188.8,193.2,34.0,78.2,121.4,122.1,82.0,45.5,36.5,6204.1,3436.7,2767.4,6323.3,3502.7,2820.6
Cruise,18,8,148.7,14.2,2006.9,1994.2,2009.7,2007.7,72.9,169.6,105.4,113.8,11.0,18.1,16.3,17.7,15.0,10.2,12.5,11.7,53.4,30.2,23.2,4136.7,2339.2,1797.5,4216.2,2384.1,1832.1
Oil tanker,10,9,56.9,99.8,2008.4,2007.4,2009.4,2009.5,89.9,158.7,122.3,119.6,44.0,409.7,53.7,52.7,37.5,86.9,54.2,53.8,59.2,40.3,18.8,4508.2,3052.8,1455.4,4594.8,3111.5,1483.3
Service - other,5,2,1.1,0.8,2010.8,2009.0,2010.4,2007.4,280.1,298.4,433.6,374.3,52.0,52.5,185.6,95.1,40.0,33.0,22.4,37.0,1.6,1.3,0.3,121.0,101.0,20.0,123.3,103.0,20.4
Vehicle,4,1,2.4,1.0,1996.0,1996.0,1996.0,1996.0,51.7,51.7,60.9,60.9,8.0,8.0,14.4,14.4,17.5,17.5,21.6,21.6,1.3,0.4,0.8,94.1,33.1,61.0,96.0,33.8,62.2
Ro-Ro,3,2,0.7,1.1,1972.0,1973.5,1970.9,1970.9,55.1,127.8,124.8,123.8,8.0,18.2,36.2,36.0,21.0,18.8,28.8,28.7,1.0,0.4,0.6,74.3,28.1,46.2,75.7,28.6,47.1
Offshore,2,2,0.0,0.1,1979.0,1979.0,1979.3,1979.2,35.8,35.8,35.6,35.7,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,0.1,0.1,0.1,11.0,7.1,3.9,11.2,7.3,4.0
