Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Puerto De Haina,226,79,485.0,680.0,2007.8,2007.3,2008.3,2008.2,196.2,229.0,230.1,229.9,22.0,132.4,43.3,36.4,19.0,51.0,47.8,48.2,163.8,114.5,49.3,12500.5,8759.8,3740.7,12740.6,8928.0,3812.5
Azua,126,24,233.9,267.0,2007.7,2008.1,2008.8,2008.5,136.6,237.6,228.1,224.1,33.0,190.6,539.8,528.0,32.0,40.8,61.3,58.6,139.5,91.6,47.9,10633.2,7005.3,3627.9,10837.4,7139.8,3697.5
Puerto Plata,70,34,427.7,522.2,2006.6,2005.3,2006.6,2007.4,316.5,375.4,340.2,345.3,23.5,307.3,29.7,27.4,18.5,115.5,45.6,56.4,161.1,117.5,43.6,12296.5,9003.1,3293.4,12532.6,9175.9,3356.6
Santo Domingo,66,27,122.0,66.6,2006.8,2000.9,2011.7,2003.1,106.8,155.7,83.3,105.5,32.5,179.3,126.7,347.0,22.0,108.4,26.8,44.6,92.4,63.9,28.5,7023.2,4838.9,2184.4,7158.1,4931.8,2226.3
San Pedro De Macoris,56,29,74.6,95.8,2007.8,2006.0,2010.1,2010.3,105.4,195.5,118.0,118.0,28.0,113.5,47.2,38.9,27.0,69.3,73.9,61.2,35.6,20.0,15.5,2714.2,1527.6,1186.6,2766.3,1556.9,1209.4
Caucedo,44,31,107.6,133.0,2008.8,2008.3,2008.5,2008.5,91.2,198.6,93.7,90.8,17.0,281.5,128.9,61.3,10.5,39.7,46.4,49.0,50.0,32.9,17.1,3798.0,2496.6,1301.3,3870.9,2544.6,1326.3
Puerto Viejo,38,17,49.7,54.1,2003.9,2002.9,2007.6,2007.6,122.3,175.6,226.0,207.0,67.5,152.8,218.5,200.3,38.5,53.7,29.5,28.8,19.2,14.1,5.1,1452.1,1069.5,382.6,1480.0,1090.0,390.0
Puerto Palenque,29,25,129.8,182.9,2007.5,2008.3,2009.4,2009.7,105.7,293.7,160.6,158.4,26.0,45.2,141.2,131.2,21.0,68.3,58.0,53.6,43.6,21.0,22.6,3356.2,1615.0,1741.3,3420.7,1646.0,1774.7
Barahona,27,15,33.9,37.6,2002.4,2000.7,2006.6,2006.9,136.8,325.3,260.3,239.2,55.0,306.1,153.3,132.5,42.0,313.6,117.0,103.9,16.4,9.9,6.5,1233.9,747.3,486.6,1257.5,761.6,495.9
Bani,13,11,8.9,11.8,1997.3,1996.4,1999.3,1999.1,72.2,112.0,108.5,110.6,17.0,20.1,35.5,36.7,17.0,24.2,20.2,21.2,3.4,1.8,1.7,259.5,135.2,124.3,264.5,137.8,126.7
La Romana,9,5,6.3,9.5,2013.1,2010.8,2011.1,2011.0,139.3,357.0,243.8,245.4,182.0,256.3,54.7,27.8,64.0,223.9,61.6,36.9,4.8,3.1,1.7,361.2,236.1,125.0,368.1,240.7,127.4
Catalina Island,5,4,4.9,4.3,2001.6,2000.0,2006.6,2006.0,49.9,65.1,48.1,81.3,14.0,10.4,13.6,12.9,9.0,15.0,26.6,31.6,4.5,1.9,2.6,344.9,146.1,198.8,351.5,148.9,202.6
Punta Cana,3,2,6.1,0.7,2011.0,2010.5,2009.1,2009.2,210.8,214.2,184.6,186.1,52.0,32.0,12.4,13.8,40.0,36.8,22.1,23.2,2.4,1.0,1.4,187.8,80.5,107.4,191.5,82.0,109.4
Cabo Rojo,3,3,8.7,10.5,2003.3,2003.3,2013.8,2012.7,214.7,210.8,231.2,227.4,31.0,43.7,31.9,33.2,21.0,21.7,32.8,31.6,1.8,1.1,0.7,139.7,83.6,56.1,142.4,85.2,57.1
Cayo Levantado,2,2,16.1,2.0,2000.0,2000.0,2008.8,2008.9,176.8,176.8,228.1,228.8,26.5,26.5,36.8,36.9,11.5,11.5,14.0,14.0,6.6,4.9,1.6,508.2,381.5,126.7,518.0,388.8,129.1
Ocoa Bay,1,1,4.9,5.4,2007.0,2007.0,2007.0,2007.0,680.4,680.4,680.4,680.4,47.0,47.0,47.0,47.0,7.0,7.0,7.0,7.0,1.1,1.0,0.1,85.2,73.9,11.3,86.8,75.3,11.5
Manzanillo,1,1,11.4,16.5,2010.0,2010.0,2010.0,2010.0,497.1,497.1,497.1,497.1,43.0,43.0,43.0,43.0,6.0,6.0,6.0,6.0,1.4,1.3,0.0,104.7,101.2,3.5,106.7,103.1,3.6
