Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,112,20,9934.4,972.5,1995.3,1998.4,1995.5,1995.2,1093.3,962.0,1130.2,1132.4,63.5,71.7,83.6,82.6,8.0,17.5,19.3,19.1,2268.7,2063.9,204.8,175711.3,159855.8,15855.5,179085.0,162925.1,16159.9
Container,72,16,1696.9,2073.9,2005.7,2009.2,2011.4,2011.1,563.2,1316.4,1533.4,1507.2,88.5,100.7,207.0,204.7,22.0,33.9,25.8,27.2,356.7,340.2,16.5,27499.7,26247.0,1252.7,28027.7,26751.0,1276.7
General cargo,31,13,219.2,260.6,2006.4,2008.2,2007.2,2007.7,342.6,715.6,459.3,499.0,29.0,113.8,105.4,126.4,15.0,40.3,35.2,40.9,36.0,32.4,3.7,2764.5,2488.7,275.8,2817.6,2536.5,281.1
Liquefied gas tanker,14,4,43.8,45.7,2011.2,2011.5,2011.0,2011.0,727.7,918.3,783.9,792.2,63.0,89.6,80.2,82.1,33.0,47.6,36.9,37.7,24.2,16.6,7.7,1849.7,1274.5,575.2,1885.2,1299.0,586.2
Chemical tanker,10,5,271.7,454.6,2013.1,2013.2,2013.0,2013.0,613.5,1271.2,905.1,904.0,56.0,176.8,361.5,360.5,45.5,54.1,75.6,75.6,53.0,38.1,14.9,4102.3,2948.9,1153.4,4181.1,3005.5,1175.5
Bulk carrier,4,4,168.5,269.6,2015.2,2015.2,2015.2,2015.2,1471.1,1720.7,1724.2,1716.7,188.5,216.0,224.4,224.2,56.5,56.0,52.9,53.0,13.2,12.5,0.7,1021.9,968.5,53.4,1041.5,987.1,54.4
Service - other,3,3,7.3,1.2,2004.3,2004.3,2003.5,1998.4,1097.8,1074.4,1068.9,1167.7,89.0,78.3,82.4,93.3,139.0,131.0,128.0,95.6,3.9,3.2,0.7,292.3,240.8,51.5,297.9,245.5,52.5
Service - tug,2,2,0.6,0.5,1993.5,1993.5,2002.3,2003.9,886.0,886.0,959.7,997.0,156.5,156.5,177.1,180.8,202.0,202.0,295.7,312.6,1.3,1.1,0.3,100.6,80.0,20.6,102.5,81.5,21.0
Miscellaneous - fishing,2,2,1.2,0.4,2010.0,2010.0,2010.0,2010.0,2710.6,2710.6,2710.6,2710.6,543.5,543.5,842.0,842.0,16.5,16.5,13.7,13.7,1.8,1.7,0.1,132.9,128.9,3.9,135.4,131.4,4.0
Ferry-pax only,1,1,0.3,0.0,2016.0,2016.0,2016.0,2016.0,1040.5,1040.5,1040.5,1040.5,68.0,68.0,68.0,68.0,93.0,93.0,93.0,93.0,0.4,0.3,0.1,31.8,20.8,11.0,32.4,21.2,11.3
