Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,504,54,235.2,130.6,1988.2,1988.8,1990.3,1991.7,126.1,512.5,242.3,321.9,39.0,105.8,236.4,251.6,9.5,19.5,90.4,85.1,154.3,124.0,30.3,11604.2,9322.4,2281.9,11827.0,9501.4,2325.7
Cruise,119,20,229.9,43.0,1988.6,1989.3,1992.1,1987.6,277.2,282.7,310.8,308.5,39.0,38.3,52.8,53.2,3.0,4.1,6.7,7.4,136.4,119.2,17.1,10309.3,9020.7,1288.7,10507.3,9193.9,1313.4
Service - other,57,14,266.6,145.8,1995.8,1996.8,1993.3,1994.7,332.0,456.7,653.1,659.4,54.0,99.2,195.9,200.9,8.0,20.7,23.3,23.8,80.0,75.7,4.2,6105.6,5783.6,322.1,6222.8,5894.6,328.2
Ferry-pax only,41,5,23.2,2.0,1992.5,1996.8,1991.7,1991.5,227.7,122.3,247.9,231.8,37.0,25.5,52.3,51.3,8.0,11.9,9.2,8.4,14.1,12.1,2.0,1059.6,909.6,150.0,1079.9,927.1,152.8
Refrigerated bulk,25,10,15.8,15.9,1990.6,1989.5,1987.1,1986.4,54.8,327.7,166.4,172.3,29.0,75.3,209.9,228.6,8.0,8.8,14.9,14.0,25.1,18.6,6.5,1890.8,1402.7,488.1,1927.1,1429.6,497.5
Ro-Ro,21,1,1.1,1.4,2010.0,2010.0,2010.0,2010.0,43.7,43.7,50.7,50.7,26.0,26.0,75.2,75.2,5.0,5.0,8.3,8.3,12.5,10.3,2.1,935.9,776.7,159.3,953.9,791.6,162.3
Service - tug,10,2,5.1,4.0,1982.6,1981.0,1985.5,1981.2,278.3,266.2,258.3,280.7,29.0,47.8,53.3,66.9,15.5,17.8,40.1,29.3,3.7,3.3,0.4,280.9,251.2,29.6,286.3,256.1,30.2
Ferry-RoPax,9,2,33.7,2.7,2005.7,2005.0,2005.0,2005.2,279.9,297.5,284.5,281.3,43.0,39.8,42.6,43.5,12.0,18.0,18.6,17.9,10.5,8.5,2.0,800.7,646.7,154.0,816.1,659.1,157.0
Chemical tanker,8,2,0.1,0.2,1985.9,1988.5,1988.2,1987.9,11.9,13.6,14.4,14.3,10.0,9.0,12.2,12.5,36.0,27.5,26.7,28.2,2.5,0.7,1.8,189.4,51.4,138.0,193.0,52.4,140.6
Miscellaneous - other,7,1,14.2,3.8,1989.0,1989.0,1989.0,1989.0,307.6,307.6,315.3,315.3,47.0,47.0,58.3,58.3,3.0,3.0,9.7,9.7,4.7,4.3,0.4,350.2,321.4,28.8,356.9,327.5,29.4
General cargo,7,2,0.4,0.4,1987.1,1990.0,1988.3,1987.5,30.2,87.6,104.9,101.2,29.0,29.8,125.2,137.3,39.0,30.0,40.0,42.5,0.5,0.4,0.1,34.8,27.9,6.9,35.5,28.4,7.1
Yacht,2,1,0.2,0.2,1911.0,1911.0,1911.0,1911.0,326.4,326.4,326.4,326.4,91.5,91.5,91.4,91.4,42.5,42.5,44.7,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore,1,1,0.2,0.3,1981.0,1981.0,1981.0,1981.0,81.3,81.3,81.3,81.3,15.0,15.0,15.0,15.0,3.0,3.0,3.0,3.0,0.1,0.1,0.0,8.6,7.9,0.6,8.8,8.1,0.7
Bulk carrier,1,1,0.1,0.1,1993.0,1993.0,1993.0,1993.0,77.7,77.7,77.7,77.7,30.0,30.0,30.0,30.0,51.0,51.0,51.0,51.0,0.2,0.1,0.1,13.7,6.2,7.5,14.0,6.3,7.7
