Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Shakotan,985,169,1474.9,1317.9,1988.9,1989.7,1994.8,1997.8,142.3,1142.2,887.8,1039.4,23.0,193.0,550.7,436.2,18.0,69.8,81.3,71.0,695.0,532.9,162.1,52453.6,40276.1,12177.5,53460.7,41049.4,12411.3
Port Foster,114,39,507.2,85.1,1990.2,1989.6,1996.1,1992.9,630.2,565.5,622.0,561.2,58.5,62.5,84.2,91.2,14.0,29.6,24.3,38.6,227.5,183.4,44.1,17281.3,13938.1,3343.3,17613.1,14205.7,3407.5
Vernadsky,79,31,371.7,78.2,1985.4,1988.8,1991.7,1985.0,759.5,757.3,669.6,711.2,82.0,199.6,99.3,131.7,11.0,47.6,23.5,79.0,176.4,156.1,20.3,13371.3,11845.9,1525.4,13628.0,12073.3,1554.7
Palmer,43,23,255.2,58.2,1992.4,1990.2,1997.0,1995.7,709.6,694.2,745.0,930.5,77.0,81.3,180.2,267.1,12.0,15.7,55.7,69.4,105.6,91.8,13.9,8036.8,6988.2,1048.6,8191.1,7122.4,1068.7
Escudero,33,23,217.6,119.3,1992.0,1992.2,1993.3,1982.7,604.4,1851.3,1149.9,2534.0,65.0,184.8,934.5,2639.5,14.0,24.4,73.2,188.4,150.6,138.5,12.2,11386.4,10467.9,918.5,11605.0,10668.9,936.1
Signy,28,13,395.7,287.3,1985.9,1987.5,1988.5,1989.4,1487.7,1707.7,1927.2,1862.9,188.0,357.1,770.0,713.1,32.0,348.2,207.6,180.7,138.7,118.1,20.5,10516.6,8971.9,1544.7,10718.5,9144.2,1574.4
Orcadas,13,7,85.7,28.2,1981.6,1982.6,1980.4,1979.1,519.5,784.8,925.8,1381.4,49.0,81.9,281.2,373.0,3.0,22.5,94.7,128.8,36.5,34.7,1.9,2756.3,2615.2,141.1,2809.2,2665.4,143.8
Arctowski,12,7,40.0,19.3,2001.4,1999.0,2004.5,2011.0,616.4,602.5,608.9,633.7,85.0,72.4,139.5,125.5,8.5,19.2,23.6,40.4,25.4,21.8,3.5,1914.3,1647.6,266.7,1951.1,1679.3,271.8
Jubany,10,6,22.6,12.1,1986.4,1988.3,1986.5,1987.0,325.6,542.8,371.3,486.0,51.5,106.8,225.4,232.6,13.5,14.3,45.6,44.6,7.6,6.7,0.9,573.5,505.9,67.6,584.5,515.7,68.9
Marambio,8,7,94.4,38.8,1991.6,1993.1,1986.6,1988.2,797.6,1124.7,1536.5,1590.4,134.5,103.4,142.4,142.8,19.0,95.2,411.9,397.9,39.6,16.8,22.8,3045.3,1290.8,1754.5,3103.8,1315.6,1788.2
Port-Aux-Francais,7,5,119.1,65.5,1997.6,1996.2,1995.7,1995.5,3745.0,12506.5,7395.0,7894.6,487.0,813.2,1288.7,1326.5,102.0,1184.4,2515.4,2665.7,42.2,31.6,10.6,3186.1,2393.1,793.0,3247.3,2439.0,808.3
Rothera,5,5,39.8,17.2,1994.0,1994.0,1999.8,1997.8,1102.8,1432.3,1126.1,1408.5,111.0,221.0,387.8,463.3,4.0,32.4,62.8,73.9,14.2,13.7,0.5,1090.8,1051.9,38.8,1111.7,1072.1,39.6
Comandante Ferraz,5,4,78.7,95.1,1975.0,1969.5,1992.5,1995.2,1479.0,1370.0,1191.6,1241.7,423.0,304.4,401.6,423.8,102.0,65.1,87.0,105.9,18.2,17.0,1.2,1387.7,1300.3,87.4,1414.3,1325.2,89.1
King Sejong,4,3,11.3,9.2,1986.0,1987.7,1997.1,1988.3,750.3,666.0,795.6,735.8,102.5,78.8,110.4,102.5,36.5,36.7,30.9,34.6,6.4,5.7,0.7,483.0,431.8,51.2,492.3,440.1,52.2
Mcmurdo,4,4,91.8,68.1,1991.0,1991.0,1990.8,1997.3,3139.0,3336.0,2907.4,2649.4,469.5,434.0,423.6,350.0,463.5,525.5,184.7,121.6,120.2,102.7,17.5,9251.1,7937.4,1313.8,9428.7,8089.8,1339.0
Casey Station,2,2,14.2,8.3,2002.0,2002.0,1991.3,1991.1,1289.1,1289.1,1771.5,1809.9,106.5,106.5,148.0,148.8,197.5,197.5,120.4,118.9,9.2,8.6,0.7,712.9,663.9,49.0,726.6,676.6,49.9
Mario Zucchelli,2,2,49.9,25.1,2001.0,2001.0,1998.8,1997.4,2240.2,2240.2,2183.1,2156.6,189.0,189.0,183.5,180.1,142.0,142.0,136.2,132.7,21.6,21.1,0.5,1641.5,1601.1,40.4,1673.0,1631.8,41.2
Jang Bogo Station,2,2,33.0,13.0,2000.5,2000.5,2001.1,2000.9,2422.0,2422.0,2414.3,2416.1,253.0,253.0,249.2,250.6,163.5,163.5,161.7,162.3,18.1,17.5,0.6,1361.9,1317.6,44.3,1388.0,1342.9,45.2
Davis Station,1,1,34.1,20.3,1990.0,1990.0,1990.0,1990.0,5183.3,5183.3,5183.3,5183.3,238.0,238.0,238.0,238.0,5059.0,5059.0,5059.0,5059.0,24.8,9.4,15.4,1899.8,725.6,1174.2,1936.3,739.5,1196.8
