Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
All Global Voyages,2739872,58539,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7
All International Voyages,1244079,43111,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9
All Domestic Voyages,1495793,55373,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9
Int. Arr. Inventory,1349,242,3915.7,2392.6,1989.0,1990.4,1995.6,1997.4,250.9,1338.2,923.6,1159.5,43.0,251.0,498.1,508.8,11.0,34.8,45.9,54.7,1684.1,1506.8,177.3,127649.4,114282.9,13366.4,130100.2,116477.2,13623.1
Int. Dep. Inventory,1357,244,3936.9,2366.3,1989.0,1990.5,1993.6,1994.8,251.7,1377.6,923.3,1151.9,35.0,211.3,447.6,559.3,17.0,118.4,206.9,213.6,1877.9,1528.2,349.7,142350.3,115970.3,26380.1,145083.5,118196.9,26886.6
Domestic Inventory,812,116,825.7,350.3,1989.5,1989.9,1992.3,1992.2,175.7,394.6,326.7,367.6,39.0,79.4,154.0,196.8,8.0,16.0,36.9,43.9,444.5,377.3,67.1,33583.8,28528.3,5055.5,34228.6,29076.1,5152.5
