Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,2935,170,19532.9,24811.0,2001.0,2004.4,2002.3,2002.1,657.3,649.9,601.4,601.0,59.0,57.3,108.9,111.2,16.0,29.4,41.9,42.3,4475.2,3794.0,681.2,343249.9,291728.0,51521.9,349840.3,297329.2,52511.1
General cargo,1730,346,9365.7,14381.4,2006.2,2005.7,2004.9,2005.3,832.0,1094.2,1344.2,1384.2,89.5,138.1,506.3,513.2,40.0,99.0,194.8,202.0,2178.4,1591.6,586.8,165824.4,121372.2,44452.2,169008.2,123702.5,45305.7
Bulk carrier,1273,339,22743.5,37486.2,2006.7,2007.6,2004.4,2004.4,854.1,1115.0,1456.2,1439.1,83.0,126.2,581.6,571.8,56.0,108.1,211.6,210.2,2927.5,2178.0,749.5,225214.3,167778.7,57435.6,229538.4,171000.1,58538.3
Chemical tanker,700,93,6304.8,9957.6,2004.9,2006.3,2003.4,2003.3,863.9,873.2,1473.4,1486.4,74.0,91.2,308.7,310.9,33.0,47.6,158.9,158.6,2059.9,1312.2,747.8,157436.4,100546.9,56889.5,160459.2,102477.4,57981.8
Oil tanker,600,68,10050.8,17418.5,2006.3,2007.7,2006.8,2006.9,945.8,1441.1,2515.2,2546.7,86.0,180.1,705.4,710.8,40.0,72.1,416.1,420.0,2069.8,1332.8,737.0,157792.5,101744.3,56048.2,160822.1,103697.8,57124.3
Liquefied gas tanker,545,42,1527.2,1604.8,1993.6,1997.2,1995.2,1995.0,712.4,902.4,1141.5,1083.7,75.0,86.7,292.1,289.6,23.0,35.0,101.9,100.3,941.4,601.6,339.9,71423.3,45755.6,25667.8,72794.6,46634.1,26160.6
Service - tug,298,85,525.7,505.0,2006.2,2007.4,2001.8,2001.5,315.7,1595.1,2054.1,2240.1,88.0,599.0,1714.4,1792.3,37.5,312.6,590.0,572.6,465.8,332.2,133.7,35007.0,24965.2,10041.9,35679.1,25444.5,10234.7
Cruise,85,22,1861.7,198.8,2002.7,2003.0,2006.2,2005.5,289.0,411.2,351.4,357.8,21.0,30.0,33.1,34.6,12.0,16.1,15.9,16.3,419.0,337.5,81.4,32396.2,26102.4,6293.8,33018.2,26603.6,6414.6
Offshore,81,23,229.6,272.1,2002.9,1995.3,1995.1,1995.4,575.8,2397.5,1580.8,1639.4,138.0,849.6,1824.2,1828.6,66.0,364.3,369.2,411.7,223.6,163.4,60.2,16806.5,12285.5,4521.0,17129.2,12521.4,4607.8
Vehicle,25,10,945.9,302.6,2005.6,2004.7,2005.8,2005.7,787.5,815.6,798.4,798.6,53.0,56.6,56.6,56.6,24.0,23.6,31.3,30.7,61.4,53.5,7.9,4758.8,4147.9,610.9,4850.2,4227.6,622.6
Service - other,20,13,154.4,144.6,2006.2,2006.4,2006.1,2007.1,534.3,3293.0,3137.5,7625.4,189.0,1194.5,3325.9,4191.0,448.5,565.7,213.6,187.7,94.1,65.4,28.7,7082.3,4928.2,2154.1,7218.3,5022.9,2195.4
Ro-Ro,9,2,11.0,19.0,2006.6,2001.5,2007.1,2007.4,824.9,517.0,996.3,1305.6,114.0,213.0,721.5,741.3,65.0,65.0,96.9,98.3,54.4,46.6,7.8,4083.4,3495.5,588.0,4161.8,3562.6,599.3
Miscellaneous - fishing,7,3,31.4,11.7,2011.1,2003.3,2014.1,2014.6,7996.3,5680.7,7106.7,6299.1,1262.0,1983.0,3982.1,2990.0,70.0,114.7,144.3,269.8,27.1,24.1,2.9,2031.5,1810.4,221.1,2070.5,1845.1,225.3
Refrigerated bulk,5,3,11.0,13.4,1987.2,1987.0,1988.6,1988.5,341.1,464.9,485.8,479.3,28.0,32.3,44.2,43.7,24.0,62.0,57.5,57.7,8.9,3.8,5.1,677.5,291.8,385.8,690.5,297.4,393.2
Ferry-pax only,1,1,0.1,0.0,2018.0,2018.0,2018.0,2018.0,264.8,264.8,264.8,264.8,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,2.7,1.4,1.4,2.8,1.4,1.4
Ferry-RoPax,1,1,1.0,0.3,2018.0,2018.0,2018.0,2018.0,1282.5,1282.5,1282.5,1282.5,71.0,71.0,71.0,71.0,33.0,33.0,33.0,33.0,1.3,0.9,0.4,97.3,64.9,32.5,99.2,66.1,33.1
