Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cat Lai,3064,415,65554.7,82489.2,2006.9,2006.1,2007.5,2007.4,973.2,1200.2,1125.8,1129.8,77.0,111.8,103.5,105.3,13.0,46.8,20.1,21.1,12556.8,11931.0,625.8,968431.0,920894.7,47536.3,987024.9,938575.9,48449.0
Nam Hai Dinh Vu Port,2666,569,35680.5,44309.1,2004.2,2005.2,2004.9,2004.9,598.7,1429.4,980.7,974.4,54.0,152.4,129.1,137.1,25.0,77.4,43.2,46.6,7341.6,6231.2,1110.4,563979.5,479992.4,83987.1,574807.9,489208.2,85599.6
Cai Mep,2104,1292,123864.5,163043.6,2008.2,2008.3,2009.8,2009.8,960.1,1808.5,1232.2,1342.5,76.0,189.9,244.5,283.3,24.0,94.7,65.6,79.7,12979.9,11659.2,1320.7,1003414.6,901838.6,101576.0,1022680.1,919153.9,103526.2
Hai Phong,939,417,10435.3,13381.1,2005.5,2005.9,2005.6,2005.3,815.5,1598.7,1227.7,1186.4,90.0,203.1,215.7,224.8,23.0,119.1,76.8,86.0,2337.5,2057.6,279.8,179278.0,158242.0,21036.0,182720.1,161280.3,21439.9
Phu My,613,477,20564.0,33579.7,2006.7,2007.3,2009.1,2009.4,1243.2,1872.2,2126.2,2198.5,143.0,211.1,421.3,443.2,71.0,93.6,114.6,118.0,2632.1,2332.5,299.6,202827.6,179977.1,22850.4,206721.9,183432.7,23289.2
Da Nang,613,278,17753.8,18505.1,2002.6,2003.7,2003.5,2003.2,1063.7,1819.8,1315.5,1701.0,82.0,195.0,238.2,283.8,23.0,80.0,66.4,77.7,2975.1,2579.4,395.8,229471.8,199113.6,30358.2,233877.7,202936.5,30941.1
Hon Gai,596,398,24409.1,36222.1,2006.6,2007.2,2008.1,2008.6,1405.8,1967.1,1901.1,2054.5,128.0,191.8,290.4,311.9,88.0,136.7,165.8,170.4,2789.1,2310.9,478.2,215171.8,178450.1,36721.7,219303.1,181876.3,37426.7
Cam Pha,590,479,25448.6,43589.3,2006.6,2007.6,2007.8,2007.9,1310.9,1696.7,1706.7,1708.4,110.5,165.3,304.1,305.6,133.5,150.2,195.8,195.6,2446.2,1880.3,565.9,189169.3,145485.6,43683.8,192801.4,148278.9,44522.5
Lotus Port,535,348,7702.9,11539.3,2006.7,2007.0,2007.5,2007.6,939.8,1486.1,1352.0,1358.5,107.0,171.1,207.7,205.7,34.0,93.8,96.8,98.4,1746.3,1324.1,422.2,133776.2,101902.5,31873.7,136344.7,103859.1,32485.6
Hiep Phuoc,518,268,9740.6,11108.8,2007.7,2007.2,2007.8,2007.9,943.4,1307.4,1164.8,1295.4,89.0,141.9,163.4,193.7,17.0,104.4,78.3,101.2,1614.8,1406.5,208.3,124156.4,108393.6,15762.8,126540.2,110474.8,16065.4
Saigon,314,173,7002.7,10661.7,2005.2,2006.7,2006.2,2006.4,867.0,1728.1,1266.7,1317.3,81.0,210.1,208.6,212.6,16.0,51.8,47.4,49.6,1063.6,1001.2,62.4,81982.4,77239.3,4743.2,83556.5,78722.3,4834.2
Qui Nhon,170,125,5530.1,8754.6,2002.9,2004.0,2004.8,2005.7,1091.3,2107.9,1990.3,2206.1,101.0,214.8,441.2,456.1,24.0,75.3,79.2,79.9,621.7,566.6,55.1,47912.3,43704.8,4207.5,48832.2,44543.9,4288.3
Song Doc,164,59,1130.8,1711.7,2011.2,2007.8,2006.1,2005.5,344.8,1312.1,861.1,883.8,51.5,241.0,267.1,231.0,22.0,66.6,56.9,50.3,214.7,184.6,30.0,16365.9,14084.9,2281.0,16680.1,14355.3,2324.7
Long An International Port,130,87,1780.8,2445.9,2003.0,2004.8,2005.9,2006.9,1235.2,1965.2,2091.6,2069.6,126.5,230.9,293.6,298.9,28.0,127.3,95.9,106.4,384.6,326.7,57.9,29440.4,25068.7,4371.7,30005.7,25550.0,4455.7
Dung Quat,126,90,6222.2,8562.9,2002.4,2003.4,2001.3,2001.6,1542.3,1932.2,2059.1,2113.4,142.0,192.6,381.1,380.2,73.5,94.4,92.8,91.6,527.3,474.3,53.0,40729.0,36669.5,4059.5,41511.0,37373.5,4137.5
Dong Xuyen Port,83,66,2273.1,3831.1,2004.4,2006.2,2008.8,2009.3,962.5,1916.4,2878.1,3130.7,122.0,271.7,526.0,548.1,30.0,164.9,115.5,115.2,316.9,264.2,52.7,24257.6,20286.0,3971.7,24723.4,20675.5,4047.9
Nghi Son,69,52,4539.5,7806.6,2004.0,2005.9,2007.5,2007.9,1579.9,2203.0,2898.3,3101.2,152.0,243.8,377.0,387.7,64.0,104.1,85.8,86.2,370.3,331.5,38.8,28574.9,25610.3,2964.7,29123.6,26102.0,3021.6
Nha Trang,53,49,2210.7,2533.8,2006.0,2005.7,2007.8,2008.0,1076.7,1655.0,1061.1,1374.8,144.0,218.8,150.8,188.5,11.0,97.9,55.9,76.2,328.9,282.2,46.7,25400.1,21794.9,3605.3,25887.8,22213.3,3674.5
Cam Lam,51,50,2344.0,3876.2,2007.5,2007.7,2010.0,2010.2,1387.4,2083.2,2704.9,2891.4,163.0,236.4,475.6,487.5,48.0,102.3,62.0,59.1,296.7,257.9,38.8,22886.0,19910.1,2975.9,23325.4,20292.4,3033.0
