Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,7164,878,212055.0,248223.3,2006.2,2007.0,2008.4,2008.3,715.3,1055.4,1148.9,1133.8,60.0,81.4,165.2,161.1,12.0,19.3,35.0,34.0,30114.1,28248.9,1865.2,2323737.5,2181629.4,142108.2,2368353.3,2223516.7,144836.7
Bulk carrier,2298,1502,116390.4,197808.9,2007.7,2009.0,2009.4,2009.6,1269.1,1872.7,1868.3,1896.4,130.0,208.0,414.5,424.0,56.0,93.5,112.5,112.7,9988.5,8978.0,1010.5,772497.6,694722.3,77775.3,787329.6,708061.0,79268.5
General cargo,1791,792,20448.9,27681.6,2005.6,2006.0,2007.0,2006.8,1068.0,1609.4,1614.6,1576.8,122.0,176.9,316.7,319.0,38.0,73.6,84.1,88.1,3983.9,3440.0,543.9,305283.3,264243.1,41040.2,311144.8,269316.6,41828.2
Chemical tanker,865,308,9213.2,14639.5,2006.2,2007.3,2006.8,2006.8,799.2,1097.3,1160.2,1160.2,83.0,116.7,213.7,213.2,26.0,45.5,51.8,51.3,2361.1,1846.3,514.8,181108.4,142030.8,39077.6,184585.7,144757.8,39827.9
Liquefied gas tanker,485,105,3226.9,3490.9,1998.6,2001.9,2003.4,2003.0,737.2,1207.6,1156.7,1161.7,79.0,127.5,220.6,222.8,19.0,39.0,42.1,41.3,995.0,747.0,248.0,75693.1,56967.2,18725.9,77146.4,58061.0,19085.4
Oil tanker,442,161,11946.9,20829.7,2008.0,2007.9,2006.7,2006.8,811.1,1397.9,1570.9,1596.8,89.0,207.8,312.8,313.2,35.0,83.6,118.8,118.1,1884.5,1375.3,509.1,144647.1,105721.3,38925.7,147424.3,107751.2,39673.1
Service - tug,221,108,337.4,307.0,2010.3,2009.8,2009.9,2009.7,688.8,1412.7,1165.3,1241.7,167.0,550.6,1230.2,1303.6,36.0,225.5,201.9,205.2,285.9,243.8,42.1,21508.5,18345.0,3163.4,21921.4,18697.3,3224.2
Cruise,143,46,7339.1,734.6,2003.1,2001.7,2005.1,2004.6,605.1,926.4,707.1,700.8,37.0,62.3,66.0,67.1,9.0,25.1,37.9,35.3,1538.9,1217.5,321.4,119160.3,94269.4,24890.9,121448.2,96079.4,25368.8
Offshore,122,40,290.5,370.8,2010.9,2010.4,2006.0,2005.1,492.7,1277.9,958.9,996.0,118.0,333.6,700.0,630.5,43.0,331.5,351.0,304.9,207.8,146.1,61.7,15643.2,11009.9,4633.3,15943.5,11221.3,4722.2
Vehicle,77,45,4832.5,1544.2,2006.0,2006.4,2006.9,2006.9,1241.2,1390.9,1460.4,1448.0,88.0,101.7,141.3,140.9,14.0,24.1,29.3,29.5,311.5,285.1,26.3,24105.7,22070.2,2035.5,24568.5,22494.0,2074.6
Refrigerated bulk,18,14,243.4,293.2,1988.6,1989.1,1987.4,1987.3,2436.7,3015.1,3038.3,3062.1,204.5,292.9,565.6,578.2,215.5,196.9,285.6,289.9,174.7,117.9,56.8,13255.0,8990.2,4264.8,13509.5,9162.8,4346.7
Service - other,18,16,177.8,103.7,2004.2,2003.5,2006.4,2006.9,2312.2,3012.9,2292.5,1714.5,184.5,629.2,911.7,897.9,50.5,231.7,313.3,353.0,101.8,91.5,10.2,7663.9,6893.8,770.1,7811.0,7026.2,784.9
Miscellaneous - fishing,7,6,10.7,5.4,2005.1,2005.3,2013.4,2010.9,1301.2,1834.3,2452.2,1644.1,310.0,527.9,979.3,914.6,4.0,372.6,41.7,42.1,13.1,9.6,3.6,993.5,725.4,268.1,1012.6,739.4,273.3
Ro-Ro,7,4,45.9,29.5,1994.9,1995.5,1995.0,1995.4,565.9,758.2,585.6,712.7,63.0,73.4,75.0,83.1,12.0,9.1,9.6,8.8,9.2,8.4,0.8,707.8,649.4,58.4,721.4,661.9,59.5
Ferry-RoPax,2,2,59.6,7.4,1965.0,1965.0,1966.0,1966.0,3471.4,3471.4,5688.6,5597.9,559.5,559.5,516.9,517.1,671.0,671.0,1142.6,1139.4,24.1,12.3,11.9,1810.2,919.9,890.3,1845.0,937.6,907.4
Ferry-pax only,2,2,0.9,0.1,2004.5,2004.5,2015.1,2015.1,1250.3,1250.3,1372.7,1362.4,314.0,314.0,463.8,463.0,80.0,80.0,135.2,134.9,1.2,0.9,0.2,89.4,71.3,18.1,91.1,72.7,18.4
