Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cat Lai,3070,415,63090.3,79157.6,2006.7,2006.0,2008.1,2008.0,804.0,1176.3,1071.2,1074.1,67.0,117.7,121.0,123.2,14.0,28.9,20.9,21.1,11400.9,10574.7,826.2,878887.1,815954.7,62932.3,895761.7,831621.1,64140.7
Nam Hai Dinh Vu Port,2409,539,26157.9,31098.7,2004.2,2005.0,2004.5,2004.5,532.3,1100.2,811.3,788.8,52.0,123.7,149.5,164.4,11.0,44.6,33.4,35.4,5032.8,4468.7,564.0,386400.6,343752.3,42648.2,393819.4,350352.4,43467.1
Cai Mep,1930,1157,142102.8,172137.4,2008.2,2008.2,2009.8,2010.0,945.4,1508.4,1483.5,1524.0,80.0,165.4,261.7,281.5,20.0,67.8,60.5,64.4,15342.4,14263.7,1078.6,1185833.5,1103046.1,82787.4,1208601.5,1124224.6,84376.9
Hai Phong,840,346,6927.9,8938.2,2005.4,2005.9,2006.4,2006.1,532.5,1278.4,923.6,914.3,53.0,145.6,188.6,196.7,12.0,64.5,51.3,55.0,1430.9,1247.5,183.4,109741.9,95856.9,13885.1,111849.0,97697.3,14151.7
Da Nang,735,288,13325.8,14153.9,2003.7,2004.4,2003.9,2003.7,702.4,1477.7,907.5,1045.0,74.0,214.2,158.5,177.7,14.0,70.7,50.8,52.5,2455.9,2096.5,359.4,189053.2,161608.8,27444.4,192683.0,164711.7,27971.3
Hon Gai,651,444,30666.2,48750.8,2007.1,2007.8,2010.0,2010.2,1457.1,1931.0,1951.9,2212.9,139.0,212.1,378.4,415.0,48.0,93.1,100.0,108.1,3072.3,2733.7,338.6,237208.2,211268.6,25939.7,241762.6,215324.9,26437.7
Cam Pha,603,482,24291.5,41545.9,2006.4,2007.5,2007.8,2007.9,1283.9,1648.6,1644.5,1643.6,134.0,209.0,386.6,386.1,42.0,76.4,104.3,104.1,2293.6,2090.2,203.4,177308.8,161690.2,15618.5,180713.1,164794.7,15918.4
Phu My,576,440,15113.1,23899.8,2006.3,2007.0,2009.5,2009.8,866.4,1493.3,1733.5,1765.8,87.0,153.5,330.3,338.6,31.0,70.3,104.0,110.2,1904.4,1648.6,255.9,146678.0,127206.4,19471.6,149494.2,129648.8,19845.4
Lotus Port,536,356,7868.7,11869.1,2006.9,2007.0,2006.9,2006.8,804.6,1339.6,1338.6,1349.2,84.0,155.7,281.3,287.3,29.5,76.7,78.9,82.2,1472.3,1175.3,297.0,112966.5,90461.0,22505.5,115135.4,92197.8,22937.6
Hiep Phuoc,501,273,9699.3,11264.6,2007.7,2007.1,2009.0,2009.0,880.3,1376.8,1317.8,1336.8,80.0,161.8,235.7,268.1,20.0,104.1,79.0,96.6,1487.2,1238.6,248.6,114334.8,95420.1,18914.8,116530.0,97252.1,19277.9
