Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Container,3724,385,33997.8,41769.2,2002.9,2005.8,2003.7,2003.5,266.9,321.4,391.7,401.5,25.0,28.9,69.7,71.9,19.0,22.3,35.9,36.5,6841.9,5200.7,1641.1,526381.5,400865.5,125516.0,536488.1,408562.1,127926.0
Service - tug,2498,353,1414.6,1259.5,2010.6,2009.5,2011.0,2010.9,208.8,657.8,755.0,740.1,52.0,252.9,1069.3,1020.6,19.0,119.0,360.0,363.8,1322.6,988.6,334.1,99323.2,74237.1,25086.1,101230.2,75662.5,25567.7
Oil tanker,2442,358,25920.7,45095.0,2001.8,2004.4,2004.5,2004.3,307.7,504.3,682.2,684.3,44.0,96.7,146.4,145.6,28.0,81.9,84.4,84.6,5718.8,3356.9,2362.0,437692.4,257365.5,180326.9,446096.1,262307.0,183789.2
Chemical tanker,1868,531,10697.8,16884.4,2007.7,2008.4,2008.7,2008.8,381.0,530.8,574.2,576.3,40.0,62.7,111.6,112.1,26.0,44.0,49.2,49.3,3267.7,2142.0,1125.7,250001.8,164381.2,85620.6,254801.8,167537.4,87264.5
General cargo,1578,352,4880.2,7020.3,2000.6,2004.7,2002.3,2002.7,536.5,590.4,634.9,642.5,52.5,62.6,187.9,193.9,32.0,78.1,124.7,125.4,1365.0,983.5,381.6,103624.2,74824.8,28799.4,105613.7,76261.4,29352.4
Bulk carrier,1151,494,18847.5,34148.3,2007.9,2008.2,2007.4,2007.6,333.2,576.9,546.9,538.7,37.0,68.9,199.4,195.8,51.0,93.9,103.6,101.5,1840.0,1301.9,538.1,141990.6,100587.9,41402.8,144716.9,102519.2,42197.7
Service - other,820,74,1980.6,2490.1,2009.5,2007.9,2009.4,2008.9,119.4,725.5,443.5,378.6,19.0,161.1,608.9,587.8,13.0,173.2,213.4,267.6,700.7,474.7,226.0,53169.8,36117.0,17052.8,54190.6,36810.4,17380.2
Offshore,730,120,2958.7,4565.5,2012.2,2010.7,2003.6,2001.6,410.3,2361.9,1360.7,1733.1,100.0,476.0,634.5,517.1,33.0,326.7,712.0,780.4,1728.7,1198.2,530.5,130010.8,90147.0,39863.8,132507.0,91877.8,40629.2
Ro-Ro,307,22,533.9,852.0,2009.6,2010.9,2007.8,2007.8,292.5,1241.5,957.9,934.5,59.0,354.3,345.4,314.5,25.0,387.5,150.5,114.5,860.5,546.2,314.4,64611.5,41006.3,23605.2,65852.0,41793.6,24058.4
Liquefied gas tanker,295,61,5898.0,5019.4,2005.1,2004.0,2007.3,2006.7,747.0,1017.4,1666.0,1573.6,75.0,97.0,323.2,307.0,31.0,53.9,91.8,91.8,1271.6,915.1,356.6,88478.2,62216.0,26262.2,90177.0,63410.6,26766.4
Ferry-pax only,210,21,84.2,21.9,1998.8,1996.9,1996.7,1997.4,795.1,2215.2,1961.5,2399.6,48.0,93.8,579.3,585.8,28.5,63.5,241.3,250.1,292.3,191.3,101.0,21945.8,14364.1,7581.7,22367.2,14639.9,7727.2
Cruise,179,37,3898.4,441.2,1995.5,2001.2,1994.0,1992.7,209.3,351.1,371.9,409.5,16.0,43.3,229.4,260.4,9.0,12.4,23.5,21.6,989.9,784.6,205.4,76456.4,60600.9,15855.5,77924.4,61764.4,16160.0
Vehicle,103,11,4886.0,1579.4,1998.6,2002.1,1997.8,1998.0,762.8,533.7,1048.9,1051.5,55.0,36.7,140.3,141.2,20.0,13.5,32.2,32.4,302.5,264.7,37.8,23422.3,20494.6,2927.7,23872.0,20888.1,2983.9
Refrigerated bulk,5,3,33.9,40.1,1983.0,1981.0,1980.7,1980.5,664.9,3459.6,1417.2,1535.7,62.0,298.3,708.8,734.0,23.0,210.8,187.5,190.2,34.9,26.5,8.3,2630.0,2002.9,627.2,2680.5,2041.3,639.2
Miscellaneous - fishing,3,3,1.5,1.5,1992.3,1992.3,1987.0,1983.1,621.8,568.5,357.3,538.1,72.0,68.0,84.3,94.1,4.0,10.0,16.9,20.5,1.1,1.0,0.1,86.3,76.1,10.2,88.0,77.6,10.4
