Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Pulau Indah,1525,520,14567.8,16771.9,2003.0,2005.8,2002.7,2003.6,242.5,556.0,493.6,455.5,34.0,97.9,136.9,128.1,20.0,47.0,39.9,46.4,2994.6,2343.7,650.8,229468.7,179779.4,49689.3,233874.5,183231.2,50643.3
Pasir Gudang,1173,472,6436.0,9115.2,2005.4,2006.5,2005.6,2006.0,286.6,553.5,487.7,484.6,36.0,96.3,139.6,147.1,22.0,68.6,66.6,65.7,1599.7,1145.7,454.0,121149.8,86964.1,34185.7,123475.9,88633.8,34842.0
Port Klang,1171,385,7297.9,7740.2,2001.5,2004.8,2001.1,2002.6,268.2,513.5,387.8,400.7,35.0,83.2,82.6,94.2,24.0,71.0,49.1,68.6,1892.8,1372.9,519.9,144832.9,105249.9,39583.0,147613.7,107270.7,40343.0
Tanjong Bin,876,317,7570.5,10953.2,2001.7,2005.4,2005.0,2004.2,212.8,595.6,414.1,476.3,29.0,136.7,297.3,350.6,24.5,69.8,88.1,99.2,1500.0,954.3,545.7,114882.1,73290.3,41591.8,117087.8,74697.4,42390.4
Pengerang,807,485,8593.0,14400.4,2005.2,2006.5,2007.1,2006.9,254.7,552.7,583.2,575.5,33.0,92.8,125.2,123.8,29.0,80.4,109.7,108.1,1306.4,808.3,498.1,98947.2,60778.3,38168.9,100847.0,61945.2,38901.8
Pulau Pinang,700,225,6712.6,6320.3,2003.5,2005.2,2001.9,2005.2,248.9,562.5,363.5,353.7,22.0,94.5,214.5,135.6,17.0,55.2,45.6,49.8,1585.2,1171.6,413.6,122016.9,90299.8,31717.1,124359.6,92033.6,32326.0
Tanjung Pelepas,623,139,3710.4,4665.7,2006.1,2004.6,2006.6,2006.6,185.4,386.5,362.1,365.1,21.0,58.2,80.9,92.6,13.0,50.7,42.7,44.0,705.7,514.5,191.2,54260.4,39631.9,14628.5,55302.2,40392.9,14909.4
Bintulu Port,614,260,7534.3,9974.6,2004.5,2006.7,2005.7,2004.8,675.1,1297.7,979.9,903.8,68.0,250.3,226.9,171.7,29.5,139.9,78.7,85.1,1738.6,1258.9,479.6,130019.2,93593.3,36425.9,132515.6,95390.3,37125.3
Labuan,548,209,3113.8,4237.6,2007.6,2007.9,2005.1,2005.2,470.6,1317.5,805.5,771.6,56.0,502.2,398.9,292.0,34.0,256.0,167.3,136.4,1330.9,839.9,491.1,100635.9,63527.0,37108.9,102568.1,64746.7,37821.4
Senari - Sarawak,433,134,2295.7,2528.6,2003.1,2004.8,2003.0,2004.4,554.3,624.5,682.0,707.3,50.0,81.1,86.1,99.0,26.0,66.9,56.3,63.4,563.0,380.1,183.0,42995.4,29108.8,13886.7,43821.0,29667.6,14153.3
Kemaman,413,161,764.8,841.0,2010.5,2008.9,2008.5,2007.7,343.8,1077.0,729.3,712.9,73.0,309.0,637.8,528.2,21.0,208.5,240.9,203.4,573.7,370.6,203.0,43216.3,27952.2,15264.0,44046.0,28488.9,15557.1
Muar,407,162,1033.2,1576.8,2010.1,2007.9,2008.9,2008.8,103.9,417.6,308.8,302.8,19.0,55.8,68.1,64.2,19.0,56.7,75.1,69.4,208.8,115.2,93.5,15769.6,8702.8,7066.7,16072.3,8869.9,7202.4
Sungai Udang,401,222,5658.2,8719.4,2007.2,2006.0,2004.2,2004.0,353.8,752.2,943.0,861.3,48.0,140.6,312.0,289.5,28.0,89.2,308.8,359.8,1060.1,790.4,269.7,78129.0,57834.7,20294.3,79629.1,58945.1,20683.9
Lumut,392,228,5161.5,9599.4,2007.6,2006.9,2010.5,2010.7,277.5,547.4,447.4,439.1,37.0,87.3,138.4,135.5,17.0,68.3,98.4,98.0,469.9,355.2,114.7,36093.6,27348.6,8745.0,36786.6,27873.7,8912.9
Port Dickson,379,224,3444.2,5719.7,2004.6,2005.0,2002.6,2002.5,259.3,618.3,711.5,765.5,30.0,76.7,265.5,272.0,26.0,88.0,70.8,72.2,753.9,515.6,238.3,57735.7,39588.0,18147.7,58844.2,40348.1,18496.1
Tanjung Gelang,308,196,1288.6,1845.0,2007.8,2008.3,2007.7,2008.0,302.5,575.7,459.3,447.9,43.0,126.2,219.6,191.4,19.0,45.6,49.9,44.8,442.7,330.9,111.7,33734.7,25264.6,8470.1,34382.4,25749.7,8632.7
Sandakan,280,156,2517.0,3690.8,2004.9,2007.2,2006.1,2006.8,636.2,798.3,778.7,783.1,55.5,84.3,117.9,120.9,34.0,59.5,60.7,62.1,585.6,423.8,161.8,44872.6,32555.1,12317.5,45734.1,33180.1,12554.0
Kampung Tanjung Langsat,259,157,1178.0,1845.0,2009.0,2008.3,2009.0,2008.7,234.7,499.1,503.0,505.5,43.0,97.4,122.5,122.7,34.0,72.2,55.4,56.2,344.9,209.3,135.6,26401.1,16054.5,10346.6,26908.0,16362.7,10545.3
Miri,254,131,1047.7,1489.8,2009.4,2008.5,2005.8,2004.9,540.7,1469.6,701.6,693.6,93.0,418.9,332.2,179.3,40.5,170.6,101.9,73.9,561.3,408.6,152.8,42078.5,30643.6,11434.9,42886.4,31232.0,11654.4
Tapis Marine Terminal A,254,67,394.2,445.3,2012.9,2010.4,2009.2,2007.5,362.0,1159.4,593.4,553.4,102.0,223.0,372.4,313.3,32.0,226.4,281.7,214.1,244.4,166.1,78.3,18383.9,12498.3,5885.6,18736.9,12738.3,5998.6
Lutong,239,106,308.4,401.7,2009.9,2008.8,2006.4,2005.5,308.9,1105.6,581.3,593.2,68.0,227.1,207.9,160.2,46.0,201.7,196.5,146.4,249.1,142.6,106.5,18741.3,10736.1,8005.3,19101.2,10942.2,8159.0
Kota Kinabalu,210,98,2405.8,2651.8,2004.0,2005.2,2001.1,2002.8,713.4,1042.6,992.0,971.7,65.0,113.3,129.7,138.0,30.5,113.0,48.6,51.7,468.6,333.7,134.9,35832.2,25600.3,10231.9,36520.2,26091.8,10428.4
Sungai Udang Port,210,60,2323.4,3952.4,2007.7,2006.5,2004.1,2003.8,419.6,929.0,723.1,733.2,56.0,334.1,127.6,123.8,30.5,98.4,47.8,45.3,489.2,306.6,182.7,37476.1,23554.0,13922.2,38195.7,24006.2,14189.5
Tawau,203,79,1265.6,1692.8,2002.4,2004.8,2003.9,2004.2,466.4,914.8,708.6,703.9,29.0,107.0,134.7,138.0,31.0,65.7,56.6,59.3,378.1,274.9,103.2,28910.3,21083.2,7827.1,29465.3,21488.0,7977.3
Tanjung Manis,191,102,965.9,1346.4,2003.7,2005.4,2002.9,2003.0,470.0,768.0,645.6,634.5,45.0,86.7,126.2,126.2,34.0,144.9,162.7,160.4,259.5,154.2,105.3,19766.4,11791.5,7974.9,20146.0,12017.9,8128.1
Sapangar Bay,183,82,1396.1,2062.1,2004.5,2004.7,2002.4,2002.3,607.9,998.2,810.9,881.9,52.0,115.6,132.0,141.1,25.0,89.5,39.1,38.8,360.9,243.6,117.4,27544.2,18666.3,8878.0,28073.1,19024.7,9048.4
Kuala Trengganu,175,89,291.5,420.0,2009.7,2007.4,2002.4,2001.5,202.0,686.8,435.7,416.8,24.0,63.8,92.5,61.5,9.0,80.3,134.7,92.3,129.1,81.7,47.4,9770.2,6179.9,3590.3,9957.8,6298.6,3659.2
Malacca,149,103,1479.8,2482.5,2004.3,2004.5,2003.5,2003.3,429.4,672.4,667.2,659.9,63.0,139.0,138.0,137.2,25.0,84.2,125.4,135.7,308.6,205.8,102.8,23683.7,15813.7,7870.0,24138.4,16117.3,8021.1
Perai,147,101,905.0,1443.2,2008.2,2007.8,2008.0,2008.1,440.8,630.8,524.8,509.1,51.0,72.0,105.6,103.8,36.0,61.5,72.7,73.7,220.0,144.0,76.0,16840.6,11055.3,5785.2,17163.9,11267.6,5896.3
Kuala Selangor,138,95,816.1,1244.1,2008.2,2007.3,2006.8,2008.4,165.4,452.0,470.9,489.4,24.5,57.1,53.7,52.1,22.5,102.8,114.5,121.1,170.6,83.5,87.2,13126.1,6418.3,6707.8,13378.1,6541.5,6836.6
Melaka,138,102,929.6,1466.7,2004.4,2005.2,2006.9,2007.2,289.7,682.2,607.2,655.8,28.5,72.2,102.5,101.2,18.5,37.4,70.8,74.9,195.6,125.0,70.6,14912.2,9539.6,5372.6,15198.6,9722.8,5475.8
Kertih,135,95,2188.2,3766.6,2006.6,2007.1,2002.7,2002.4,433.2,671.7,770.6,765.2,42.0,130.1,136.0,127.5,24.0,57.0,76.8,79.9,371.2,209.8,161.4,28647.5,16189.9,12457.5,29197.5,16500.8,12696.7
Penang,124,69,456.2,693.2,2006.0,2005.8,2005.3,2005.4,438.3,685.5,517.4,517.1,59.0,80.9,134.1,138.1,46.0,98.5,99.4,106.0,176.2,102.6,73.6,13381.4,7831.6,5549.8,13638.3,7981.9,5656.3
Bintulu,121,67,315.0,384.8,2007.0,2007.1,2004.7,2004.2,536.2,939.7,611.7,592.8,72.0,224.7,204.3,147.9,35.0,298.4,303.5,228.8,187.6,105.2,82.4,14162.9,7967.1,6195.8,14434.9,8120.1,6314.8
Kampong Tanjong Kupang,119,39,113.4,172.5,2013.4,2013.1,2011.7,2011.8,87.1,167.3,127.8,126.6,12.0,90.5,190.1,190.9,8.0,17.6,61.5,62.7,33.3,24.1,9.2,2518.3,1823.0,695.3,2566.7,1858.0,708.6
Sibu,111,29,124.3,198.2,2000.6,2005.1,1998.9,1999.6,654.0,817.7,736.7,741.5,76.0,183.3,115.4,112.3,31.0,128.3,110.8,107.2,76.2,51.2,25.0,5726.2,3845.8,1880.3,5836.1,3919.7,1916.4
Batu Maung,97,70,723.8,872.1,2007.0,2006.3,2006.0,2007.1,315.1,659.5,578.1,566.8,29.0,106.3,266.9,258.2,18.0,56.5,81.5,86.3,171.6,124.0,47.6,13187.8,9554.0,3633.8,13441.0,9737.5,3703.5
Lahad Datu,88,75,951.5,1566.5,2002.9,2005.5,2007.7,2008.0,742.4,942.2,787.2,779.4,64.0,89.7,125.6,123.6,54.0,76.2,73.7,74.5,157.7,118.3,39.4,12114.1,9094.4,3019.8,12346.7,9269.0,3077.7
Tanjung Lembung,86,48,612.5,852.0,2003.5,2003.9,2004.6,2004.9,316.7,984.0,754.7,1116.9,39.0,66.7,124.8,110.9,45.5,79.6,382.7,431.0,171.5,81.6,89.8,13067.7,6230.6,6837.1,13318.6,6350.2,6968.4
Bangau,78,31,142.5,214.2,2010.3,2008.7,2008.1,2007.8,438.0,866.6,622.2,582.1,66.5,139.0,182.0,149.3,23.5,113.4,139.9,128.0,104.1,63.7,40.3,7853.2,4820.3,3033.0,8004.0,4912.8,3091.2
Kuala Dungun,77,54,315.5,490.7,2009.4,2007.9,2004.6,2005.0,233.2,698.2,602.9,603.0,24.0,90.8,157.7,108.3,18.0,120.5,170.3,124.7,82.8,38.7,44.1,6337.1,2956.6,3380.5,6458.8,3013.4,3445.4
Nenasi,77,61,172.9,269.9,2008.9,2008.0,2005.7,2005.6,180.0,380.0,512.5,519.7,37.0,84.9,76.9,70.3,14.0,44.0,64.9,63.8,44.7,26.7,18.0,3385.3,2029.6,1355.7,3450.3,2068.5,1381.8
Malong Marine Terminal,74,59,628.7,1063.1,2007.1,2006.7,2003.0,2002.8,432.8,665.2,760.7,759.1,45.0,70.2,118.3,117.7,23.0,141.0,52.8,39.5,100.2,63.1,37.1,7671.6,4852.5,2819.1,7818.9,4945.7,2873.2
Johor,72,22,48.4,75.3,2003.4,2006.5,2008.2,2009.2,375.5,406.9,268.3,240.2,34.0,107.6,80.7,71.9,19.0,57.1,39.0,36.5,28.2,19.3,8.8,2139.3,1466.7,672.5,2180.3,1494.9,685.4
Penang (Georgetown),68,53,582.5,750.3,2004.8,2005.4,2005.9,2005.9,298.2,456.8,385.8,391.1,22.0,42.7,65.8,64.9,22.5,39.7,35.5,37.9,111.9,84.3,27.6,8619.8,6506.4,2113.4,8785.3,6631.3,2154.0
Pulau Bruit,66,40,242.6,340.6,2002.9,2003.8,2001.9,2001.8,564.3,1281.1,849.7,897.4,75.0,134.6,444.2,444.5,36.0,163.3,667.8,669.9,100.3,61.8,38.5,7578.7,4681.2,2897.5,7724.2,4771.0,2953.2
Kuala Besut,65,45,133.7,181.1,2008.9,2007.8,2003.9,2002.7,249.9,638.8,567.6,576.3,29.0,181.9,350.7,245.7,11.0,54.7,77.3,49.4,46.5,36.3,10.2,3526.0,2755.9,770.1,3593.7,2808.9,784.9
Tampoi,61,11,63.5,96.5,2015.3,2011.2,2009.2,2010.4,89.7,625.6,222.1,191.2,17.0,104.7,106.9,82.0,7.0,18.5,26.0,24.4,14.8,12.4,2.4,1118.0,937.5,180.4,1139.4,955.5,183.9
Langkawi,54,15,233.2,368.3,2005.5,2004.4,2002.3,2002.8,456.5,429.1,490.9,518.9,52.5,49.0,87.6,88.8,95.0,54.3,106.4,109.1,59.1,37.7,21.4,4505.7,2890.1,1615.6,4592.3,2945.6,1646.7
Pending,45,30,322.5,259.8,2002.8,2004.0,2001.6,2003.7,543.0,668.4,602.0,702.0,43.0,81.2,84.2,134.3,26.0,53.2,38.3,55.1,38.6,30.2,8.3,2950.4,2317.9,632.5,3007.1,2362.4,644.6
Hutan Melintang,38,33,222.7,309.3,2005.8,2005.5,2004.0,2004.2,368.9,543.9,593.7,632.3,34.5,72.8,82.1,90.2,10.5,40.0,34.3,29.1,40.5,28.1,12.4,3104.9,2158.8,946.0,3164.5,2200.3,964.2
"Sepang, Selangor",36,28,110.1,151.2,2001.8,2002.0,2001.0,2000.9,285.8,404.0,396.0,409.8,19.0,41.3,44.5,47.5,12.0,54.1,26.3,29.8,25.6,17.0,8.6,1961.3,1306.6,654.7,1999.0,1331.7,667.3
Penara Marine Termin,36,30,150.8,244.8,2008.4,2008.0,2004.4,2004.1,411.8,565.9,569.7,567.0,60.0,80.4,64.1,56.8,29.0,70.0,65.7,54.0,27.6,17.8,9.8,2100.9,1359.1,741.8,2141.3,1385.2,756.0
Sabahat,34,24,161.7,221.9,1997.4,2000.9,2003.6,2004.3,323.8,1357.7,747.2,699.3,26.5,61.5,121.4,109.2,39.5,149.4,95.2,58.5,55.7,34.7,21.0,4256.9,2665.2,1591.7,4338.6,2716.3,1622.3
Batang Kali,32,27,150.0,200.5,2006.1,2005.5,2001.9,2003.0,351.7,559.6,627.9,581.8,25.5,43.2,94.0,86.5,11.5,20.8,36.0,35.3,27.3,19.3,7.9,2092.0,1486.9,605.1,2132.2,1515.5,616.8
Kuantan,30,27,76.4,113.3,2006.7,2006.7,2004.3,2004.2,471.1,771.7,964.0,1089.3,62.5,163.5,289.1,326.5,18.0,189.9,298.0,295.3,38.5,20.7,17.8,2917.2,1580.0,1337.2,2973.2,1610.4,1362.9
Batu Gajah,26,18,143.0,213.5,2005.2,2003.8,2002.3,2002.6,382.5,690.7,638.8,627.4,30.0,48.1,61.5,62.8,7.5,55.5,82.9,77.6,24.9,15.2,9.7,1912.1,1171.3,740.9,1948.8,1193.8,755.1
