Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Bulk carrier,568,435,220451.3,424611.1,2009.2,2009.5,2009.4,2009.4,3402.9,4576.6,7121.9,7280.1,356.5,491.2,939.8,946.7,22.0,63.5,74.5,75.0,11893.7,11630.1,263.6,920888.0,900528.6,20359.5,938569.1,917818.7,20750.4
Container,232,69,6808.3,8127.1,2002.8,2002.1,2003.5,2003.1,387.9,1032.7,1003.3,996.2,48.0,91.7,198.8,193.8,28.5,44.4,29.7,31.0,1051.4,927.2,124.2,81252.4,71730.7,9521.7,82812.4,73107.9,9704.5
General cargo,109,77,1688.8,2443.0,2004.7,2005.2,2008.6,2008.3,1284.8,1633.0,2018.0,2074.0,149.0,235.4,346.4,354.7,30.0,63.8,44.2,41.3,289.2,268.5,20.7,22122.1,20570.0,1552.1,22546.8,20964.9,1581.9
Chemical tanker,91,55,2492.1,4008.1,2009.1,2009.3,2009.0,2009.0,1304.1,1637.2,1536.1,1540.1,156.0,229.1,292.7,292.3,35.0,68.3,56.8,56.8,450.6,357.4,93.2,34709.8,27589.6,7120.2,35376.2,28119.3,7256.9
Ro-Ro,52,22,3561.6,1855.4,2005.5,2006.5,2004.8,2005.4,1143.3,1384.5,1325.6,1322.8,71.5,100.8,129.7,128.8,18.0,20.0,22.5,21.6,397.2,378.7,18.5,30762.6,29330.4,1432.3,31353.3,29893.5,1459.8
Vehicle,41,13,2909.5,919.6,2006.1,2004.7,2004.2,2004.6,877.6,1333.0,1345.7,1302.2,82.0,110.4,162.5,155.8,14.0,21.2,25.0,24.5,189.2,181.0,8.2,14612.0,13987.4,624.6,14892.6,14255.9,636.6
Service - tug,37,9,19.7,15.3,2015.4,2007.3,2012.3,2012.2,146.2,2408.7,1066.1,1205.7,70.0,1120.1,1600.4,1626.6,12.0,100.2,41.1,42.5,16.2,14.6,1.6,1215.7,1098.1,117.5,1239.0,1119.2,119.8
Miscellaneous - fishing,27,17,81.3,32.7,1994.6,1997.5,1986.7,1987.2,2312.0,2574.4,3180.9,3139.8,281.0,469.2,773.3,814.1,34.0,110.6,190.7,211.9,54.7,43.7,11.0,4108.3,3281.6,826.7,4187.1,3344.6,842.5
Oil tanker,22,7,611.5,1029.9,2000.9,2007.6,2008.0,2008.3,130.5,1818.9,809.8,826.7,23.0,197.1,299.2,293.3,5.5,51.4,81.8,82.5,98.6,80.0,18.6,7601.3,6180.8,1420.5,7747.2,6299.4,1447.8
Refrigerated bulk,9,4,15.2,17.8,1983.3,1987.8,1988.3,1988.0,375.5,676.6,732.6,720.5,52.0,67.0,90.7,90.6,136.0,142.1,86.9,89.0,29.8,10.0,19.8,2247.8,761.0,1486.8,2291.0,775.6,1515.3
Service - other,1,1,4.5,5.4,1987.0,1987.0,1987.0,1987.0,1748.4,1748.4,1748.4,1748.4,574.0,574.0,574.0,574.0,361.0,361.0,361.0,361.0,3.3,2.6,0.6,247.4,198.9,48.5,252.1,202.7,49.4
