Int. Dep. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Aden,432,177,8044.1,11909.4,1999.0,1999.0,2002.4,2001.7,730.6,1381.1,1135.2,1145.0,71.0,199.9,259.8,259.9,44.0,105.8,101.1,109.7,1066.4,856.0,210.4,82003.1,65987.4,16015.7,83577.6,67254.4,16323.2
Hudaidah,216,126,5087.2,8242.4,2001.1,2001.9,2003.4,2003.9,1720.9,1609.2,1606.3,1612.5,220.0,276.3,289.7,286.3,59.5,112.5,113.2,113.3,971.6,798.3,173.3,74438.4,61265.6,13172.8,75867.6,62441.9,13425.7
Al Mukalla,177,93,4952.0,8516.4,1995.8,1995.5,2001.6,2002.1,1277.3,1672.4,2620.1,2851.7,190.0,299.0,488.6,508.1,55.0,231.7,194.4,195.2,817.6,619.9,197.7,62362.4,47432.8,14929.6,63559.8,48343.5,15216.2
Little Aden,60,45,953.8,1488.7,1996.5,1996.6,2002.0,2002.0,966.7,1215.5,1103.7,1145.6,168.5,261.3,240.3,240.7,60.0,143.8,99.4,100.9,207.5,162.4,45.0,15900.8,12492.3,3408.5,16206.1,12732.2,3473.9
Saleef,42,39,1507.6,2589.0,2002.5,2002.8,2005.7,2005.6,1333.9,1527.3,1595.3,1591.3,166.5,212.4,270.7,268.6,23.5,92.9,65.1,65.3,160.4,143.4,17.0,12374.6,11076.2,1298.4,12612.2,11288.8,1323.3
Perim Island,24,23,1702.8,2752.7,2004.5,2004.7,2004.5,2003.6,1513.6,2333.8,1772.0,1761.8,126.5,202.3,186.1,181.1,19.5,90.5,68.0,74.4,193.0,161.4,31.7,14822.4,12395.3,2427.1,15107.0,12633.3,2473.7
Suqutra,18,6,48.0,63.4,2006.5,1997.0,2005.9,2004.5,1177.0,1177.6,1275.7,1295.8,168.0,254.9,255.5,269.7,258.0,187.2,328.1,293.7,86.8,26.6,60.1,6520.0,2004.0,4516.0,6645.2,2042.5,4602.7
Mokha,11,11,695.2,1218.1,1999.8,1999.8,2008.2,2008.6,1610.9,1826.8,2041.9,2090.6,188.0,241.1,214.4,211.1,18.0,330.0,76.9,73.2,67.0,56.8,10.2,5170.5,4384.0,786.5,5269.8,4468.2,801.6
Balhaf,9,9,825.7,1452.3,1997.2,1997.2,2008.0,2008.9,1597.8,2260.1,2955.6,2983.7,278.0,253.9,296.5,299.3,49.0,85.8,21.5,19.3,65.9,57.4,8.5,5085.3,4433.5,651.8,5182.9,4518.6,664.3
Ras Isa Marine Terminal,8,8,481.5,851.8,2005.2,2005.2,2005.7,2005.4,1233.8,1650.9,1606.4,1599.5,220.0,223.8,244.7,234.6,78.5,85.1,50.8,51.5,60.5,45.2,15.3,4680.5,3496.2,1184.3,4770.3,3563.3,1207.1
Al Mukha,4,4,849.1,1629.2,2003.2,2003.2,2010.5,2010.5,1551.0,1717.5,2435.5,2451.7,145.0,153.8,244.7,245.8,35.0,383.5,976.8,986.6,61.8,40.4,21.4,4785.7,3125.3,1660.4,4877.6,3185.4,1692.3
