Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United Arab Emirates,229,120,5654.5,8842.6,1999.8,1999.6,2002.5,2002.9,1609.3,1923.7,1764.2,1747.6,210.0,302.3,255.3,252.5,80.0,180.1,161.6,160.6,1245.9,892.5,353.3,95101.0,68359.1,26741.9,96926.9,69671.6,27255.3
Saudi Arabia,199,85,4283.5,6775.4,2000.1,1999.6,2002.5,2002.8,737.6,947.2,996.7,1057.8,72.0,152.9,151.4,160.2,32.0,85.3,240.1,284.8,636.8,523.5,113.2,48958.8,40298.3,8660.6,49898.8,41072.0,8826.8
Djibouti,162,64,532.4,771.2,2005.9,2002.6,2006.0,2005.8,159.2,314.6,245.4,250.3,35.5,89.8,143.6,149.3,49.5,88.0,47.2,45.3,209.6,137.8,71.8,15957.8,10527.3,5430.5,16264.2,10729.4,5534.8
Egypt,89,68,1677.3,2825.3,1992.4,1994.3,1999.9,2000.4,1290.8,1377.6,1391.4,1399.2,163.0,273.5,279.4,279.5,157.0,187.2,146.4,141.3,252.4,177.8,74.6,19299.7,13658.9,5640.7,19670.2,13921.2,5749.0
Oman,65,43,966.8,1501.7,1995.4,1995.8,1999.2,1999.2,1055.6,1552.2,1539.6,1534.2,209.0,321.8,396.2,388.7,59.0,113.0,158.9,165.8,259.8,208.9,50.9,19911.2,16021.6,3889.7,20293.5,16329.2,3964.3
Turkey,55,43,2315.4,3951.2,2002.5,2002.0,2004.1,2004.0,2042.6,2007.4,2061.6,2066.4,212.0,272.5,265.9,265.2,13.0,168.4,114.1,111.2,219.0,198.3,20.7,16882.3,15319.8,1562.5,17206.4,15613.9,1592.5
Somalia,43,14,87.8,127.0,1978.7,1992.8,1992.7,1993.0,169.9,709.4,669.6,652.9,27.0,193.0,288.0,283.8,65.0,129.6,136.3,135.9,42.2,24.8,17.4,3190.9,1884.1,1306.9,3252.2,1920.2,1332.0
India,27,13,688.8,876.8,1999.4,2002.5,2006.1,2005.3,1568.1,2054.8,1912.9,1740.2,204.0,344.4,235.9,229.5,45.0,268.2,53.2,62.2,93.9,83.1,10.7,7213.8,6400.1,813.7,7352.3,6523.0,829.3
Jordan,21,21,557.2,935.0,2001.5,2001.5,2004.0,2004.1,1295.8,1360.4,1332.0,1326.9,130.0,181.2,169.3,171.8,31.0,48.3,58.2,57.2,57.9,51.0,7.0,4464.1,3929.2,534.9,4549.8,4004.6,545.1
Sudan,15,14,134.0,213.9,1993.3,1993.1,1997.1,1997.3,696.2,776.3,763.0,764.8,88.0,133.5,170.2,176.3,160.0,193.9,114.0,108.7,23.1,16.1,7.0,1763.9,1235.5,528.3,1797.7,1259.3,538.5
Israel,10,10,286.6,474.6,2006.0,2006.0,2008.0,2008.0,1288.9,1326.2,1308.8,1300.3,161.5,209.4,177.5,173.6,50.5,96.3,99.7,101.7,29.8,25.7,4.1,2293.6,1980.3,313.3,2337.7,2018.3,319.4
China,10,9,3382.4,5891.6,2006.3,2006.6,2005.1,2004.5,1279.9,2530.8,4786.4,4841.3,383.0,324.7,594.2,594.8,8.5,47.6,140.4,152.1,182.8,175.4,7.4,14161.3,13584.5,576.7,14433.2,13845.4,587.8
Iran (Islamic Republic of),8,8,427.8,733.0,1999.8,1999.8,2001.7,2001.5,2203.3,2390.9,2553.3,2617.9,186.0,166.8,169.6,168.5,148.0,147.2,173.1,179.4,51.8,32.5,19.2,4004.7,2517.7,1487.0,4081.6,2566.0,1515.6
Russian Federation,7,7,392.9,676.2,2001.4,2001.4,2006.0,2006.0,2566.7,2209.6,2503.9,2547.9,298.0,326.7,395.2,396.0,70.0,109.4,146.1,146.1,36.8,33.9,2.8,2844.3,2625.2,219.1,2898.9,2675.6,223.3
Eritrea,5,5,17.9,24.5,1996.6,1996.6,1997.7,2000.6,414.3,578.4,397.5,371.0,93.0,166.2,154.5,164.7,76.0,65.4,74.1,84.9,8.9,6.9,2.0,668.8,520.8,148.1,681.7,530.8,150.9
Norway,5,1,3.1,4.2,1984.0,1984.0,1984.0,1984.0,88.3,88.3,142.7,142.7,19.0,19.0,75.2,75.2,101.0,101.0,55.2,55.2,2.0,0.7,1.3,153.1,56.8,96.3,156.1,57.9,98.2
Pakistan,5,5,26.8,44.5,1988.6,1988.6,1982.1,1981.6,1559.7,1536.4,1487.9,1483.0,207.0,221.6,235.7,239.6,140.0,366.8,133.7,121.9,9.8,7.6,2.2,740.9,573.1,167.8,755.1,584.1,171.0
Singapore,5,5,603.8,702.6,2010.4,2010.4,2010.4,2009.9,3828.8,4284.3,4192.2,4379.7,305.0,331.4,338.7,367.1,11.0,13.4,12.9,14.5,69.9,68.8,1.1,5410.4,5327.3,83.1,5514.3,5429.5,84.7
Greece,5,5,184.8,314.3,2003.6,2003.6,2003.8,2003.8,1834.1,1962.8,1856.9,1852.5,212.0,407.0,255.1,247.6,4.0,30.2,30.1,28.8,17.8,17.2,0.6,1369.8,1321.4,48.4,1396.1,1346.8,49.3
Lebanon,4,4,55.0,82.4,1991.8,1991.8,1993.0,1992.8,1842.7,1861.4,1808.4,1799.3,342.5,382.2,349.0,349.6,62.5,150.2,131.7,117.7,10.3,8.2,2.1,782.5,624.1,158.3,797.5,636.1,161.4
Indonesia,4,4,777.1,1399.9,2009.2,2009.2,2010.2,2010.2,3722.8,3771.2,3768.6,3762.3,313.0,321.8,325.7,325.5,10.0,9.0,9.9,10.1,56.0,55.6,0.4,4338.6,4305.5,33.1,4421.9,4388.1,33.8
South Africa,4,3,175.8,269.5,2004.5,2005.3,2003.4,2003.0,3636.8,5082.7,2982.1,2823.1,341.0,382.7,404.3,379.4,24.0,30.0,48.7,51.3,47.2,46.4,0.8,3566.4,3509.2,57.2,3634.9,3576.6,58.3
Bahrain,3,3,355.4,615.5,2002.7,2002.7,1998.5,1998.4,1845.1,4409.4,4220.9,4304.5,197.0,451.0,760.6,769.4,35.0,33.3,25.5,25.2,34.5,31.6,3.0,2674.9,2444.0,230.9,2726.3,2490.9,235.4
Cyprus,2,2,54.7,92.3,2004.5,2004.5,2009.4,2010.0,1876.6,1876.6,1533.2,1508.0,329.0,329.0,215.0,200.8,19.5,19.5,12.7,11.9,6.3,6.2,0.1,483.6,475.2,8.4,492.9,484.3,8.5
