alpha-3,country-code,Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop,ene_tj_pc,ene_tj_voy_pc,ene_tj_stop_pc,co2e_t_pc,co2e_t_voy_pc,co2e_t_stop_pc
VNM,704,Int. Dep. Inventory,13662.0,4029.0,386619.3,516070.0,2006.2,2007.4,2008.4,2008.5,815.7,1520.7,1322.2,1385.8,74.0,175.3,254.2,279.6,16.0,73.8,64.8,71.5,51995.0,46768.8,5226.3,4007904.6,3609258.7,398645.8,4084856.3,3678556.5,406299.8,0.5529992068058881,0.5751720521242478,0.41116582342912755,0.5602101697570708,0.5833391872772163,0.4122292657726348
VNM,704,Domestic Inventory,8315.0,1221.0,73296.8,107126.9,2003.4,2005.7,2004.0,2004.1,721.7,1110.5,1023.0,1138.1,69.0,178.9,432.0,463.0,23.0,106.7,181.3,199.2,16007.9,11837.6,4170.3,1223884.2,907018.8,316865.5,1247382.8,924433.5,322949.3,0.17025398601073133,0.14558117129851517,0.3280877166344241,0.17107003987877134,0.1465950805925728,0.32766236365557244
PAN,591,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
PAN,591,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
PAN,591,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
PAN,591,Int. Arr. Inventory,4487.0,2481.0,391309.7,528539.2,2006.7,2007.5,2010.2,2010.2,1447.7,2835.7,2461.5,2404.5,130.0,276.8,373.3,377.2,39.0,74.3,116.3,105.1,48438.2,41564.8,6873.4,3696465.5,3178228.6,518237.0,3767437.7,3239250.6,528187.1,0.5151704236773722,0.5111722197733091,0.5407472151919647,0.5166783745773844,0.5136748103206341,0.5358953669767429
PAN,591,Int. Dep. Inventory,4512.0,2494.0,382366.1,532765.0,2006.6,2007.5,2009.8,2009.8,1433.1,2579.7,2399.9,2411.7,129.5,260.1,418.4,438.2,39.0,99.7,61.5,68.6,48698.1,43252.9,5445.2,3722040.2,3306954.4,415085.8,3793503.3,3370447.9,423055.5,0.5179346220396926,0.5319328110476403,0.42838722265011286,0.5202530937666052,0.5344798533735177,0.4292294954269603
PAN,591,Domestic Inventory,1304.0,279.0,3943.7,5463.7,2002.6,2002.8,2004.8,2004.6,198.5,765.0,407.3,400.8,133.5,273.1,758.2,719.6,60.0,168.7,189.7,184.3,3328.8,2161.1,1167.7,252048.9,163599.4,88449.5,256888.2,166740.5,90147.8,0.035403861133098194,0.026577639833515333,0.0918658194168326,0.03523046383065871,0.026441422812507213,0.09146340068348133
TGO,768,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
TGO,768,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
