Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Barcelona,4617,1426,232220.1,195204.8,2004.7,2006.1,2008.7,2009.1,404.5,1476.5,1120.5,1511.8,32.0,119.9,236.6,271.4,14.0,43.5,30.0,39.1,29531.3,26829.7,2701.6,2226151.8,2018910.5,207241.3,2268893.9,2057673.6,211220.3
Algeciras,3072,1208,366163.3,436596.3,2007.2,2007.3,2010.6,2010.3,1437.5,2123.7,2715.5,2640.2,119.0,194.9,292.7,296.6,17.0,27.9,21.8,21.9,40021.3,38650.8,1370.5,3082849.7,2977427.0,105422.8,3142040.4,3034593.6,107446.9
Valencia,2616,744,141143.4,143545.7,2004.0,2005.7,2006.6,2006.8,582.5,1309.0,1212.2,1278.3,44.0,101.0,162.6,170.2,23.0,39.2,29.9,32.0,17268.0,16220.6,1047.4,1334547.8,1254010.6,80537.2,1360171.1,1278087.6,82083.5
Ceuta,1994,1319,49725.5,80739.0,2005.6,2005.9,2009.2,2009.5,1438.6,1851.4,2267.1,2328.5,145.0,195.0,338.7,343.1,5.0,11.6,16.9,16.9,6775.0,6576.5,198.5,521083.0,505956.8,15126.2,531087.8,515671.2,15416.7
Las Palmas,1972,1166,146108.9,199580.7,2003.2,2004.9,2008.8,2009.2,1866.2,3024.3,2566.1,2588.9,188.5,411.9,520.6,476.5,15.0,79.6,45.6,31.3,19932.3,18910.7,1021.6,1508963.4,1430886.5,78076.8,1537935.5,1458359.5,79575.9
Bilbao,1292,697,57749.6,84394.3,2006.4,2007.6,2008.4,2009.0,767.3,1603.4,2295.7,2664.3,64.0,157.2,366.8,382.0,25.0,53.7,43.6,48.0,7565.1,6657.1,908.0,553086.7,483449.4,69637.2,563705.9,492731.7,70974.3
Huelva,1207,791,70288.5,105466.1,2008.0,2008.0,2009.7,2010.0,1221.2,2279.2,2935.4,2971.9,110.0,204.6,378.6,389.9,42.0,59.8,61.3,66.1,8420.8,7373.4,1047.4,623215.7,543466.6,79749.1,635181.5,553901.2,81280.3
Santander,1172,507,20036.9,13000.4,2005.5,2005.9,2007.4,2008.5,689.1,1022.8,809.4,1066.9,55.0,110.4,107.4,184.5,18.0,57.2,37.7,64.5,3093.5,2635.5,458.0,236186.1,201340.0,34846.1,240720.9,205205.7,35515.2
Cartagena,1157,714,56416.4,86771.6,2001.3,2004.8,2007.9,2009.1,1005.2,1596.9,2106.7,2473.0,105.0,152.1,330.0,358.4,36.0,56.3,58.6,59.8,6932.0,5878.1,1053.9,523587.9,442512.3,81075.6,533640.8,451008.5,82632.3
San Cristobal,1137,954,125670.6,223819.1,2008.9,2009.0,2010.7,2010.9,2775.1,3150.5,3497.7,3578.4,268.0,322.1,538.3,549.9,8.0,16.5,12.2,11.9,10416.2,10296.0,120.3,805256.5,796114.2,9142.3,820717.5,811399.6,9317.8
Tarragona,852,621,40449.1,63225.8,2004.8,2005.8,2008.7,2009.2,1416.1,2010.1,2165.1,2431.8,118.0,177.6,337.8,357.6,43.0,86.1,94.8,97.0,5328.8,4329.8,998.9,410942.3,334079.7,76862.6,418832.4,340494.1,78338.3
Palmones,754,603,59653.0,102767.2,2007.8,2007.6,2009.7,2009.7,1501.1,2158.1,2881.2,2968.6,150.0,227.3,428.1,442.1,32.0,49.0,60.4,63.8,6515.4,5643.1,872.3,497542.1,430293.3,67248.8,507094.9,438554.9,68540.0
Vigo,752,280,25603.9,14644.5,2002.5,2002.8,2006.3,2006.6,709.2,2388.8,1372.3,1408.7,55.0,278.2,293.5,353.6,10.0,90.9,16.0,18.5,3091.1,2907.1,184.0,237620.7,223638.0,13982.7,242183.0,227931.8,14251.1
Castellon,674,383,19839.4,32383.2,2002.7,2005.2,2008.3,2008.6,936.4,1597.0,1775.7,1950.2,84.0,147.7,280.2,295.5,38.0,74.3,117.1,126.1,2992.9,2262.5,730.4,230834.2,174552.2,56282.0,235266.2,177903.6,57362.6
