Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Miscellaneous - fishing,37,1,2.5,1.9,2007.0,2007.0,2007.0,2007.0,144.1,144.1,183.3,183.3,20.0,20.0,85.3,85.3,17.0,17.0,58.0,58.0,7.4,4.3,3.0,554.1,325.4,228.7,564.7,331.6,233.1
General cargo,24,16,15.5,22.5,1986.6,1986.7,1987.2,1987.3,132.8,348.7,289.9,303.6,16.0,35.7,70.1,72.2,67.5,134.7,180.5,182.4,5.9,2.9,3.1,445.7,215.7,230.0,454.2,219.8,234.4
Ferry-RoPax,11,4,40.0,6.3,1969.8,1971.8,1972.7,1971.1,461.9,696.6,537.3,539.8,28.0,40.4,38.7,42.1,5.0,117.2,136.0,105.0,20.5,10.4,10.1,1557.7,796.0,761.7,1587.6,811.2,776.4
Cruise,4,3,4.7,0.9,1979.8,1971.7,1976.9,1975.2,97.4,213.8,358.3,315.7,12.5,20.2,34.2,33.1,5.5,6.3,4.9,4.9,2.0,1.4,0.6,150.0,108.7,41.4,152.9,110.7,42.2
Bulk carrier,2,2,4.7,7.7,1989.5,1989.5,1994.3,1995.3,355.3,355.3,335.4,332.8,24.0,24.0,23.7,23.7,12.5,12.5,10.5,10.0,0.8,0.5,0.2,58.3,40.8,17.5,59.4,41.6,17.8
Service - tug,2,2,1.3,1.1,1988.0,1988.0,1988.4,1988.4,2892.2,2892.2,2576.5,2695.8,225.0,225.0,272.1,280.8,69.5,69.5,86.8,90.0,3.9,3.0,0.9,289.8,223.7,66.1,295.4,228.0,67.4
Container,2,2,10.8,14.2,1990.0,1990.0,1984.3,1984.4,519.0,519.0,686.1,678.0,31.0,31.0,54.6,54.5,141.0,141.0,269.2,268.9,5.2,1.4,3.7,390.7,109.6,281.1,398.2,111.7,286.5
Chemical tanker,2,2,2.1,3.0,1990.5,1990.5,1991.5,1991.6,355.6,355.6,345.5,344.9,32.0,32.0,27.9,27.6,132.5,132.5,96.4,93.6,3.1,0.5,2.6,232.2,40.2,192.0,236.7,41.0,195.7
Liquefied gas tanker,2,2,1.9,2.2,2006.0,2006.0,2007.4,2007.4,88.3,88.3,86.9,87.0,8.0,8.0,8.0,8.0,37.0,37.0,30.9,31.1,1.5,0.3,1.1,110.2,24.4,85.8,112.3,24.9,87.4
Service - other,1,1,2.5,0.8,2003.0,2003.0,2003.0,2003.0,653.6,653.6,653.6,653.6,44.0,44.0,44.0,44.0,42.0,42.0,42.0,42.0,0.5,0.3,0.2,38.2,19.5,18.6,38.9,19.9,19.0
Oil tanker,1,1,0.5,0.7,2010.0,2010.0,2010.0,2010.0,106.7,106.7,106.7,106.7,9.0,9.0,9.0,9.0,40.0,40.0,40.0,40.0,0.6,0.1,0.4,43.8,10.9,32.9,44.6,11.1,33.5
