Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Sfax,258,97,220.9,277.9,1998.5,1998.3,2004.3,2003.5,148.6,427.8,263.8,256.8,14.0,57.9,209.6,170.0,38.0,83.3,96.2,92.3,108.1,61.3,46.8,8165.1,4645.4,3519.8,8321.9,4734.5,3587.4
Ashtart Oil Terminal,162,25,183.6,228.8,1998.3,1997.0,2006.3,2005.9,152.5,402.8,404.3,414.3,34.0,87.9,201.2,178.5,32.0,126.3,198.3,188.7,82.0,36.8,45.2,6195.0,2781.5,3413.5,6313.9,2834.9,3479.1
Sousse,119,75,183.0,229.9,1998.9,1999.4,2000.2,2000.1,220.9,358.2,254.9,254.7,22.0,82.0,91.7,73.3,59.0,93.0,91.3,86.4,96.7,46.3,50.5,7327.2,3524.1,3803.1,7467.9,3591.8,3876.2
Bizerte,77,67,254.9,385.7,2000.6,2000.5,2000.3,1999.5,320.0,390.0,412.2,428.6,31.0,129.5,86.4,73.4,65.0,91.5,124.4,130.4,94.4,44.1,50.3,7194.3,3370.5,3823.7,7332.4,3435.2,3897.2
Didon Terminal,74,20,86.3,105.9,1998.6,1999.0,2000.1,1996.2,314.3,370.8,352.3,309.3,80.0,127.6,288.5,282.7,12.0,32.4,41.2,35.6,34.8,23.8,11.0,2632.7,1793.9,838.8,2683.3,1828.3,854.9
Zarzis,66,17,49.2,28.5,1999.8,2003.2,1999.6,2001.4,100.8,185.5,228.0,206.2,15.0,23.9,34.6,45.4,15.5,46.0,31.6,43.1,21.2,16.4,4.8,1612.1,1248.5,363.6,1643.1,1272.5,370.6
Rades,39,28,48.1,60.0,1998.8,1997.7,2003.2,2002.5,298.8,279.7,204.7,267.2,34.0,75.9,44.9,43.0,34.0,108.4,81.3,64.0,45.8,14.6,31.2,3502.9,1111.1,2391.8,3570.2,1132.5,2437.7
Gabes,34,26,75.4,110.6,2005.4,2004.7,2007.4,2007.0,303.6,273.5,295.4,300.4,31.5,45.6,59.2,61.6,18.0,49.5,36.6,35.7,23.0,15.0,8.0,1746.4,1145.5,600.9,1780.0,1167.5,612.4
La Goulette,28,22,200.3,167.3,2004.0,2004.1,2003.0,2005.9,326.5,431.1,425.0,367.3,28.0,89.7,50.8,37.6,27.0,157.8,40.0,28.3,100.0,56.5,43.6,7602.1,4315.7,3286.3,7748.0,4398.6,3349.4
Kelibia,26,22,44.5,57.8,1991.1,1993.9,2000.4,2000.7,142.1,331.0,387.1,378.3,22.0,32.1,51.4,51.4,30.5,47.2,99.7,94.5,13.5,7.4,6.2,1032.6,565.8,466.8,1052.4,576.7,475.8
Skhira,23,21,269.8,475.2,2004.6,2004.7,2007.2,2007.3,350.1,571.8,351.0,351.8,29.0,319.0,68.1,46.8,54.0,104.5,69.4,66.3,75.7,32.0,43.7,5844.0,2467.5,3376.5,5956.2,2514.9,3441.3
Al Marsa,16,13,24.7,35.4,2000.6,2000.3,2006.1,2005.7,91.5,181.2,153.4,257.2,18.0,68.2,65.3,67.4,17.5,107.4,102.1,102.2,13.3,5.2,8.1,1010.7,399.6,611.1,1030.1,407.3,622.8
Menzel Bourguiba,15,13,76.3,72.9,1998.9,1999.8,2011.7,2011.4,198.0,3510.9,592.5,766.6,30.0,56.1,256.5,238.3,24.0,436.2,2624.2,2396.0,44.7,8.2,36.4,3367.2,627.8,2739.5,3431.9,639.8,2792.1
Tabarka,10,9,78.0,107.2,2001.2,2001.1,2004.2,2004.8,327.4,539.8,588.2,596.5,22.5,33.9,64.2,66.8,23.5,27.8,34.1,35.5,13.2,8.5,4.8,1019.0,652.6,366.3,1038.6,665.2,373.4
Tazerka Oil Terminal,10,9,31.2,43.2,1983.5,1984.7,1990.5,1990.6,196.3,450.3,354.7,347.3,21.0,102.6,37.2,36.0,40.5,78.2,62.6,66.9,10.0,5.1,4.9,761.3,385.7,375.6,775.9,393.1,382.8
Al Hammamat,8,6,2.9,2.4,2005.4,2005.8,2008.9,2008.9,421.1,393.4,464.0,417.2,82.5,240.7,389.9,365.8,7.0,136.4,169.9,132.5,6.4,3.3,3.0,477.4,251.0,226.5,486.6,255.8,230.8
Mahdia,7,5,2.0,2.8,1989.1,1992.8,1995.6,1994.9,543.1,729.5,298.5,285.7,43.0,86.6,71.9,76.7,90.0,137.4,123.1,122.4,3.5,1.6,1.9,262.8,123.2,139.6,267.8,125.6,142.3
Tunis,5,2,0.5,1.3,1994.8,1993.0,1996.3,1992.8,242.1,385.2,280.2,322.6,111.0,303.5,368.8,505.1,33.0,32.0,29.1,23.5,2.5,2.2,0.3,190.7,168.9,21.8,194.3,172.1,22.2
