Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
General cargo,1089,582,5464.9,7778.3,1998.9,1999.7,2002.6,2002.7,853.0,1018.8,1033.1,1037.6,96.0,123.2,175.3,175.5,34.0,55.6,64.1,64.3,1367.3,1158.6,208.8,104420.4,88670.3,15750.1,106425.3,90372.7,16052.5
Ferry-RoPax,702,24,11732.8,2059.9,2000.2,1998.3,2001.3,2000.5,460.3,516.8,517.6,485.9,23.5,26.4,28.5,27.3,8.0,19.3,33.9,30.8,2894.7,2277.4,617.2,223077.0,175833.0,47244.0,227360.1,179209.0,48151.1
Ro-Ro,609,28,6232.5,3662.6,1998.3,1999.9,2000.1,1999.4,471.8,588.3,526.5,525.9,32.0,84.8,42.8,42.7,12.0,28.0,22.7,23.4,1369.4,1111.8,257.6,106020.9,86069.8,19951.1,108056.5,87722.4,20334.2
Chemical tanker,356,251,5807.1,9373.3,2006.4,2007.4,2008.5,2008.5,756.6,1060.2,974.9,980.7,73.5,107.4,209.0,211.5,34.0,51.4,57.5,57.1,1196.3,867.5,328.8,92215.4,66961.4,25253.9,93985.9,68247.1,25738.8
Container,350,96,2459.5,2993.3,2001.1,2001.5,2002.4,2002.2,562.7,668.3,688.3,686.3,61.0,73.5,96.6,96.7,23.5,32.2,38.2,38.3,660.8,511.3,149.4,50488.5,39206.5,11282.0,51457.9,39959.3,11498.6
Bulk carrier,338,283,7993.8,13057.7,2005.9,2006.5,2007.7,2007.7,1002.6,1183.8,1195.6,1194.4,93.0,134.8,200.8,201.2,15.0,67.3,77.9,77.3,847.3,767.2,80.0,65386.0,59279.1,6106.9,66641.4,60417.3,6224.2
Oil tanker,132,78,4799.3,8615.7,2008.7,2008.2,2008.4,2008.4,703.3,1015.4,1050.0,1064.1,57.5,98.5,213.9,216.3,31.0,46.4,49.1,48.8,614.1,410.5,203.6,47379.6,31742.6,15637.0,48289.3,32352.1,15937.2
Liquefied gas tanker,125,35,1003.1,1066.0,2008.8,2009.7,2010.0,2010.1,710.7,758.3,824.7,814.2,64.0,70.3,102.0,100.3,24.0,31.1,40.5,39.6,273.7,210.3,63.4,20598.7,15833.2,4765.4,20994.2,16137.2,4856.9
Service - tug,78,32,66.6,55.5,2003.4,1997.2,2005.2,2005.0,404.8,754.6,710.3,714.1,110.0,250.8,692.0,687.7,9.5,264.5,206.2,194.9,55.7,41.4,14.3,4182.3,3108.6,1073.6,4262.6,3168.3,1094.2
Vehicle,76,46,3052.0,990.0,2009.0,2008.2,2009.4,2009.3,706.6,948.2,862.9,877.5,47.0,63.8,85.4,86.3,10.0,19.8,19.9,20.6,190.1,176.1,14.0,14689.8,13611.1,1078.7,14971.8,13872.5,1099.4
Miscellaneous - fishing,52,13,34.5,55.2,1988.8,1995.5,1987.6,1988.6,500.7,1043.6,1656.2,2085.5,46.5,137.8,177.0,201.9,40.0,162.8,459.0,535.8,42.2,21.2,21.0,3171.7,1594.2,1577.5,3232.6,1624.9,1607.8
Refrigerated bulk,28,20,147.8,167.8,1994.4,1993.3,1991.9,1991.8,667.2,784.7,837.0,849.4,70.0,74.0,120.2,121.1,58.0,69.7,82.0,79.9,96.3,62.3,34.0,7296.6,4741.1,2555.5,7436.7,4832.1,2604.6
Offshore,16,14,71.9,104.0,2007.8,2007.0,1987.0,1980.3,729.0,1211.1,869.7,941.1,174.5,773.8,2713.3,3173.7,36.0,116.6,76.5,61.8,45.5,39.9,5.6,3423.0,3004.2,418.7,3488.7,3061.9,426.8
Service - other,15,6,15.8,15.6,1980.5,1986.7,1987.3,1984.4,791.5,1372.9,760.5,673.3,109.0,259.5,190.9,243.9,20.0,58.7,44.3,35.2,13.1,11.1,2.0,982.7,832.5,150.2,1001.6,848.5,153.1
Ferry-pax only,2,2,0.3,0.1,2000.0,2000.0,2011.7,2011.9,369.2,369.2,364.8,535.2,46.0,46.0,81.0,81.6,16.0,16.0,1.4,1.2,0.2,0.1,0.0,14.1,10.4,3.7,14.4,10.6,3.8
