Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Sfax,245,77,415.4,530.6,1999.0,2000.5,2003.3,2001.6,202.2,953.5,430.2,424.2,27.0,53.7,160.5,141.2,35.0,160.7,625.8,480.6,173.0,67.8,105.2,13089.2,5155.7,7933.5,13340.5,5254.7,8085.9
Ashtart Oil Terminal,166,29,133.5,185.4,1999.0,2000.6,2007.5,2007.0,96.7,451.8,283.3,296.6,10.0,195.3,158.0,129.6,29.0,59.9,83.5,66.7,51.0,29.7,21.2,3843.2,2245.2,1598.0,3917.0,2288.3,1628.6
Zarzis,122,57,324.3,341.2,2000.0,2000.2,2003.1,2004.2,317.0,375.3,476.5,379.4,32.5,57.6,84.1,68.8,20.0,56.6,35.0,41.0,93.9,67.8,26.0,7184.7,5194.6,1990.1,7322.6,5294.3,2028.3
Sousse,92,70,154.5,199.5,1999.7,1999.8,2001.3,2000.8,190.5,567.2,296.1,283.7,18.0,85.2,327.9,279.0,59.0,96.7,106.6,105.8,85.8,45.3,40.5,6487.2,3441.1,3046.0,6611.7,3507.2,3104.5
Bizerte,74,62,382.7,612.5,1999.7,2000.2,2004.2,2004.5,282.7,369.8,349.3,359.5,26.0,63.5,66.2,67.6,60.0,108.0,69.6,68.1,121.9,48.2,73.7,9327.2,3702.5,5624.7,9506.3,3773.6,5732.7
Didon Terminal,63,15,31.7,42.8,1997.3,1998.3,1994.8,1995.5,98.8,537.4,254.5,304.2,15.0,115.2,79.3,74.3,16.0,108.5,65.6,67.9,18.3,10.9,7.4,1387.4,822.4,565.0,1414.1,838.2,575.9
Gabes,54,47,91.2,126.5,1997.9,1997.5,2001.9,2001.0,307.1,325.9,339.6,336.7,26.0,43.8,60.1,65.5,42.0,65.7,65.7,65.1,33.7,16.8,16.9,2556.5,1280.5,1276.0,2605.6,1305.1,1300.5
Rades,48,35,63.0,62.2,2003.0,2002.1,2005.5,2006.2,176.8,174.9,129.7,162.2,37.5,96.3,64.7,64.2,21.0,81.9,50.6,53.3,69.7,41.1,28.7,5262.0,3106.1,2155.9,5363.0,3165.7,2197.3
Kelibia,19,17,33.9,44.0,1992.2,1993.2,2003.2,2003.2,195.2,318.4,424.7,422.1,21.0,38.4,27.8,27.9,14.0,21.6,27.9,27.6,8.4,5.1,3.3,643.4,388.5,254.9,655.8,396.0,259.8
La Goulette,18,15,38.5,15.4,1998.8,1998.8,2001.0,2004.9,80.7,147.2,157.3,101.6,37.5,65.1,24.5,42.2,38.0,91.5,45.4,80.2,23.9,12.7,11.2,1815.4,971.1,844.2,1850.2,989.8,860.4
