Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Ferry-RoPax,11908,77,76310.6,14442.2,1995.8,1994.7,1996.2,1996.4,138.2,279.2,198.3,185.4,10.0,27.5,109.2,68.6,2.0,25.9,14.1,14.8,15420.6,12816.5,2604.0,1152429.3,957279.2,195150.1,1174555.9,975659.0,198897.0
General cargo,8188,1306,23418.0,32752.2,1999.8,2001.6,2004.1,2004.2,479.2,743.6,766.2,759.3,49.5,80.6,172.2,168.3,21.0,32.2,38.0,38.2,6278.6,5550.3,728.3,473153.0,418418.3,54734.7,482237.5,426451.9,55785.6
Chemical tanker,3181,631,21843.9,34022.4,2005.7,2007.5,2008.2,2008.2,501.8,742.0,728.6,746.1,50.0,82.6,152.5,156.7,16.0,23.5,26.1,26.3,5773.0,4616.5,1156.5,431928.3,344917.4,87010.8,440221.3,351539.8,88681.5
Ro-Ro,1632,54,19031.0,9293.6,1999.8,2000.3,2001.9,2001.4,527.0,501.3,467.5,474.5,32.0,39.1,34.2,35.7,8.0,14.2,12.2,12.6,3764.4,3497.1,267.3,282705.2,262636.4,20068.8,288133.1,267679.0,20454.1
Container,1547,165,14154.2,15859.8,2005.5,2006.4,2007.5,2007.1,453.4,508.1,501.9,500.2,39.0,43.4,60.6,61.1,13.0,16.2,21.2,20.3,2699.0,2422.0,277.0,202734.9,181934.1,20800.8,206627.4,185427.3,21200.1
Oil tanker,1063,297,33970.0,61228.3,2004.0,2007.8,2008.9,2008.9,324.7,1372.3,1327.8,1370.9,43.0,148.5,318.9,326.2,16.0,30.0,28.1,28.2,4144.0,3245.3,898.7,314131.4,246583.1,67548.3,320162.8,251317.5,68845.3
Bulk carrier,802,487,24001.8,41705.2,2007.2,2009.1,2010.9,2011.0,578.8,1310.0,1343.0,1367.3,56.5,134.2,365.4,372.1,8.0,34.3,32.1,32.5,2296.0,2193.5,102.5,174441.9,166738.8,7703.1,177791.2,169940.2,7851.0
Service - tug,678,106,101.2,52.3,1990.0,1990.7,1992.5,1994.0,149.0,458.6,215.7,239.4,24.5,182.6,94.3,107.9,14.0,195.4,280.4,378.3,250.6,197.2,53.4,18815.5,14809.8,4005.7,19176.7,15094.1,4082.6
Cruise,667,85,8901.4,935.1,2002.7,1996.6,2006.8,2005.5,160.7,312.1,272.3,264.6,14.0,24.2,30.1,30.3,4.0,28.4,11.8,11.7,2299.5,1862.6,436.9,172667.3,139860.6,32806.7,175982.5,142545.9,33436.6
Vehicle,646,140,15540.0,5454.1,2004.1,2006.6,2007.6,2007.5,543.9,862.6,732.5,735.4,40.0,63.4,119.6,120.6,14.0,23.7,25.7,26.0,1358.9,1195.2,163.7,101419.0,89131.2,12287.8,103366.2,90842.5,12523.7
Liquefied gas tanker,642,107,7701.9,7501.0,2006.0,2009.1,2010.6,2010.5,561.6,1109.3,1202.2,1149.8,48.0,90.4,292.0,279.5,17.0,30.9,26.9,27.7,1428.5,1212.2,216.2,104531.2,88278.9,16252.3,106538.2,89973.9,16564.4
Miscellaneous - fishing,503,89,201.7,153.0,1989.5,1987.9,1993.6,1997.0,213.0,548.9,688.0,586.4,36.0,133.9,876.6,662.3,13.0,38.6,41.5,45.6,265.1,192.2,72.8,19913.1,14446.8,5466.3,20295.4,14724.2,5571.3
Service - other,173,70,213.7,152.1,1992.9,1993.1,2000.7,2002.4,254.8,669.6,433.2,441.9,39.0,274.9,240.1,205.3,14.0,139.2,170.1,166.3,192.3,147.2,45.1,14335.4,10951.7,3383.7,14610.7,11162.0,3448.7
Offshore,95,41,215.7,159.7,2002.3,2002.8,2009.6,2008.7,268.6,534.1,557.7,558.6,53.0,254.7,381.8,434.8,17.0,87.1,140.0,137.0,130.5,108.2,22.3,9779.5,8106.8,1672.8,9967.3,8262.4,1704.9
Refrigerated bulk,64,42,647.7,698.6,1995.3,1994.4,1997.2,1996.6,771.5,982.7,1214.6,1262.9,57.0,90.8,201.6,210.6,7.5,64.4,42.5,40.3,308.5,240.3,68.2,23251.2,18128.5,5122.7,23697.6,18476.5,5221.1
Ferry-pax only,14,8,1.6,0.5,1961.6,1964.0,1975.9,1962.0,301.2,474.2,571.2,321.0,136.0,345.1,1121.2,857.4,14.5,31.5,61.3,48.6,12.6,11.1,1.5,946.1,832.6,113.5,964.3,848.5,115.7
Other liquids tankers,3,1,47.8,67.9,2016.0,2016.0,2016.0,2016.0,583.5,583.5,577.3,577.3,57.0,57.0,93.1,93.1,9.0,9.0,40.1,40.1,8.6,6.1,2.5,652.6,467.4,185.1,665.1,476.4,188.7
