Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
United Arab Emirates,1379,602,50756.0,87796.3,2004.2,2007.2,2006.0,2005.9,578.7,858.1,954.7,1009.3,54.0,96.1,467.4,507.2,34.0,92.9,47.5,46.6,4385.3,3566.8,818.5,337273.2,274198.5,63074.7,343748.8,279463.1,64285.7
Iran (Islamic Republic of),470,208,4527.7,7445.0,1997.0,2001.7,2006.0,2006.4,360.3,738.9,756.2,820.2,37.0,121.5,260.9,305.0,55.0,107.2,98.0,104.8,651.4,408.9,242.5,49685.8,31287.9,18397.9,50639.8,31888.6,18751.2
Saudi Arabia,358,280,7115.6,12130.9,2007.8,2008.2,2009.2,2009.2,275.6,443.3,369.6,365.0,25.0,64.1,54.9,52.9,40.0,68.3,72.8,75.3,762.1,435.0,327.2,58831.2,33575.3,25255.9,59960.7,34220.0,25740.8
Qatar,326,184,5201.2,5415.5,2007.6,2007.7,2007.4,2007.4,397.6,495.4,407.2,398.0,37.0,56.4,44.9,51.6,23.5,51.7,48.1,54.2,760.1,440.8,319.4,58246.9,33712.6,24534.3,59365.3,34359.9,25005.4
Iraq,314,122,3728.4,6439.9,2003.2,2001.6,2006.7,2006.8,146.4,980.9,883.4,1104.3,14.0,140.7,680.7,734.9,21.0,103.8,96.7,97.5,419.9,281.9,138.0,32205.1,21667.8,10537.3,32823.4,22083.8,10739.7
India,164,114,17822.9,25644.3,2005.5,2005.7,2005.6,2005.1,1585.2,1974.9,1818.8,1815.6,146.0,185.9,183.2,186.6,37.0,52.3,59.7,69.7,1459.4,1273.6,185.8,112868.7,98551.0,14317.7,115035.8,100443.2,14592.6
Singapore,126,111,25969.2,35469.6,2009.0,2009.1,2008.6,2009.3,3930.7,4078.3,4231.0,4305.1,299.5,329.6,384.3,405.0,11.0,23.9,42.8,56.6,2307.1,2164.5,142.6,177806.8,166763.3,11043.5,181220.7,169965.2,11255.5
China,111,68,76606.6,140336.4,2009.5,2009.3,2009.9,2010.0,6062.1,5616.6,6125.1,6136.6,485.0,452.7,525.7,530.0,55.0,63.0,80.4,82.1,5603.1,5222.4,380.7,434008.5,404519.9,29488.7,442341.5,412286.7,30054.9
Bahrain,91,54,877.2,1124.2,2006.0,2006.5,2005.5,2005.4,297.2,419.7,393.8,402.5,26.0,68.5,77.1,88.5,27.0,109.5,86.0,87.4,150.7,103.7,47.0,11603.5,8006.4,3597.1,11826.3,8160.2,3666.2
Japan,67,57,55668.9,98690.1,2009.3,2009.3,2008.9,2008.7,6827.3,6827.4,6803.4,6798.4,506.0,518.0,522.7,527.9,26.0,31.8,30.0,30.2,3682.3,3521.3,161.0,285244.1,272770.8,12473.3,290720.8,278008.0,12712.8
"Korea, Republic of",63,52,56461.5,104974.3,2008.8,2009.3,2009.3,2009.6,6696.5,6793.4,6782.4,6811.7,534.0,542.0,562.2,565.9,38.0,49.5,46.3,46.6,3407.5,3258.0,149.5,263945.7,252366.0,11579.8,269013.5,257211.4,11802.1
Pakistan,54,31,2751.8,3981.2,2009.3,2008.3,2009.2,2008.9,1419.8,1619.8,1655.0,1747.3,135.5,192.7,275.9,304.9,39.5,94.4,98.6,113.7,386.8,314.0,72.8,29879.2,24272.8,5606.4,30452.9,24738.9,5714.0
Oman,49,37,2236.3,3354.5,2009.7,2010.0,2010.1,2010.4,769.3,854.9,810.8,803.5,76.0,78.3,73.0,74.6,27.0,64.9,29.7,33.5,206.3,170.2,36.1,15242.9,12507.6,2735.3,15535.5,12747.7,2787.8
Djibouti,31,23,2224.7,3646.5,2008.6,2007.3,2009.5,2009.4,2152.3,2129.2,2222.2,2229.1,202.0,215.1,228.6,230.3,59.0,72.6,75.3,76.7,365.2,293.4,71.8,28285.0,22723.5,5561.4,28828.0,23159.8,5668.2
"Taiwan, Province of China",30,22,25129.1,47487.0,2007.9,2007.4,2007.2,2007.2,5685.7,5750.9,5812.7,5816.0,478.0,488.0,490.9,491.8,35.0,43.0,37.6,37.1,1343.8,1290.1,53.8,104097.8,99933.5,4164.3,106096.5,101852.2,4244.3
Egypt,30,22,8947.1,15871.0,2007.0,2009.4,2003.4,2002.8,3333.6,3443.6,3427.0,3405.5,289.5,297.4,299.8,301.2,46.5,67.0,54.8,51.9,712.6,617.1,95.5,54166.6,46862.9,7303.7,55206.6,47762.7,7443.9
Bangladesh,28,12,3129.0,4736.8,2012.2,2009.8,2012.5,2012.4,3735.2,3677.3,3771.1,3770.6,274.5,522.5,282.5,282.6,84.0,89.8,90.5,91.0,421.1,385.1,36.0,32600.9,29811.2,2789.7,33226.8,30383.6,2843.2
Indonesia,26,25,21040.2,39389.2,2009.3,2009.7,2009.1,2009.0,6112.1,7081.4,7967.3,8128.0,611.5,600.0,791.2,801.4,26.0,145.3,309.2,317.9,1257.6,1037.7,219.9,97393.6,80367.5,17026.1,99263.6,81910.6,17353.0
Thailand,21,19,6255.7,6141.3,2012.8,2012.4,2012.9,2012.9,4665.6,4802.5,4791.6,4696.1,374.0,375.3,365.0,395.1,29.0,34.3,28.7,35.0,417.4,396.5,20.9,32330.0,30708.9,1621.0,32950.7,31298.5,1652.1
Malaysia,18,18,10328.8,18862.0,2008.9,2008.9,2009.2,2008.9,3938.4,4970.5,5578.8,5754.0,313.5,390.1,552.7,573.4,8.5,32.7,35.7,37.4,685.5,649.6,35.9,53100.9,50322.8,2778.1,54120.4,51289.0,2831.4
Sri Lanka,17,17,2005.1,2943.7,2008.5,2008.5,2007.6,2007.0,2423.0,2383.1,2439.6,2439.8,194.0,185.3,189.7,192.2,11.0,13.1,8.3,7.4,180.2,177.8,2.4,13948.4,13763.2,185.2,14216.2,14027.4,188.8
