Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,817,478,141842.6,270573.1,2008.6,2008.8,2009.3,2009.3,600.5,1188.9,1475.6,1481.6,75.0,141.0,363.7,364.6,35.0,42.8,38.8,38.6,8624.6,7587.0,1037.6,668045.9,587690.9,80355.0,680872.4,598974.6,81897.8
Bulk carrier,777,302,16385.9,28614.1,2002.1,2008.0,2003.7,2003.6,482.8,971.0,691.4,692.4,53.0,124.9,211.8,212.6,117.0,141.6,174.1,173.1,1747.8,1308.3,439.6,135243.0,101275.8,33967.2,137839.7,103220.3,34619.4
General cargo,530,221,5446.9,6483.8,1997.7,2003.5,2003.5,2007.2,419.6,931.4,1195.8,1054.1,55.0,110.0,342.9,294.8,74.0,104.5,96.0,106.3,1012.8,830.7,182.0,77617.9,63942.6,13675.3,79108.2,65170.3,13937.9
Container,471,44,5404.1,6583.4,2005.5,2001.8,2004.6,2004.7,466.5,491.1,474.9,474.6,46.0,60.7,76.1,75.1,44.0,47.5,58.4,58.5,1164.9,851.7,313.2,89570.5,65646.6,23923.9,91290.3,66907.0,24383.2
Chemical tanker,365,197,7917.5,12401.2,2009.9,2009.5,2011.9,2011.8,611.6,803.5,1101.7,1082.0,82.0,100.4,224.8,224.0,58.0,81.4,62.4,62.8,1622.2,1113.2,509.0,125042.2,86045.6,38996.6,127443.1,87697.7,39745.4
Vehicle,259,162,6754.6,2423.5,2008.0,2007.7,2007.4,2006.5,295.0,415.0,438.7,468.0,27.0,35.2,88.1,102.1,9.0,10.8,15.9,18.5,432.3,398.7,33.6,33488.9,30887.9,2601.1,34131.9,31480.9,2651.0
Service - tug,233,77,47.6,39.6,2003.5,2002.6,2002.5,2001.0,286.4,881.3,482.3,548.1,127.0,479.1,1252.6,1431.7,24.0,226.8,331.8,380.3,141.1,107.9,33.2,10595.7,8105.1,2490.5,10799.1,8260.7,2538.4
Liquefied gas tanker,162,112,31210.9,30166.1,2007.7,2008.4,2010.0,2009.6,1540.3,2998.1,2930.0,2869.7,222.0,240.3,430.8,415.3,43.0,55.6,67.7,70.9,3832.2,3526.0,306.2,259938.5,236232.9,23705.7,264929.4,240768.5,24160.8
Ro-Ro,108,27,398.9,274.5,2007.6,2006.2,1990.3,1990.1,295.8,966.0,1669.3,1364.2,63.0,143.1,389.1,378.6,28.0,57.6,83.5,92.7,194.9,134.1,60.8,14795.7,10217.5,4578.1,15079.7,10413.7,4666.0
Offshore,79,21,1488.7,2683.5,2012.0,2008.1,2002.8,2002.3,211.3,1841.1,2434.7,2973.1,63.0,751.9,403.0,402.4,3.0,439.6,280.3,149.0,140.5,112.7,27.8,10634.8,8546.6,2088.2,10839.0,8710.7,2128.3
Ferry-pax only,57,2,29.1,2.8,1992.6,1982.5,1991.0,1990.0,426.7,1100.0,819.0,845.1,7.0,649.5,140.1,205.7,19.0,23.5,87.3,83.9,34.1,13.8,20.3,2562.3,1036.5,1525.8,2611.5,1056.4,1555.1
Refrigerated bulk,32,4,303.3,284.8,2007.0,2007.0,2006.7,2006.7,292.3,319.5,674.2,675.3,26.0,28.4,176.8,177.0,8.5,8.6,8.7,8.7,108.3,98.2,10.0,8272.7,7518.2,754.5,8431.6,7662.5,769.0
Service - other,14,9,13.9,15.4,2003.4,2003.9,2004.7,2005.3,305.3,682.5,798.1,812.0,75.5,107.7,197.6,188.1,40.5,107.3,243.8,229.7,7.3,4.5,2.8,549.6,341.2,208.3,560.1,347.8,212.3
