Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,801,470,327133.8,624542.0,2008.5,2008.7,2008.8,2008.8,1455.9,2968.2,3474.2,3491.9,162.0,259.6,551.6,552.3,37.0,57.6,76.4,76.7,21671.4,19466.1,2205.3,1678536.8,1507779.7,170757.2,1710764.8,1536729.0,174035.7
Bulk carrier,779,304,17001.4,29577.1,2002.2,2008.1,2003.0,2003.0,556.4,885.6,716.4,715.2,58.0,102.5,174.2,173.6,47.0,83.6,80.9,81.2,1497.4,1169.6,327.8,115842.9,90531.6,25311.3,118067.1,92269.8,25797.3
General cargo,521,220,4222.3,5554.7,1997.9,2003.4,2005.7,2006.4,525.5,1235.3,930.9,910.0,49.0,137.6,322.6,344.7,57.0,86.8,75.7,82.7,865.6,677.6,188.0,66171.9,51972.9,14199.0,67442.4,52970.8,14471.6
Container,470,44,5776.4,7082.4,2005.5,2001.8,2005.1,2005.0,485.6,496.7,508.3,511.1,40.5,48.2,71.8,71.4,17.0,27.2,33.7,33.7,967.0,761.2,205.8,74533.6,58746.7,15786.9,75964.6,59874.6,16090.0
Chemical tanker,363,196,13098.0,20652.8,2009.9,2009.5,2011.3,2011.2,1145.0,1632.0,1838.8,1819.1,121.0,144.0,265.1,266.1,26.0,46.0,59.0,58.6,2170.7,1869.9,300.8,167731.3,144589.2,23142.0,170951.7,147365.3,23586.4
Vehicle,253,159,28295.9,9641.4,2008.0,2007.7,2008.7,2008.1,619.4,1562.2,1881.5,1906.6,44.0,103.3,308.1,310.3,8.0,12.1,19.0,19.1,1574.1,1529.5,44.6,121921.7,118470.9,3450.8,124262.6,120745.6,3517.0
Service - tug,222,75,44.3,37.0,2003.2,2002.2,2001.7,1999.8,327.3,782.3,470.8,528.2,69.5,262.0,562.3,629.3,24.0,248.9,248.2,222.9,119.3,89.1,30.1,8954.9,6692.3,2262.6,9126.8,6820.8,2306.1
Liquefied gas tanker,162,113,26800.2,28299.1,2007.5,2008.6,2008.9,2008.7,2438.1,2869.4,2516.4,2693.2,225.5,223.5,373.2,372.0,30.5,53.2,47.0,45.8,3270.3,2957.3,313.0,239862.1,215831.4,24030.7,244467.4,219975.4,24492.1
Ro-Ro,105,28,430.0,252.5,2007.5,2005.2,2009.7,2008.9,324.0,658.9,1816.1,1272.5,44.0,76.5,267.9,249.4,55.0,70.7,85.9,84.5,149.7,87.0,62.7,11388.2,6648.2,4740.0,11606.8,6775.9,4831.0
Offshore,76,19,2125.0,3878.3,2011.9,2007.7,2002.5,2002.1,83.6,932.3,3479.0,4298.8,8.0,276.5,459.1,477.9,15.0,755.6,110.6,96.8,152.7,105.4,47.3,11656.0,8098.1,3557.9,11879.8,8253.6,3626.2
Ferry-pax only,57,2,42.8,3.9,1992.6,1982.5,1992.7,1992.6,697.7,559.7,1202.6,1179.6,15.0,57.8,79.3,79.5,34.0,63.8,63.5,63.7,49.1,27.3,21.7,3683.9,2051.4,1632.5,3754.6,2090.8,1663.9
Refrigerated bulk,32,4,140.5,131.7,2007.0,2007.0,2007.2,2007.2,196.7,270.9,312.3,312.2,13.0,13.1,20.7,20.7,64.0,64.2,62.3,62.3,98.5,33.0,65.5,7455.0,2523.0,4932.0,7598.2,2571.5,5026.7
Service - other,13,8,7.0,8.4,2004.4,2005.6,2009.3,2010.3,149.4,248.6,411.4,456.0,53.0,46.5,59.8,57.2,20.0,174.6,296.9,269.6,6.3,2.6,3.6,471.6,199.6,272.0,480.7,203.4,277.2
