Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Service - tug,372,41,49.8,47.0,2012.2,2006.8,2009.1,2009.6,89.2,805.8,362.3,507.7,89.0,483.0,1059.7,1105.2,25.5,177.6,562.7,561.7,190.4,131.1,59.4,14296.5,9840.3,4456.2,14570.9,10029.2,4541.8
Oil tanker,148,26,75.5,112.7,2008.0,2010.5,2009.1,2009.4,68.8,24.1,37.3,33.6,44.0,35.6,89.2,83.5,19.0,32.7,46.5,45.4,191.5,101.0,90.5,14602.0,7676.6,6925.4,14882.4,7824.0,7058.4
Service - other,107,7,16.9,9.7,2007.8,2011.4,2009.9,2008.3,130.5,603.5,302.1,314.7,47.0,1155.6,1015.0,662.3,24.0,193.5,195.6,134.0,74.1,56.2,17.9,5562.4,4221.1,1341.3,5669.2,4302.2,1367.0
Container,68,18,290.7,346.7,2004.6,2003.5,2007.4,2007.2,63.2,72.5,154.0,149.8,33.0,35.7,170.3,166.7,70.5,75.3,58.6,58.5,125.1,58.0,67.1,9595.5,4448.8,5146.6,9779.7,4534.2,5245.5
Offshore,42,4,5.5,5.0,1999.7,2006.0,1993.4,1984.4,268.2,511.9,330.7,246.1,86.0,138.4,1325.6,1699.5,42.5,94.0,267.1,74.7,67.5,46.1,21.4,5067.5,3462.8,1604.7,5164.8,3529.3,1635.5
Ro-Ro,17,12,9.0,13.3,2011.0,2011.3,2011.4,2010.5,463.4,641.8,670.4,684.2,119.0,108.2,190.0,182.2,57.0,76.4,112.8,131.9,22.0,11.4,10.6,1651.3,853.5,797.8,1683.0,869.9,813.1
Vehicle,10,10,30.3,10.5,2011.3,2011.3,2011.8,2011.8,53.4,52.4,53.8,54.3,16.5,20.5,20.1,19.9,5.5,7.9,8.6,8.7,3.5,2.6,0.9,271.5,205.0,66.5,276.7,208.9,67.8
General cargo,6,6,9.3,13.9,2001.8,2001.8,2001.8,2001.2,215.4,2236.0,198.0,208.0,49.0,321.3,631.8,645.0,81.5,95.3,146.0,146.4,3.9,2.4,1.4,289.9,181.4,108.6,295.5,184.9,110.6
Bulk carrier,6,6,10.6,18.7,2004.2,2004.2,2006.4,2006.6,50.5,55.7,56.7,57.2,31.0,81.7,126.6,126.4,139.0,150.0,184.6,183.9,5.4,2.4,3.0,418.7,187.5,231.3,426.8,191.1,235.7
Chemical tanker,6,6,3.4,5.6,2013.3,2013.3,2013.0,2013.0,16.4,18.8,18.7,18.9,19.5,19.8,20.6,20.9,26.0,25.3,26.5,26.3,5.9,2.2,3.7,459.4,169.2,290.2,468.2,172.5,295.7
Ferry-RoPax,1,1,1.7,0.3,1979.0,1979.0,1979.0,1979.0,3190.9,3190.9,3190.9,3190.9,165.0,165.0,165.0,165.0,359.0,359.0,359.0,359.0,1.5,0.5,1.0,110.3,34.8,75.5,112.4,35.5,76.9
