Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Oil tanker,615,72,1513.0,2374.6,2004.2,2005.6,2006.0,2006.1,258.6,686.8,395.7,397.3,38.0,74.8,147.0,143.3,29.0,120.0,380.0,404.7,957.2,368.8,588.4,71922.0,27716.5,44205.5,73302.9,28248.7,45054.2
Ferry-RoPax,355,10,1052.5,408.9,1993.1,1991.1,1989.8,1989.2,211.8,239.5,291.6,294.6,24.0,28.2,51.4,51.6,24.0,22.6,77.1,71.7,503.4,203.2,300.2,37975.9,15414.3,22561.6,38705.0,15710.3,22994.8
General cargo,290,110,476.5,587.3,1989.4,1989.7,1992.4,1992.4,461.8,555.3,591.2,589.2,72.0,108.2,169.8,161.0,58.0,95.9,266.8,273.1,123.6,84.0,39.5,9298.9,6326.2,2972.7,9477.4,6447.7,3029.7
Ro-Ro,129,7,234.6,160.6,1998.4,2001.4,1999.8,1999.9,211.5,225.0,235.2,235.4,27.0,28.6,56.4,56.3,21.0,18.7,31.4,31.5,80.8,48.2,32.6,6191.8,3695.6,2496.3,6310.7,3766.5,2544.2
Chemical tanker,69,27,156.0,223.8,2011.1,2010.0,2012.3,2012.2,513.2,473.3,485.4,485.7,68.0,69.8,72.8,72.8,22.0,27.4,58.1,62.7,81.9,47.3,34.7,6153.4,3548.7,2604.7,6271.6,3616.8,2654.8
Bulk carrier,36,10,50.9,64.5,1981.4,1981.4,1981.9,1981.9,491.0,439.8,540.3,538.9,88.0,94.0,215.4,214.4,29.0,41.4,156.3,155.0,27.0,15.9,11.0,2028.8,1199.0,829.8,2067.7,1222.0,845.7
Service - tug,23,17,48.3,42.4,2006.3,2004.4,2007.5,2006.9,285.3,1937.8,2076.5,1959.6,81.0,953.0,3872.6,3740.7,18.0,85.5,155.3,161.2,40.2,37.9,2.3,3016.5,2845.0,171.4,3074.4,2899.7,174.7
Offshore,3,2,9.0,9.4,1982.0,1988.5,2005.6,2005.4,446.5,4161.6,3656.3,3475.9,1634.0,1663.8,2238.6,2231.3,429.0,811.0,1334.3,1327.4,21.2,15.7,5.5,1592.9,1177.5,415.4,1623.4,1200.1,423.4
Service - other,3,3,17.5,5.3,1984.7,1984.7,1985.3,1984.7,2637.4,4091.0,4146.6,3793.6,2966.0,3827.7,4693.5,4559.9,442.0,823.0,663.5,501.2,29.8,25.0,4.8,2237.0,1876.5,360.5,2280.0,1912.5,367.4
Miscellaneous - fishing,3,2,7.7,3.6,1986.7,1987.0,1986.7,1986.9,1227.7,2465.0,1516.7,1620.5,800.0,846.0,831.5,839.1,3474.0,2750.2,2676.1,2761.0,17.6,5.4,12.2,1321.1,402.8,918.3,1346.4,410.5,935.9
Refrigerated bulk,2,1,6.5,6.5,1995.0,1995.0,1995.0,1995.0,886.1,886.1,886.1,886.1,286.0,286.0,432.4,432.4,76.5,76.5,121.7,121.7,9.6,7.6,1.9,719.0,573.4,145.6,732.8,584.4,148.4
Ferry-pax only,1,1,0.0,0.0,1988.0,1988.0,1988.0,1988.0,107.1,107.1,107.1,107.1,44.0,44.0,44.0,44.0,7.0,7.0,7.0,7.0,0.1,0.1,0.0,5.9,5.1,0.8,6.0,5.2,0.8
