Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Le Havre,2971,956,184110.2,227245.0,2007.2,2007.8,2009.9,2009.9,280.8,1063.4,994.4,1177.0,29.0,108.5,314.7,337.1,18.0,28.6,32.4,35.4,19897.2,18070.7,1826.6,1522944.7,1385799.4,137145.4,1552185.3,1412406.7,139778.6
Fos Sur Mer,2355,1039,98801.5,147400.4,2005.6,2007.1,2009.6,2009.8,375.3,1354.8,1038.7,1252.3,42.0,153.8,348.0,395.1,28.0,55.9,69.6,79.6,11278.9,9531.1,1747.7,848658.6,713735.0,134923.6,864952.9,727438.7,137514.2
Marseille,1530,250,27527.8,8258.3,2003.5,2005.1,2005.8,2004.4,449.9,767.6,410.8,510.8,25.0,69.4,45.0,73.8,10.0,71.3,37.4,47.2,6542.8,4774.8,1768.0,505040.0,369012.7,136027.4,514736.8,376097.7,138639.1
Dunkerque Est,1054,709,24992.9,43261.6,2004.5,2005.3,2009.9,2010.2,304.7,983.6,1635.1,1737.0,48.0,119.0,433.9,453.6,31.5,68.5,82.8,78.3,2875.4,2491.1,384.3,219464.0,190609.0,28855.0,223677.7,194268.7,29409.0
Dunkerque Ouest,1041,309,34980.1,43779.1,2006.3,2006.9,2008.5,2009.0,211.2,1185.0,963.3,1166.9,26.0,128.1,314.1,376.6,16.0,37.2,46.5,44.5,4420.7,3854.3,566.3,332525.1,290003.9,42521.3,338909.6,295571.9,43337.7
Ouistreham,932,66,5861.7,3918.3,1998.4,2002.7,2003.5,2008.4,100.6,771.5,203.0,591.8,7.0,103.8,157.6,287.6,1.0,30.4,10.8,17.5,925.0,767.9,157.1,69857.7,58061.6,11796.1,71198.9,59176.4,12022.5
Gonfreville L'Orcher,878,402,21078.0,13167.8,2005.9,2007.1,2007.5,2008.6,341.5,924.4,1042.5,1104.7,45.0,91.6,231.2,298.1,20.0,27.4,22.5,26.8,2347.9,2036.3,311.6,178923.9,155519.9,23404.0,182359.2,158505.9,23853.4
Port Jerome,668,262,2842.1,4300.2,2005.2,2006.5,2007.2,2007.4,312.7,481.4,541.1,556.6,62.5,91.4,185.2,192.3,34.0,43.5,50.4,51.0,1175.8,766.3,409.5,88585.1,57837.3,30747.8,90286.0,58947.8,31338.1
Lavera,648,383,11190.7,16285.7,2007.2,2007.8,2008.7,2008.8,694.7,1104.1,1190.1,1204.3,75.0,123.3,235.3,240.8,38.0,65.0,88.9,91.0,2786.5,1956.2,830.4,214474.2,150738.3,63735.9,218592.1,153632.5,64959.6
Sete,642,303,14384.0,9026.4,1999.9,2003.2,2003.5,2005.7,703.2,1179.5,1011.9,1379.6,56.5,114.7,176.2,284.2,27.5,76.8,65.3,114.2,2368.8,1952.2,416.6,182565.9,150646.6,31919.3,186071.2,153539.0,32532.1
Montoir,627,386,54314.3,51148.4,2006.5,2007.3,2011.5,2011.2,921.8,1981.9,2988.9,2859.2,107.0,201.3,347.9,360.4,27.0,60.9,64.8,72.4,6485.7,6040.8,444.9,425930.2,394136.9,31793.3,434108.1,401704.3,32403.8
La Pallice,615,503,19784.1,30931.3,2006.1,2006.0,2008.0,2008.2,765.6,1461.3,2205.7,2427.7,87.0,145.7,377.0,390.0,47.0,68.7,72.6,74.9,2515.9,2258.0,257.9,193388.4,173711.2,19677.2,197101.4,177046.4,20055.0
Cherbourg,570,69,5437.3,1381.1,1997.7,2001.6,2001.9,2004.2,306.1,726.1,368.3,413.9,19.0,70.7,69.6,151.4,4.0,50.2,11.5,12.4,1210.5,1059.5,151.0,91941.3,80564.9,11376.5,93706.6,82111.7,11594.9
Saint Malo,512,198,2143.5,1301.1,1996.0,2000.7,1997.0,2000.9,170.1,953.9,256.1,640.0,13.0,115.3,140.4,208.7,11.0,77.6,61.6,99.8,600.2,526.1,74.1,45244.0,39679.4,5564.6,46112.7,40441.2,5671.5
Cabourg,502,393,3915.5,6052.0,2006.1,2006.2,2008.4,2008.4,382.3,671.9,822.0,842.5,45.0,74.9,157.4,159.9,9.0,26.1,40.4,41.2,596.3,552.8,43.5,45371.9,42109.0,3262.9,46243.0,42917.5,3325.5
Bastia,441,31,1859.5,307.0,1984.6,1990.0,1987.9,1988.3,118.0,470.9,200.8,219.0,11.0,145.3,74.6,102.0,4.0,15.4,14.0,15.8,565.4,434.3,131.2,43343.8,33326.7,10017.1,44176.0,33966.6,10209.4
Niolon,389,135,6819.7,3506.3,2005.0,2004.7,2006.9,2005.0,447.2,789.2,474.1,640.9,25.0,53.6,55.0,89.1,10.0,29.0,26.3,43.2,1367.4,937.1,430.3,105665.8,72422.2,33243.5,107694.5,73812.7,33881.8
