Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Cruise,171,44,14636.4,1324.3,2004.8,2002.1,2007.7,2006.3,774.5,1175.1,843.9,868.1,46.0,75.2,63.5,66.7,31.0,30.0,35.0,34.9,3047.9,2443.7,604.3,234352.8,187553.3,46799.6,238852.4,191154.3,47698.1
Container,101,3,348.6,390.7,1995.6,2001.0,1994.6,1995.2,709.4,816.7,721.0,724.8,61.0,76.7,63.0,64.0,23.0,32.0,27.3,27.0,128.1,111.9,16.2,9748.6,8532.0,1216.6,9935.8,8695.8,1239.9
General cargo,39,14,388.9,497.8,2010.3,2007.3,2007.9,2007.9,938.5,1666.4,1557.0,1518.9,85.0,178.5,180.7,183.3,48.0,59.3,97.6,95.2,85.9,67.3,18.6,6526.9,5133.0,1393.9,6652.3,5231.6,1420.7
Vehicle,12,11,570.6,179.3,2006.7,2007.5,2006.5,2006.4,952.1,1014.7,1024.4,1028.3,76.0,91.5,98.6,99.7,3.0,4.3,4.3,4.2,35.6,35.0,0.5,2755.7,2714.0,41.7,2808.6,2766.1,42.5
Chemical tanker,10,9,173.8,284.8,2006.4,2006.7,2008.3,2008.4,930.6,1018.8,1036.8,1032.4,81.5,96.9,105.4,104.6,20.5,24.2,28.3,28.7,35.0,30.0,5.0,2692.1,2310.1,382.0,2743.8,2354.4,389.3
Bulk carrier,7,5,183.5,319.1,1987.1,1989.2,2005.9,2007.5,2060.3,2015.2,2385.4,2436.1,213.0,219.7,234.1,235.4,66.0,45.3,17.3,14.4,20.6,20.0,0.7,1588.3,1537.2,51.1,1618.8,1566.7,52.1
Service - other,6,4,29.7,16.8,1989.5,1989.5,1992.0,1990.5,1742.5,2490.2,2515.9,2303.9,173.0,587.4,555.6,724.1,97.0,373.0,592.6,476.2,21.0,13.1,7.9,1578.1,984.8,593.2,1608.4,1003.7,604.6
Liquefied gas tanker,6,4,533.8,449.2,2011.2,2008.8,2008.2,2008.2,1476.9,2387.1,4203.5,4048.5,126.5,232.2,336.9,333.7,15.5,12.2,1.8,1.9,49.7,48.7,0.9,3230.1,3160.7,69.5,3292.2,3221.4,70.8
Ferry-pax only,2,2,0.5,0.5,1924.5,1924.5,1925.5,1929.3,1149.6,1149.6,1142.3,1284.6,186.5,186.5,193.4,219.8,89.0,89.0,99.3,138.8,0.9,0.6,0.3,70.5,47.7,22.8,71.8,48.6,23.2
Oil tanker,2,2,33.0,53.9,2006.0,2006.0,2005.4,2005.3,904.1,904.1,898.3,898.0,79.5,79.5,77.9,77.8,21.0,21.0,19.7,19.7,6.0,4.9,1.1,466.1,380.7,85.4,475.1,388.0,87.1
Offshore,2,2,13.3,6.5,2015.0,2015.0,2013.2,2013.2,1203.8,1203.8,1293.7,1291.2,164.5,164.5,266.9,264.6,19.5,19.5,21.8,21.7,3.9,3.7,0.2,291.7,276.2,15.5,297.3,281.5,15.8
Other liquids tankers,1,1,66.8,86.3,1994.0,1994.0,1994.0,1994.0,4389.1,4389.1,4389.1,4389.1,270.0,270.0,270.0,270.0,3.0,3.0,3.0,3.0,18.1,18.0,0.1,1400.7,1396.6,4.1,1427.6,1423.4,4.2
Miscellaneous - fishing,1,1,2.4,1.2,1996.0,1996.0,1996.0,1996.0,2908.7,2908.7,2908.7,2908.7,265.0,265.0,265.0,265.0,39.0,39.0,39.0,39.0,3.3,3.2,0.1,248.0,243.3,4.8,252.8,248.0,4.8
Ferry-RoPax,1,1,13.8,1.4,2018.0,2018.0,2018.0,2018.0,4399.1,4399.1,4399.1,4399.1,597.0,597.0,597.0,597.0,4.0,4.0,4.0,4.0,3.4,3.4,0.0,255.2,253.4,1.8,260.1,258.3,1.9
